LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/6/2016;"11";"8,4";"14,7";"9,1";"88";"0";"2";"0";"27";"0";"1012";"12";"pioggia "
Predazzo;2/6/2016;"11";"8,3";"14";"9,3";"89";"0";"1";"0";"27";"0";"1011";"6,2";"pioggia "
Predazzo;3/6/2016;"12,1";"8,5";"16,6";"9,2";"83";"0";"2";"0";"30";"0";"1010";"7,9";"pioggia "
Predazzo;4/6/2016;"11,8";"9,1";"15,6";"9,9";"88";"0";"2";"0";"29";"0";"1012";"9,3";"pioggia "
Predazzo;5/6/2016;"12,5";"8,8";"16,6";"10,1";"85";"0";"2";"0";"24";"0";"1014";"9";"pioggia "
Predazzo;6/6/2016;"12,9";"9,1";"17,1";"10,3";"84";"0";"2";"0";"27";"0";"1018";"4,5";"pioggia "
Predazzo;7/6/2016;"13,8";"9,2";"19,9";"10,4";"81";"0";"2";"0";"30";"0";"1020";"6,3";"pioggia "
Predazzo;8/6/2016;"13";"9,3";"18,8";"10,9";"87";"0";"2";"0";"29";"0";"1017";"21";"pioggia "
Predazzo;9/6/2016;"11,6";"9,9";"13,6";"11,2";"95";"0";"2";"0";"36";"0";"1012";"15,2";"pioggia "
Predazzo;10/6/2016;"13,1";"8,6";"17,1";"8,7";"76";"0";"3";"0";"28";"0";"1011";"2,2";"pioggia "
Predazzo;11/6/2016;"12,7";"10";"16,1";"11,2";"90";"0";"2";"0";"38";"0";"1010";"16";"pioggia "
Predazzo;12/6/2016;"11,3";"8,7";"13,8";"9";"85";"0";"2";"0";"24";"0";"1008";"3,8";"pioggia "
Predazzo;13/6/2016;"12,2";"8,4";"16,5";"9,7";"85";"0";"3";"0";"37";"0";"1004";"11,3";"pioggia "
Predazzo;14/6/2016;"11,4";"9,1";"14,3";"9,9";"91";"0";"2";"0";"27";"0";"1001";"11,8";"pioggia "
Predazzo;15/6/2016;"13,9";"8,5";"19,4";"9,4";"76";"0";"5";"0";"51";"0";"1002";"12,7";"pioggia "
Predazzo;16/6/2016;"14,6";"10,5";"19,7";"12,2";"86";"0";"4";"0";"54";"0";"1005";"14,8";"pioggia "
Predazzo;17/6/2016;"15,1";"11";"21,1";"8,3";"66";"0";"5";"0";"63";"0";"1009";"3";"pioggia "
Predazzo;18/6/2016;"13,2";"8,7";"18";"8,8";"75";"0";"3";"0";"32";"0";"1017";"3";"pioggia "
Predazzo;19/6/2016;"10,7";"8,6";"13";"7,7";"82";"0";"4";"0";"33";"0";"1016";"2,7";"pioggia "
Predazzo;20/6/2016;"12,7";"8,1";"17,1";"7,6";"72";"0";"4";"0";"37";"0";"1018";"7";"pioggia "
Predazzo;21/6/2016;"14,1";"10,8";"16,8";"11,3";"83";"0";"2";"0";"23";"0";"1022";"0";""
Predazzo;22/6/2016;"17,8";"11,5";"23,5";"13,3";"77";"0";"2";"0";"21";"0";"1023";"0";""
Predazzo;23/6/2016;"19,6";"13,5";"25,6";"14,5";"75";"0";"3";"0";"27";"0";"1022";"0";""
Predazzo;24/6/2016;"20,1";"14,7";"26";"16,2";"80";"0";"2";"0";"26";"0";"1017";"2";"pioggia "
Predazzo;25/6/2016;"18,9";"14,5";"24";"16";"84";"0";"3";"0";"33";"0";"1012";"3,5";"pioggia "
Predazzo;26/6/2016;"16,2";"12,5";"19,7";"14,4";"89";"0";"3";"0";"28";"0";"1013";"12,2";"pioggia "
Predazzo;27/6/2016;"14,6";"10,9";"20,2";"9,3";"71";"0";"3";"0";"32";"0";"1015";"11,7";"pioggia "
Predazzo;28/6/2016;"15";"9,9";"19,7";"9";"68";"0";"4";"0";"32";"0";"1017";"0";""
Predazzo;29/6/2016;"16,8";"12,1";"20,5";"12,8";"79";"0";"3";"0";"29";"0";"1016";"0";""
Predazzo;30/6/2016;"16,7";"12,8";"21,1";"14,7";"88";"0";"2";"0";"37";"0";"1016";"7,8";"pioggia "
