LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/1/2017;"0,4";"-1,6";"4,1";"-6,1";"62";"0";"2";"0";"24";"0";"1022";"0";""
Predazzo;2/1/2017;"-0,2";"-2,2";"3,3";"-7,5";"58";"0";"3";"0";"34";"0";"1018";"0";""
Predazzo;3/1/2017;"-1,2";"-3,7";"2,4";"-9,3";"54";"0";"6";"0";"51";"0";"1022";"0";"neve "
Predazzo;4/1/2017;"-1,3";"-4,1";"3,1";"-7,7";"62";"0";"5";"0";"66";"0";"1012";"0";"neve "
Predazzo;5/1/2017;"-3,6";"-6";"-0,4";"-14,7";"43";"0";"13";"0";"102";"0";"1020";"0,6";"pioggia neve "
Predazzo;6/1/2017;"-6,6";"-8,4";"-2,9";"-22";"29";"0";"9";"0";"87";"0";"1032";"0";""
Predazzo;7/1/2017;"-6,3";"-10,2";"-2";"-19,8";"38";"0";"6";"0";"69";"0";"1027";"0";"neve "
Predazzo;8/1/2017;"-3,1";"-5,4";"0,5";"-6,9";"76";"0";"8";"0";"85";"0";"1023";"0";"neve "
Predazzo;9/1/2017;"-3,1";"-5,6";"1,1";"-13,2";"47";"0";"4";"0";"51";"0";"1020";"0";""
Predazzo;10/1/2017;"-3,1";"-5,2";"0,2";"-7,8";"70";"0";"4";"0";"32";"0";"1014";"0,6";"pioggia neve "
Predazzo;11/1/2017;"-2,6";"-4,2";"-0,4";"-6,8";"73";"0";"2";"0";"42";"0";"1017";"0";"neve "
Predazzo;12/1/2017;"-0,5";"-3";"3";"-3,3";"81";"0";"4";"0";"63";"0";"1013";"1";"pioggia neve "
Predazzo;13/1/2017;"-0,8";"-4,3";"1,1";"-5,4";"73";"0";"8";"0";"87";"0";"1002";"8,4";"pioggia neve "
Predazzo;14/1/2017;"-3,7";"-6,4";"0,4";"-12,2";"52";"0";"6";"0";"63";"0";"1011";"0";"neve "
Predazzo;15/1/2017;"-5,4";"-7,8";"-2,1";"-14,4";"49";"0";"5";"0";"37";"0";"1019";"0";""
Predazzo;16/1/2017;"-6,8";"-8,9";"-2,8";"-14,6";"53";"0";"6";"0";"48";"0";"1020";"0";""
Predazzo;17/1/2017;"-6,2";"-8,4";"-2,4";"-12,7";"60";"0";"5";"0";"56";"0";"1024";"0";"neve "
Predazzo;18/1/2017;"-5,2";"-9";"-0,4";"-11,6";"60";"0";"4";"0";"42";"0";"1025";"0";""
Predazzo;19/1/2017;"-4,6";"-8,1";"0,6";"-9,4";"69";"0";"2";"0";"31";"0";"1029";"0";""
Predazzo;20/1/2017;"-4,7";"-8,9";"0,6";"-8,8";"72";"0";"2";"0";"23";"0";"1031";"0";""
Predazzo;21/1/2017;"-4";"-8";"1,1";"-9";"68";"0";"1";"0";"23";"0";"1029";"0";""
Predazzo;22/1/2017;"-2,9";"-6,6";"1,9";"-10,9";"54";"0";"1";"0";"24";"0";"1026";"0";""
Predazzo;23/1/2017;"-2,9";"-6,1";"1,8";"-10,2";"58";"0";"1";"0";"18";"0";"1022";"0";""
Predazzo;24/1/2017;"-1,9";"-4,9";"3";"-10,3";"53";"0";"1";"0";"16";"0";"1017";"0";""
Predazzo;25/1/2017;"-0,6";"-4,8";"4,7";"-7,4";"60";"0";"1";"0";"33";"0";"1020";"0";""
Predazzo;26/1/2017;"0,2";"-2,4";"5,2";"-5,2";"68";"0";"2";"0";"23";"0";"1024";"0";""
Predazzo;27/1/2017;"0,2";"-3";"5,5";"-4";"73";"0";"2";"0";"30";"0";"1025";"0";""
Predazzo;28/1/2017;"1,6";"-1,6";"6,3";"-1,7";"79";"0";"2";"0";"31";"0";"1023";"0";""
Predazzo;29/1/2017;"2,1";"-0,7";"7,3";"-2,8";"70";"0";"2";"0";"20";"0";"1021";"0";""
Predazzo;30/1/2017;"2,4";"-0,6";"6,5";"-0,6";"81";"0";"3";"0";"36";"0";"1021";"0";"neve "
Predazzo;31/1/2017;"3,1";"1,6";"4,9";"2,4";"95";"0";"3";"0";"53";"0";"1018";"4,2";"pioggia neve "
