LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/5/2017;"6";"2,6";"10";"3,3";"83";"0";"3";"0";"46";"0";"1013";"13,2";"pioggia neve "
Predazzo;2/5/2017;"7,6";"1,4";"13,2";"1,4";"68";"0";"4";"0";"45";"0";"1016";"0";"neve "
Predazzo;3/5/2017;"6,7";"3,7";"10,5";"4,7";"87";"0";"2";"0";"48";"0";"1018";"9,6";"pioggia neve "
Predazzo;4/5/2017;"6,7";"2,6";"11,1";"3,8";"82";"0";"2";"0";"39";"0";"1015";"4,4";"pioggia neve "
Predazzo;5/5/2017;"8,4";"2,4";"14,6";"2,4";"68";"0";"4";"0";"37";"0";"1016";"0,8";"pioggia "
Predazzo;6/5/2017;"7,4";"2,8";"12,6";"4,7";"83";"0";"4";"0";"47";"0";"1014";"11,2";"pioggia neve "
Predazzo;7/5/2017;"9,4";"5,8";"13,6";"5,4";"77";"0";"8";"0";"68";"0";"1010";"1";"pioggia "
Predazzo;8/5/2017;"9,4";"6,1";"14,3";"5,2";"75";"0";"5";"0";"54";"0";"1011";"8,4";"pioggia "
Predazzo;9/5/2017;"10,2";"4,6";"16,3";"3,2";"65";"0";"6";"0";"47";"0";"1010";"5";"pioggia "
Predazzo;10/5/2017;"8,9";"5,2";"13,3";"6,2";"84";"0";"4";"0";"43";"0";"1011";"1,3";"pioggia "
Predazzo;11/5/2017;"10,9";"6,6";"14,7";"7,1";"79";"0";"7";"0";"67";"0";"1008";"3,4";"pioggia "
Predazzo;12/5/2017;"11,8";"8,3";"16,4";"9";"84";"0";"4";"0";"59";"0";"1006";"4,7";"pioggia "
Predazzo;13/5/2017;"12,2";"7,8";"17,3";"8,8";"81";"0";"3";"0";"35";"0";"1013";"1,8";"pioggia "
Predazzo;14/5/2017;"12,8";"7,6";"18,6";"10,1";"85";"0";"3";"0";"33";"0";"1021";"7,1";"pioggia "
Predazzo;15/5/2017;"12,9";"8,1";"18,4";"8,8";"77";"0";"4";"0";"50";"0";"1027";"9,7";"pioggia "
Predazzo;16/5/2017;"14,8";"7,5";"22,3";"7,1";"63";"0";"4";"0";"33";"0";"1027";"0";""
Predazzo;17/5/2017;"15,9";"9,4";"22,1";"11,9";"78";"0";"4";"0";"33";"0";"1023";"1,3";"pioggia "
Predazzo;18/5/2017;"14,8";"12";"19";"12,4";"86";"0";"4";"0";"35";"0";"1018";"3,1";"pioggia "
Predazzo;19/5/2017;"12,6";"9";"16,2";"10,4";"86";"0";"4";"0";"63";"0";"1014";"10,7";"pioggia "
Predazzo;20/5/2017;"10,2";"7,9";"12,5";"7,6";"84";"0";"5";"0";"53";"0";"1017";"9,9";"pioggia "
Predazzo;21/5/2017;"12,1";"6";"17,4";"7,4";"74";"0";"4";"0";"45";"0";"1021";"1,1";"pioggia "
Predazzo;22/5/2017;"14,2";"8,4";"20,3";"8,9";"73";"0";"4";"0";"38";"0";"1019";"1,2";"pioggia "
Predazzo;23/5/2017;"15,2";"9";"21,8";"8,9";"69";"0";"5";"0";"55";"0";"1018";"0,6";"pioggia "
Predazzo;24/5/2017;"15,5";"11";"21,3";"7,9";"62";"0";"7";"0";"63";"0";"1019";"1,9";"pioggia "
Predazzo;25/5/2017;"15,4";"8,6";"22,9";"5,9";"56";"0";"8";"0";"66";"0";"1018";"0";""
Predazzo;26/5/2017;"15,9";"8,8";"23,3";"8,7";"65";"0";"4";"0";"36";"0";"1018";"0,6";"pioggia "
Predazzo;27/5/2017;"16,9";"10,4";"23,5";"12,4";"76";"0";"3";"0";"36";"0";"1021";"0,8";"pioggia "
Predazzo;28/5/2017;"17,4";"10,8";"24,2";"12,9";"76";"0";"3";"0";"31";"0";"1022";"0,8";"pioggia "
Predazzo;29/5/2017;"17,8";"12,1";"24,3";"13,8";"80";"0";"3";"0";"33";"0";"1019";"4,1";"pioggia "
Predazzo;30/5/2017;"17,6";"13,1";"22,9";"14,8";"85";"0";"2";"0";"37";"0";"1018";"12,7";"pioggia "
Predazzo;31/5/2017;"16,7";"13,3";"21,5";"15,1";"90";"0";"2";"0";"36";"0";"1020";"14,9";"pioggia "
