LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/2/2018;"2,8";"1,5";"4,7";"1,4";"90";"0";"5";"0";"69";"0";"1005";"9,4";"pioggia neve "
Predazzo;2/2/2018;"-0";"-1,8";"0,9";"-2,8";"81";"0";"4";"0";"30";"0";"1005";"6,5";"pioggia neve "
Predazzo;3/2/2018;"-2,3";"-5,2";"-0,2";"-7,4";"68";"0";"6";"0";"49";"0";"1005";"2,1";"pioggia neve "
Predazzo;4/2/2018;"-3,8";"-6,4";"-0,3";"-9,5";"64";"0";"1";"0";"23";"0";"1015";"0";""
Predazzo;5/2/2018;"-3";"-4,7";"-0,3";"-5,5";"83";"0";"2";"0";"28";"0";"1022";"0,6";"pioggia neve "
Predazzo;6/2/2018;"-1,9";"-4,2";"0,4";"-3,7";"87";"0";"1";"0";"28";"0";"1015";"1,2";"pioggia neve "
Predazzo;7/2/2018;"0";"-1,3";"2,2";"-0,8";"94";"0";"2";"0";"29";"0";"1006";"2,9";"pioggia neve "
Predazzo;8/2/2018;"0,2";"-2,3";"4,7";"-3,8";"75";"0";"2";"0";"22";"0";"1013";"0";""
Predazzo;9/2/2018;"-0,7";"-2,8";"3";"-2,4";"88";"0";"1";"0";"27";"0";"1015";"1,2";"pioggia neve "
Predazzo;10/2/2018;"-0,7";"-3,8";"4,5";"-5,9";"69";"0";"5";"0";"40";"0";"1014";"0";"neve "
Predazzo;11/2/2018;"-1,6";"-5,3";"3,4";"-6,8";"68";"0";"3";"0";"29";"0";"1011";"0";""
Predazzo;12/2/2018;"-1,8";"-3,3";"1,1";"-5,4";"77";"0";"5";"0";"58";"0";"1012";"7,7";"pioggia neve "
Predazzo;13/2/2018;"-3,6";"-6,2";"0,5";"-9,3";"65";"0";"3";"0";"45";"0";"1016";"0,8";"pioggia neve "
Predazzo;14/2/2018;"-4,8";"-8";"0,8";"-13";"56";"0";"2";"0";"33";"0";"1017";"0";""
Predazzo;15/2/2018;"-4,9";"-9,5";"0,4";"-12,6";"56";"0";"2";"0";"34";"0";"1022";"0";"neve "
Predazzo;16/2/2018;"0,5";"-4";"7,3";"-1,1";"87";"0";"3";"0";"31";"0";"1020";"0";""
Predazzo;17/2/2018;"0,9";"-1,9";"5";"-0,2";"92";"0";"2";"0";"40";"0";"1020";"2";"pioggia neve "
Predazzo;18/2/2018;"2,2";"-0,7";"7,6";"-1,6";"77";"0";"3";"0";"42";"0";"1018";"1,2";"pioggia neve "
Predazzo;19/2/2018;"0,1";"-1,7";"3,2";"-2,4";"84";"0";"2";"0";"23";"0";"1017";"1,5";"pioggia neve "
Predazzo;20/2/2018;"-1";"-3,8";"2,9";"-6,4";"67";"0";"4";"0";"38";"0";"1011";"0";"neve "
Predazzo;21/2/2018;"-0,9";"-4,6";"4,1";"-7,8";"60";"0";"5";"0";"37";"0";"1011";"0";""
Predazzo;22/2/2018;"-1,3";"-3";"0,8";"-4,8";"77";"0";"3";"0";"45";"0";"1009";"4,5";"pioggia neve "
Predazzo;23/2/2018;"0,5";"-2,6";"4,6";"-2,4";"81";"0";"3";"0";"41";"0";"1008";"1,7";"pioggia neve "
Predazzo;24/2/2018;"2,4";"0,2";"6,6";"1,7";"93";"0";"2";"0";"38";"0";"1009";"3,4";"pioggia neve "
Predazzo;25/2/2018;"-2,1";"-6,4";"0";"-5,4";"79";"0";"2";"0";"28";"0";"1013";"11,3";"pioggia neve "
Predazzo;26/2/2018;"-6,3";"-9,3";"-1,3";"-15,9";"49";"0";"5";"0";"43";"0";"1014";"0";"neve "
Predazzo;27/2/2018;"-8";"-10,4";"-4,2";"-17,4";"47";"0";"3";"0";"24";"0";"1013";"0";""
Predazzo;28/2/2018;"-8,5";"-12,2";"-4,4";"-16,2";"54";"0";"2";"0";"30";"0";"1018";"0";""
