LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/9/2018;"12,3";"10,8";"13,6";"12,2";"97";"0";"3";"0";"41";"0";"1017";"22,8";"pioggia "
Predazzo;2/9/2018;"11,5";"9,5";"13,9";"12,1";"98";"0";"2";"0";"48";"0";"1018";"11";"pioggia "
Predazzo;3/9/2018;"12,1";"9,3";"15,9";"11,3";"93";"0";"1";"0";"29";"0";"1015";"5,2";"pioggia "
Predazzo;4/9/2018;"13,6";"10,3";"18,5";"11,4";"87";"0";"2";"0";"30";"0";"1015";"3";"pioggia "
Predazzo;5/9/2018;"14,8";"10,3";"20,8";"11,9";"84";"0";"2";"0";"27";"0";"1017";"0,8";"pioggia "
Predazzo;6/9/2018;"14,8";"11,6";"20,2";"14,1";"94";"0";"2";"0";"32";"0";"1014";"11,4";"pioggia "
Predazzo;7/9/2018;"13,7";"11,4";"16,5";"13,2";"95";"0";"2";"0";"25";"0";"1014";"6";"pioggia "
Predazzo;8/9/2018;"14,4";"9,7";"20,1";"11,8";"85";"0";"2";"0";"31";"0";"1021";"1,5";"pioggia "
Predazzo;9/9/2018;"15,2";"10,3";"21,9";"12,7";"85";"0";"2";"0";"26";"0";"1023";"1";"pioggia "
Predazzo;10/9/2018;"16,4";"12";"23,1";"13,1";"81";"0";"2";"0";"28";"0";"1024";"1,3";"pioggia "
Predazzo;11/9/2018;"17,1";"11,8";"24,2";"11,1";"71";"0";"3";"0";"28";"0";"1026";"0";""
Predazzo;12/9/2018;"18,1";"12";"25,7";"13,9";"78";"0";"2";"0";"33";"0";"1024";"0,6";"pioggia "
Predazzo;13/9/2018;"16,8";"13,2";"22,9";"14,1";"84";"0";"1";"0";"27";"0";"1018";"1,4";"pioggia "
Predazzo;14/9/2018;"15,5";"12,6";"20,3";"14,8";"95";"0";"2";"0";"24";"0";"1018";"10,5";"pioggia "
Predazzo;15/9/2018;"15,1";"11,4";"20,5";"13,8";"90";"0";"1";"0";"24";"0";"1022";"2,7";"pioggia "
Predazzo;16/9/2018;"16,1";"11,8";"22,3";"13,7";"86";"0";"3";"0";"41";"0";"1024";"0";""
Predazzo;17/9/2018;"16,3";"12,5";"21,9";"14,5";"89";"0";"2";"0";"29";"0";"1023";"2,6";"pioggia "
Predazzo;18/9/2018;"15,3";"11,9";"19,4";"15";"97";"0";"1";"0";"24";"0";"1022";"18,8";"pioggia "
Predazzo;19/9/2018;"15,1";"10,8";"21,8";"12,7";"86";"0";"3";"0";"29";"0";"1022";"0";""
Predazzo;20/9/2018;"16";"11,5";"22,6";"12,8";"83";"0";"2";"0";"27";"0";"1021";"0";""
Predazzo;21/9/2018;"16,3";"11,2";"22,9";"13,2";"84";"0";"4";"0";"45";"0";"1018";"0,8";"pioggia "
Predazzo;22/9/2018;"16,1";"13,3";"20,1";"14,5";"90";"0";"3";"0";"42";"0";"1018";"0,9";"pioggia "
Predazzo;23/9/2018;"16,9";"14,1";"20,4";"16,5";"94";"0";"4";"0";"52";"0";"1017";"0,8";"pioggia "
Predazzo;24/9/2018;"11,6";"4,6";"17";"3,2";"58";"0";"10";"0";"78";"0";"1023";"4,5";"pioggia "
Predazzo;25/9/2018;"8";"2,4";"15,8";"0,8";"62";"0";"5";"0";"41";"0";"1032";"0";""
Predazzo;26/9/2018;"9,6";"3,5";"17,3";"4,5";"72";"0";"3";"0";"27";"0";"1035";"0";""
Predazzo;27/9/2018;"12,4";"6,8";"20,2";"5,9";"66";"0";"2";"0";"25";"0";"1028";"0";""
Predazzo;28/9/2018;"13,3";"7,6";"21,3";"8,1";"73";"0";"1";"0";"19";"0";"1019";"0";""
Predazzo;29/9/2018;"12,8";"8,5";"19,1";"10,1";"84";"0";"3";"0";"33";"0";"1020";"0";""
Predazzo;30/9/2018;"12,2";"8,8";"17,9";"10,2";"87";"0";"3";"0";"28";"0";"1017";"0";""
