LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/4/2022;"2,5";"1,3";"3,6";"2,6";"99";"0";"1";"0";"38";"0";"993";"21";"pioggia neve "
Predazzo;2/4/2022;"0,5";"-0,8";"1,5";"-1,4";"87";"0";"3";"0";"37";"0";"1001";"19,8";"pioggia neve "
Predazzo;3/4/2022;"1";"-4,4";"6,1";"-6,2";"59";"0";"4";"0";"31";"0";"1015";"0";""
Predazzo;4/4/2022;"0,9";"-2,5";"5,2";"-3,7";"72";"0";"3";"0";"34";"0";"1018";"0";"neve "
Predazzo;5/4/2022;"5,6";"-2,2";"13,6";"-0,1";"68";"0";"3";"0";"29";"0";"1011";"0";""
Predazzo;6/4/2022;"7,5";"1,2";"15,1";"3,8";"79";"0";"3";"0";"40";"0";"1007";"1,3";"pioggia neve "
Predazzo;7/4/2022;"7,9";"2,9";"14,5";"3,1";"73";"0";"4";"0";"58";"0";"1002";"0";""
Predazzo;8/4/2022;"8,7";"3,2";"14,9";"4,9";"78";"0";"5";"0";"74";"0";"1001";"2";"pioggia neve "
Predazzo;9/4/2022;"6,6";"0,1";"11,3";"-2,5";"58";"0";"11";"0";"77";"0";"1005";"0";"neve "
Predazzo;10/4/2022;"4,1";"-1,7";"10,8";"-7,3";"45";"0";"6";"0";"47";"0";"1019";"0";""
Predazzo;11/4/2022;"6,1";"-1,5";"14,3";"-1,4";"60";"0";"3";"0";"33";"0";"1020";"0";""
Predazzo;12/4/2022;"9,1";"1,4";"17,1";"4,1";"73";"0";"2";"0";"28";"0";"1018";"0";""
Predazzo;13/4/2022;"10,1";"4,4";"16,4";"6";"77";"0";"1";"0";"25";"0";"1018";"0";""
Predazzo;14/4/2022;"11,7";"5,1";"19,4";"4,6";"65";"0";"2";"0";"30";"0";"1019";"0";""
Predazzo;15/4/2022;"11,9";"5,4";"19,6";"5,3";"66";"0";"5";"0";"38";"0";"1019";"1,8";"pioggia "
Predazzo;16/4/2022;"9,9";"3,8";"17,3";"0,2";"55";"0";"9";"0";"61";"0";"1020";"1";"pioggia neve "
Predazzo;17/4/2022;"8,5";"0,6";"17";"-3,6";"45";"0";"5";"0";"44";"0";"1019";"0";""
Predazzo;18/4/2022;"9";"0,9";"17,4";"-0";"58";"0";"6";"0";"43";"0";"1014";"0";""
Predazzo;19/4/2022;"8,8";"1,8";"16";"1";"61";"0";"6";"0";"47";"0";"1009";"0";"neve "
Predazzo;20/4/2022;"7,2";"2,9";"11,3";"3,1";"75";"0";"4";"0";"39";"0";"1012";"0";""
Predazzo;21/4/2022;"6,6";"4";"9,1";"4,4";"86";"0";"3";"0";"30";"0";"1009";"1,8";"pioggia neve "
Predazzo;22/4/2022;"7,3";"5,5";"9";"6,1";"92";"0";"2";"0";"33";"0";"1002";"4,9";"pioggia "
Predazzo;23/4/2022;"8,1";"4,8";"12,4";"6,5";"90";"0";"6";"0";"70";"0";"1006";"14,5";"pioggia "
Predazzo;24/4/2022;"6,4";"3";"11,5";"2,4";"76";"0";"4";"0";"65";"0";"1005";"8,9";"pioggia neve "
Predazzo;25/4/2022;"8,2";"2";"14,5";"3,8";"74";"0";"2";"0";"43";"0";"1009";"2,4";"pioggia neve "
Predazzo;26/4/2022;"8,4";"3,9";"13,4";"5,3";"81";"0";"4";"0";"47";"0";"1014";"4,2";"pioggia neve "
Predazzo;27/4/2022;"8,8";"1,6";"16,8";"0,7";"60";"0";"5";"0";"32";"0";"1019";"0";""
Predazzo;28/4/2022;"10,6";"3,8";"17,4";"3,6";"66";"0";"4";"0";"32";"0";"1023";"1";"pioggia "
Predazzo;29/4/2022;"11,2";"5,4";"18,1";"6,3";"74";"0";"3";"0";"28";"0";"1024";"0,7";"pioggia "
Predazzo;30/4/2022;"9,5";"6,6";"13,6";"6,5";"82";"0";"3";"0";"34";"0";"1021";"10,5";"pioggia "
