LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/10/2022;"9,4";"6,3";"12,3";"8,2";"91";"0";"3";"0";"37";"0";"1015";"0";""
Predazzo;2/10/2022;"12,2";"7,5";"18,4";"9,4";"84";"0";"4";"0";"47";"0";"1019";"0";""
Predazzo;3/10/2022;"11,7";"7,1";"18,2";"6,4";"71";"0";"6";"0";"41";"0";"1021";"0";""
Predazzo;4/10/2022;"9,8";"6,7";"14,4";"5";"72";"0";"2";"0";"22";"0";"1023";"0";""
Predazzo;5/10/2022;"12";"7";"19,2";"7,9";"76";"0";"2";"0";"26";"0";"1026";"0";""
Predazzo;6/10/2022;"12,9";"8,8";"20,4";"9,3";"80";"0";"3";"0";"36";"0";"1028";"0";""
Predazzo;7/10/2022;"12,1";"7,5";"19,6";"8,1";"78";"0";"2";"0";"27";"0";"1025";"0";""
Predazzo;8/10/2022;"12,1";"6,6";"19";"8,7";"81";"0";"2";"0";"28";"0";"1020";"0,8";"pioggia "
Predazzo;9/10/2022;"10,9";"8,9";"14,5";"9,9";"91";"0";"3";"0";"37";"0";"1022";"1,7";"pioggia "
Predazzo;10/10/2022;"10,7";"7,7";"15,3";"9,3";"90";"0";"2";"0";"32";"0";"1021";"2,9";"pioggia "
Predazzo;11/10/2022;"10,3";"7,2";"15,2";"8,6";"89";"0";"1";"0";"23";"0";"1023";"0,5";"pioggia "
Predazzo;12/10/2022;"10,5";"7,3";"16,6";"8,4";"88";"0";"2";"0";"25";"0";"1023";"0,7";"pioggia "
Predazzo;13/10/2022;"10,1";"6,8";"15,7";"8,1";"87";"0";"1";"0";"24";"0";"1021";"0";""
Predazzo;14/10/2022;"10,3";"6,6";"15,6";"8,5";"89";"0";"2";"0";"24";"0";"1017";"0";""
Predazzo;15/10/2022;"11,3";"8,6";"15,9";"10,3";"91";"0";"2";"0";"27";"0";"1017";"0";""
Predazzo;16/10/2022;"11,7";"8,2";"18";"10,2";"90";"0";"1";"0";"22";"0";"1024";"0";""
Predazzo;17/10/2022;"12,1";"8,8";"18,8";"10,4";"88";"0";"1";"0";"22";"0";"1029";"0";""
Predazzo;18/10/2022;"12,6";"8,4";"19,8";"9,8";"83";"0";"3";"0";"24";"0";"1027";"0";""
Predazzo;19/10/2022;"12,6";"9,2";"19";"9,1";"80";"0";"3";"0";"27";"0";"1023";"0";""
Predazzo;20/10/2022;"11,8";"8,5";"16,9";"9,6";"86";"0";"4";"0";"38";"0";"1022";"0";""
Predazzo;21/10/2022;"12,1";"10,4";"14,3";"10,8";"91";"0";"5";"0";"68";"0";"1019";"0";""
Predazzo;22/10/2022;"10,6";"7,5";"12,2";"10";"94";"0";"3";"0";"62";"0";"1019";"17,7";"pioggia "
Predazzo;23/10/2022;"11,2";"7,1";"15,8";"10,3";"93";"0";"4";"0";"53";"0";"1022";"0";""
Predazzo;24/10/2022;"12,4";"11";"15,1";"11,7";"95";"0";"5";"0";"81";"0";"1019";"2,2";"pioggia "
Predazzo;25/10/2022;"11,8";"9,6";"16,2";"10";"88";"0";"2";"0";"29";"0";"1020";"0";""
Predazzo;26/10/2022;"11,6";"8,6";"17";"10,1";"89";"0";"3";"0";"30";"0";"1023";"0";""
Predazzo;27/10/2022;"11,5";"8,6";"18";"9,2";"86";"0";"1";"0";"15";"0";"1028";"0";""
Predazzo;28/10/2022;"11,4";"8";"17,8";"7";"75";"0";"2";"0";"17";"0";"1029";"0";""
Predazzo;29/10/2022;"12,2";"9";"18,7";"8,2";"77";"0";"1";"0";"16";"0";"1027";"0";""
Predazzo;30/10/2022;"12,5";"9,3";"19,1";"7,8";"74";"0";"2";"0";"28";"0";"1024";"0";""
Predazzo;31/10/2022;"11,2";"8,3";"16,9";"7,1";"77";"0";"3";"0";"37";"0";"1023";"0";""
