LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/4/2003;"13,5";"8,8";"19";"2,5";"47";"9";"8";"24";"0";"0";"0";"0";""
Rovereto;2/4/2003;"10";"8";"11,6";"6,7";"80";"10";"13";"31";"0";"0";"0";"9,9";"pioggia "
Rovereto;3/4/2003;"7,8";"6";"9";"6,6";"92";"8";"7";"17";"0";"0";"0";"16,8";"pioggia "
Rovereto;4/4/2003;"8,4";"5";"13,2";"4,2";"75";"9";"6";"17";"0";"0";"0";"12,5";"pioggia "
Rovereto;5/4/2003;"9,6";"2,8";"15,2";"2";"59";"10";"8";"18";"0";"0";"0";"0";""
Rovereto;6/4/2003;"7,9";"2";"13,8";"2,7";"70";"9";"21";"39";"59";"0";"0";"0";"pioggia "
Rovereto;7/4/2003;"4,8";"2";"9,8";"-3,2";"56";"11";"9";"22";"0";"0";"0";"1";""
Rovereto;8/4/2003;"5,7";"-2";"11,4";"-10,8";"29";"11";"13";"24";"44";"0";"0";"0";""
Rovereto;9/4/2003;"6,3";"-1";"12,8";"-2,4";"54";"11";"5";"15";"22";"0";"0";"0";"pioggia "
Rovereto;10/4/2003;"6,1";"4";"7,1";"5";"93";"10";"12";"24";"42";"0";"0";"17";"pioggia "
Rovereto;11/4/2003;"7,4";"1,9";"12,1";"4,3";"81";"4";"8";"21";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;12/4/2003;"9,1";"7";"12";"6,6";"84";"7";"9";"21";"0";"0";"0";"9,1";"pioggia nebbia "
Rovereto;13/4/2003;"11,2";"3,9";"17,4";"3,3";"58";"8";"5";"11";"31";"0";"0";"0";"nebbia "
Rovereto;14/4/2003;"12,7";"6";"18,9";"3,1";"52";"11";"10";"29";"0";"0";"0";"0";""
Rovereto;15/4/2003;"14,3";"10";"18,4";"2,3";"44";"11";"18";"31";"44";"0";"0";"0";""
Rovereto;16/4/2003;"16,2";"9,2";"22,2";"5,5";"49";"11";"12";"31";"39";"0";"0";"0";""
Rovereto;17/4/2003;"17,1";"12";"21,4";"5,7";"47";"12";"14";"35";"0";"0";"0";"0";""
Rovereto;18/4/2003;"16,8";"10";"21,3";"5,7";"48";"11";"9";"28";"31";"0";"0";"0";""
Rovereto;19/4/2003;"13,4";"10";"15,2";"9,8";"79";"11";"23";"34";"50";"0";"0";"0";"pioggia "
Rovereto;20/4/2003;"13,5";"7";"18";"6,6";"63";"11";"12";"29";"48";"0";"0";"0";"pioggia "
Rovereto;21/4/2003;"14,1";"9";"17,5";"10,6";"79";"11";"8";"22";"0";"0";"0";"0";"pioggia "
Rovereto;22/4/2003;"14,6";"6";"21,1";"5,8";"55";"9";"4";"9";"0";"0";"0";"0";""
Rovereto;23/4/2003;"16,1";"9";"23";"7,2";"55";"10";"5";"13";"0";"0";"0";"0";""
Rovereto;24/4/2003;"16,9";"8,9";"23";"8,3";"57";"10";"9";"17";"0";"0";"0";"0";""
Rovereto;25/4/2003;"16,7";"10";"22,5";"7,1";"53";"10";"8";"18";"0";"0";"0";"0";""
Rovereto;26/4/2003;"17,3";"10,4";"23";"7,8";"54";"11";"7";"15";"0";"0";"0";"0";"pioggia "
Rovereto;27/4/2003;"16,6";"13";"20,8";"13,1";"80";"11";"8";"15";"0";"0";"0";"3,1";"pioggia "
Rovereto;28/4/2003;"16,1";"12,6";"20";"13,4";"84";"9";"11";"18";"0";"0";"0";"0";""
Rovereto;29/4/2003;"17,2";"12,6";"22,2";"13,4";"78";"6";"7";"18";"0";"0";"0";"0";""
Rovereto;30/4/2003;"16,5";"12,6";"21,5";"13,7";"84";"6";"13";"31";"42";"0";"0";"0";"pioggia "
