LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/5/2005;"20,6";"14";"27,4";"12,9";"61";"10";"6";"13";"0";"0";"0";"0";""
Rovereto;2/5/2005;"21";"12,8";"28,6";"13,4";"62";"10";"4";"11";"0";"0";"0";"0";""
Rovereto;3/5/2005;"20,6";"13,8";"26,8";"12,9";"61";"9";"8";"37";"57";"0";"0";"0";"pioggia "
Rovereto;4/5/2005;"19,3";"13,8";"25,6";"12,3";"64";"11";"9";"26";"47";"0";"0";"0";"pioggia temporale "
Rovereto;5/5/2005;"14,6";"11";"19,4";"13,3";"92";"10";"8";"22";"41";"0";"0";"0";"pioggia temporale "
Rovereto;6/5/2005;"16,4";"8";"23,4";"10,3";"67";"11";"6";"13";"0";"0";"0";"0";""
Rovereto;7/5/2005;"17,4";"9,8";"24,6";"7,9";"54";"11";"7";"17";"0";"0";"0";"0";""
Rovereto;8/5/2005;"16,6";"10,8";"22,4";"10,7";"68";"11";"12";"26";"44";"0";"0";"0";""
Rovereto;9/5/2005;"13,7";"11";"17,8";"10,1";"79";"11";"19";"29";"0";"0";"0";"0";"pioggia "
Rovereto;10/5/2005;"13,2";"10,2";"16,4";"9,6";"79";"11";"8";"17";"0";"0";"0";"0";"pioggia "
Rovereto;11/5/2005;"15,6";"11";"20,6";"11,3";"76";"9";"8";"21";"0";"0";"0";"0";"pioggia "
Rovereto;12/5/2005;"15,4";"7,4";"21,4";"5,9";"53";"10";"10";"26";"37";"0";"0";"0";""
Rovereto;13/5/2005;"17,4";"10,8";"23,2";"5,4";"45";"11";"6";"17";"0";"0";"0";"0";""
Rovereto;14/5/2005;"15,6";"13,4";"20";"14,1";"91";"9";"8";"24";"0";"0";"0";"0";"pioggia "
Rovereto;15/5/2005;"16,8";"10,7";"22,4";"14";"84";"4";"6";"11";"0";"0";"0";"0";"nebbia "
Rovereto;16/5/2005;"17,9";"12";"22,4";"15,1";"84";"7";"9";"22";"0";"0";"0";"0";"temporale nebbia "
Rovereto;17/5/2005;"17,4";"11,4";"24";"12,5";"73";"10";"9";"26";"0";"0";"0";"0";"pioggia "
Rovereto;18/5/2005;"14,9";"12,8";"18,4";"14,4";"97";"9";"9";"18";"0";"0";"0";"0";"pioggia "
Rovereto;19/5/2005;"17,9";"10,4";"24,2";"11,6";"67";"11";"8";"15";"0";"0";"0";"0";""
Rovereto;20/5/2005;"18,2";"11,6";"24";"11,9";"67";"10";"7";"9";"0";"0";"0";"0";""
Rovereto;21/5/2005;"20,3";"13";"26,4";"14,5";"69";"9";"5";"11";"0";"0";"0";"0";""
Rovereto;22/5/2005;"21,6";"15";"27,2";"13,1";"58";"9";"5";"11";"0";"0";"0";"0";""
Rovereto;23/5/2005;"19,2";"15";"25,4";"14,3";"73";"10";"14";"34";"52";"0";"0";"0";"pioggia temporale "
Rovereto;24/5/2005;"20,7";"13,4";"26,4";"11,4";"55";"11";"6";"11";"0";"0";"0";"0";""
Rovereto;25/5/2005;"21,8";"13,8";"27,6";"15,5";"67";"10";"6";"17";"0";"0";"0";"0";""
Rovereto;26/5/2005;"22,9";"16";"28,6";"14,4";"59";"10";"7";"13";"0";"0";"0";"0";""
Rovereto;27/5/2005;"24,5";"16";"30,8";"14,8";"55";"10";"5";"9";"0";"0";"0";"0";""
Rovereto;28/5/2005;"25,4";"17,6";"32,6";"15,8";"55";"10";"5";"11";"0";"0";"0";"0";""
Rovereto;29/5/2005;"26,2";"18,8";"33";"17,3";"58";"10";"5";"11";"0";"0";"0";"0";""
Rovereto;30/5/2005;"26,3";"20";"33,2";"18,8";"63";"11";"7";"17";"0";"0";"0";"0";""
Rovereto;31/5/2005;"23,9";"19";"29";"20,1";"79";"11";"19";"37";"55";"0";"0";"0";""
