LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/3/2005;"-3,3";"-7,2";"1,4";"-14,2";"42";"11";"6";"15";"0";"0";"0";"0";""
Rovereto;2/3/2005;"-2,5";"-10,4";"5";"-9";"61";"10";"5";"13";"0";"0";"0";"0";""
Rovereto;3/3/2005;"-2,2";"-5,8";"0,2";"-2,3";"99";"4";"7";"24";"0";"0";"0";"0";"neve nebbia "
Rovereto;4/3/2005;"-1,2";"-5";"4,1";"-1,4";"99";"1";"2";"9";"0";"0";"0";"0,5";"neve nebbia "
Rovereto;5/3/2005;"0,3";"-5,8";"5,4";"-0,8";"92";"2";"5";"13";"0";"0";"0";"0";"nebbia "
Rovereto;6/3/2005;"2,3";"-4";"8,2";"-1,1";"78";"7";"11";"39";"0";"0";"0";"0";"neve "
Rovereto;7/3/2005;"1,9";"-3";"6,6";"-6,7";"53";"9";"8";"18";"0";"0";"0";"0";""
Rovereto;8/3/2005;"3,9";"-4,2";"10,2";"-5,8";"49";"10";"11";"22";"0";"0";"0";"0";""
Rovereto;9/3/2005;"5,1";"-2";"13,8";"-2,3";"59";"9";"6";"15";"28";"0";"0";"0";""
Rovereto;10/3/2005;"5,9";"-2,8";"14,8";"-2,1";"56";"10";"10";"34";"0";"0";"0";"0";""
Rovereto;11/3/2005;"5,1";"-1";"12,2";"1,7";"79";"9";"12";"28";"0";"0";"0";"0";""
Rovereto;12/3/2005;"8,1";"1,6";"14,4";"3,6";"73";"10";"14";"31";"47";"0";"0";"0";""
Rovereto;13/3/2005;"7,4";"-1";"15";"-1,8";"52";"10";"7";"15";"0";"0";"0";"0";""
Rovereto;14/3/2005;"7,2";"-0,6";"14,6";"1,8";"68";"10";"7";"13";"0";"0";"0";"0";""
Rovereto;15/3/2005;"9,6";"2,2";"17,2";"5,9";"78";"5";"4";"11";"0";"0";"0";"0";""
Rovereto;16/3/2005;"10,7";"3";"18,4";"6,7";"76";"4";"7";"13";"0";"0";"0";"0";""
Rovereto;17/3/2005;"11,6";"2,6";"20,8";"6,8";"72";"4";"5";"17";"0";"0";"0";"0";""
Rovereto;18/3/2005;"12,3";"4";"22,2";"7,1";"71";"4";"3";"9";"0";"0";"0";"0";"nebbia "
Rovereto;19/3/2005;"12,8";"4,6";"21,6";"7,9";"72";"3";"5";"11";"0";"0";"0";"0";""
Rovereto;20/3/2005;"11,7";"7,6";"16,2";"6,4";"70";"8";"15";"26";"0";"0";"0";"0";""
Rovereto;21/3/2005;"10,4";"7";"15,2";"4,5";"67";"11";"3";"11";"0";"0";"0";"0";""
Rovereto;22/3/2005;"10,4";"6,8";"15,6";"7,2";"81";"6";"3";"9";"0";"0";"0";"0";""
Rovereto;23/3/2005;"11,9";"9";"16,4";"9,1";"83";"5";"7";"17";"0";"0";"0";"0";"pioggia "
Rovereto;24/3/2005;"11,6";"6";"16,4";"9,8";"89";"4";"4";"9";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;25/3/2005;"12,9";"10,4";"17,6";"11,6";"92";"3";"5";"13";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;26/3/2005;"13,1";"10,4";"16,2";"12,3";"95";"3";"11";"21";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;27/3/2005;"12,3";"10";"15,2";"11,9";"97";"3";"7";"15";"0";"0";"0";"1";"pioggia nebbia "
Rovereto;28/3/2005;"14,2";"9";"21,6";"11,3";"83";"7";"7";"15";"0";"0";"0";"0";"nebbia "
Rovereto;29/3/2005;"13,1";"7,4";"19,6";"10,7";"85";"9";"12";"28";"39";"0";"0";"16";"pioggia temporale "
Rovereto;30/3/2005;"14,1";"10,2";"19";"11,3";"83";"9";"6";"21";"0";"0";"0";"1";"pioggia temporale "
Rovereto;31/3/2005;"13,3";"10";"19";"10,1";"81";"11";"6";"26";"47";"0";"0";"3,1";"pioggia "
