LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/2/2006;"5,6";"-1";"15,4";"1,9";"77";"8";"4";"11";"0";"0";"0";"0";"nebbia "
Rovereto;2/2/2006;"6,2";"-0,2";"14,6";"0,9";"69";"10";"4";"13";"0";"0";"0";"0";""
Rovereto;3/2/2006;"5,3";"-2,7";"13,3";"1,6";"77";"9";"3";"8";"0";"0";"0";"0";""
Rovereto;4/2/2006;"4,4";"-1";"11,2";"1,4";"81";"9";"4";"11";"0";"0";"0";"0";""
Rovereto;5/2/2006;"2,3";"-2";"6";"-5,6";"56";"9";"12";"26";"0";"0";"0";"0";""
Rovereto;6/2/2006;"0,1";"-4,8";"4,6";"-5,6";"65";"11";"6";"15";"0";"0";"0";"0";""
Rovereto;7/2/2006;"-0,9";"-6";"5,2";"-3,4";"83";"7";"4";"9";"0";"0";"0";"0";""
Rovereto;8/2/2006;"-0,7";"-5";"1,7";"-1,5";"94";"4";"4";"9";"0";"0";"0";"0";""
Rovereto;9/2/2006;"1,3";"-4";"7,3";"-0,4";"88";"3";"6";"13";"0";"0";"0";"0";""
Rovereto;10/2/2006;"2,8";"-5";"11,4";"-5,7";"53";"7";"7";"22";"0";"0";"0";"0";"nebbia "
Rovereto;11/2/2006;"2,2";"-5,2";"10,2";"-8,8";"44";"10";"6";"15";"0";"0";"0";"0";""
Rovereto;12/2/2006;"1,7";"-4";"9,4";"-6,3";"55";"10";"7";"13";"0";"0";"0";"0";""
Rovereto;13/2/2006;"2,2";"-3";"9,2";"-3,1";"68";"10";"6";"13";"0";"0";"0";"0";""
Rovereto;14/2/2006;"2,4";"-3";"9,4";"-0,7";"80";"8";"7";"13";"0";"0";"0";"0";""
Rovereto;15/2/2006;"3,2";"1,2";"5";"2,9";"98";"2";"2";"5";"0";"0";"0";"0,5";"pioggia "
Rovereto;16/2/2006;"2,9";"2";"4";"2,8";"99";"1";"2";"5";"0";"0";"0";"2";"pioggia nebbia "
Rovereto;17/2/2006;"5,8";"3";"13";"4,4";"91";"1";"8";"21";"0";"0";"0";"0";"nebbia "
Rovereto;18/2/2006;"5,1";"2";"8,4";"4,8";"98";"4";"10";"24";"0";"0";"0";"5,1";"pioggia temporale nebbia "
Rovereto;19/2/2006;"5,3";"-0,6";"11,2";"3,3";"87";"7";"14";"31";"61";"0";"0";"0";"pioggia nebbia "
Rovereto;20/2/2006;"7,6";"4";"10";"7,5";"99";"9";"7";"24";"0";"0";"0";"5,1";"pioggia nebbia "
Rovereto;21/2/2006;"6,8";"3,8";"9,4";"6,4";"97";"5";"4";"11";"0";"0";"0";"0,8";"pioggia nebbia "
Rovereto;22/2/2006;"7,1";"6";"9,4";"6,8";"98";"9";"5";"17";"0";"0";"0";"13";"pioggia "
Rovereto;23/2/2006;"7,4";"2,6";"13,2";"3,7";"77";"10";"9";"22";"0";"0";"0";"0";""
Rovereto;24/2/2006;"6,1";"5,8";"7";"4,3";"88";"8";"9";"21";"31";"0";"0";"7,9";"pioggia "
Rovereto;25/2/2006;"5,4";"4,4";"8,2";"4,8";"96";"10";"8";"22";"0";"0";"0";"5,1";"pioggia "
Rovereto;26/2/2006;"5,2";"3";"8,4";"4,7";"97";"3";"3";"9";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;27/2/2006;"5,1";"2";"9,2";"0,8";"74";"8";"14";"28";"0";"0";"0";"0";"pioggia "
Rovereto;28/2/2006;"2,9";"1";"6,6";"-7,2";"47";"11";"8";"21";"0";"0";"0";"0";""
