LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/12/2007;"4,9";"-1";"10";"4,7";"99";"4";"4";"13";"0";"1015";"0";"0";""
Rovereto;2/12/2007;"7,3";"5";"9,1";"7,1";"99";"1";"7";"13";"0";"1019";"0";"0,5";"pioggia nebbia "
Rovereto;3/12/2007;"7,1";"3";"9,4";"6,6";"97";"2";"12";"26";"0";"1005";"0";"1";"pioggia nebbia "
Rovereto;4/12/2007;"6,4";"-1,2";"15,2";"-2,2";"54";"10";"8";"21";"0";"1008";"0";"0";""
Rovereto;5/12/2007;"4,4";"1";"11,4";"0,4";"75";"11";"6";"15";"0";"1022";"0";"0";""
Rovereto;6/12/2007;"4,2";"-0,8";"11,6";"1,8";"84";"10";"5";"13";"0";"1023";"0";"0";""
Rovereto;7/12/2007;"5,8";"3,4";"8,6";"4,1";"88";"0";"4";"0";"23";"0";"1011";"0";""
Rovereto;8/12/2007;"6,3";"3,9";"11,6";"5,5";"95";"4";"10";"21";"0";"1005";"0";"1";"pioggia "
Rovereto;9/12/2007;"4,9";"1,2";"9,8";"4,4";"97";"9";"6";"13";"0";"1008";"0";"1";"pioggia nebbia "
Rovereto;10/12/2007;"2,3";"-0,4";"5";"2,3";"100";"1";"7";"15";"0";"1002";"0";"0";"nebbia "
Rovereto;11/12/2007;"2,2";"-0,4";"4,8";"2,1";"99";"1";"4";"9";"0";"1010";"0";"0";"nebbia "
Rovereto;12/12/2007;"2,4";"-1";"7,8";"2,3";"99";"1";"5";"13";"0";"1019";"0";"0";"nebbia "
Rovereto;13/12/2007;"3,9";"-1,2";"11";"2,5";"91";"7";"6";"17";"0";"1025";"0";"0";""
Rovereto;14/12/2007;"3,1";"-1,2";"9";"0,8";"85";"9";"8";"22";"0";"1027";"0";"0";""
Rovereto;15/12/2007;"1,7";"-1,2";"5,4";"-1,1";"82";"10";"11";"22";"0";"1026";"0";"0,5";"pioggia neve "
Rovereto;16/12/2007;"2,2";"-1";"6,4";"-3,3";"67";"11";"13";"34";"0";"1028";"0";"0";""
Rovereto;17/12/2007;"0,7";"-3";"6,4";"-4,1";"70";"11";"17";"37";"52";"1030";"0";"0";""
Rovereto;18/12/2007;"-1,6";"-5,2";"3,6";"-2,8";"91";"10";"8";"13";"0";"1032";"0";"0";""
Rovereto;19/12/2007;"0,3";"-5";"8,4";"-6,1";"62";"10";"9";"24";"0";"1035";"0";"0";""
Rovereto;20/12/2007;"-0,1";"-6";"9,4";"-2,7";"83";"8";"3";"13";"0";"1036";"0";"0";""
Rovereto;21/12/2007;"1,6";"-4,2";"11,2";"-2,6";"74";"9";"4";"13";"0";"1032";"0";"0";""
Rovereto;22/12/2007;"0,7";"-4";"8,4";"-1,2";"87";"8";"5";"15";"0";"1031";"0";"0";"pioggia "
Rovereto;23/12/2007;"3,3";"1";"6,2";"2,9";"97";"5";"5";"9";"0";"1031";"0";"0,5";"pioggia nebbia "
Rovereto;24/12/2007;"4,9";"2,8";"10,4";"3,6";"91";"3";"4";"11";"0";"1029";"0";"0";""
Rovereto;25/12/2007;"2,7";"-2,6";"8";"1";"89";"6";"3";"9";"0";"1027";"0";"0";""
Rovereto;26/12/2007;"1,4";"-3";"8";"-0,2";"89";"9";"4";"18";"0";"1027";"0";"0";"nebbia "
Rovereto;27/12/2007;"0,1";"-5";"8,6";"-0,8";"94";"5";"5";"15";"0";"1031";"0";"0";"nebbia "
Rovereto;28/12/2007;"-2,4";"-7";"6,2";"-3,1";"95";"7";"4";"9";"0";"1034";"0";"0";"nebbia "
Rovereto;29/12/2007;"-4,8";"-9";"5";"-5,6";"94";"1";"3";"9";"0";"1032";"0";"0";"nebbia "
Rovereto;30/12/2007;"-3,4";"-8,2";"1,6";"-3,7";"98";"4";"3";"8";"0";"1025";"0";"0";""
Rovereto;31/12/2007;"-0,4";"-7";"8,4";"-2,2";"88";"7";"4";"11";"0";"1024";"0";"0";""
