LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/11/2014;"10";"5";"18";"6";"77";"5";"5";"9";"0";"1025";"0";"0";""
Rovereto;2/11/2014;"10";"4";"19";"6";"78";"5";"3";"9";"0";"1022";"0";"0";""
Rovereto;3/11/2014;"10";"5";"14";"8";"87";"4";"4";"9";"0";"1019";"0";"0";"pioggia "
Rovereto;4/11/2014;"15";"12";"18";"10";"72";"8";"19";"28";"44";"1010";"0";"0";""
Rovereto;5/11/2014;"15";"14";"16";"13";"90";"8";"18";"32";"0";"1003";"0";"0";"pioggia "
Rovereto;6/11/2014;"14";"12";"15";"12";"90";"5";"5";"11";"0";"1008";"0";"0";"pioggia "
Rovereto;7/11/2014;"13";"12";"15";"11";"88";"7";"5";"11";"0";"1010";"0";"0";"pioggia "
Rovereto;8/11/2014;"14";"12";"15";"11";"86";"5";"4";"11";"0";"1012";"0";"0";"pioggia "
Rovereto;9/11/2014;"14";"13";"16";"12";"87";"7";"7";"15";"0";"1014";"0";"0";"pioggia "
Rovereto;10/11/2014;"14";"13";"15";"12";"89";"7";"12";"19";"0";"1016";"0";"0";"pioggia "
Rovereto;11/11/2014;"14";"12";"17";"12";"84";"8";"10";"20";"0";"1014";"0";"0";"pioggia "
Rovereto;12/11/2014;"15";"14";"18";"11";"74";"10";"20";"35";"0";"1006";"0";"0";"pioggia "
Rovereto;13/11/2014;"14";"12";"16";"11";"83";"9";"5";"13";"0";"1009";"0";"0";"pioggia "
Rovereto;14/11/2014;"13";"10";"17";"11";"82";"8";"3";"7";"0";"1014";"0";"0";"nebbia "
Rovereto;15/11/2014;"13";"11";"14";"10";"82";"6";"21";"39";"0";"1008";"0";"0";"pioggia "
Rovereto;16/11/2014;"12";"8";"17";"7";"76";"11";"8";"15";"0";"1005";"0";"0";""
Rovereto;17/11/2014;"9";"6";"12";"7";"87";"9";"10";"19";"0";"1007";"0";"0";"pioggia "
Rovereto;18/11/2014;"9";"6";"13";"6";"79";"8";"9";"20";"0";"1006";"0";"0";"pioggia "
Rovereto;19/11/2014;"8";"4";"13";"5";"80";"6";"6";"15";"0";"1016";"0";"0";"nebbia "
Rovereto;20/11/2014;"6";"2";"11";"3";"83";"7";"4";"9";"0";"1024";"0";"0";""
Rovereto;21/11/2014;"7";"2";"12";"4";"81";"7";"3";"7";"0";"1024";"0";"0";""
Rovereto;22/11/2014;"7";"3";"12";"4";"84";"5";"4";"7";"0";"1025";"0";"0";""
Rovereto;23/11/2014;"6";"3";"10";"4";"90";"3";"3";"6";"0";"1027";"0";"0";"nebbia "
Rovereto;24/11/2014;"7";"3";"13";"6";"90";"2";"3";"7";"0";"1025";"0";"0";"nebbia "
Rovereto;25/11/2014;"8";"5";"11";"6";"87";"2";"5";"9";"0";"1022";"0";"0";"nebbia "
Rovereto;26/11/2014;"8";"8";"9";"5";"76";"5";"6";"17";"0";"1019";"0";"0";""
Rovereto;27/11/2014;"7";"7";"8";"5";"87";"3";"3";"6";"0";"1016";"0";"0";"pioggia nebbia "
Rovereto;28/11/2014;"9";"7";"11";"8";"90";"3";"4";"6";"0";"1015";"0";"0";"pioggia "
Rovereto;29/11/2014;"11";"10";"13";"10";"90";"4";"4";"7";"0";"1015";"0";"0";"nebbia "
Rovereto;30/11/2014;"11";"10";"12";"10";"90";"4";"4";"9";"0";"1013";"0";"0";"pioggia nebbia "
