LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/6/2023;"22";"17";"28";"13";"57";"20";"7";"17";"0";"1015";"0";"0";"pioggia nebbia "
Rovereto;2/6/2023;"22";"16";"28";"15";"64";"22";"6";"17";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;3/6/2023;"20";"17";"25";"15";"75";"14";"11";"24";"0";"1015";"0";"0";"pioggia temporale "
Rovereto;4/6/2023;"20";"17";"25";"16";"79";"17";"8";"18";"0";"1016";"0";"0";"pioggia temporale "
Rovereto;5/6/2023;"18";"16";"21";"16";"88";"11";"4";"11";"0";"1016";"0";"0";"pioggia "
Rovereto;6/6/2023;"20";"15";"25";"16";"79";"18";"8";"21";"0";"1015";"0";"0";"pioggia temporale "
Rovereto;7/6/2023;"19";"15";"26";"16";"81";"20";"7";"21";"0";"1016";"0";"0";"pioggia temporale "
Rovereto;8/6/2023;"22";"14";"27";"15";"71";"20";"7";"15";"0";"1013";"0";"0";""
Rovereto;9/6/2023;"23";"18";"28";"16";"67";"22";"6";"15";"0";"1011";"0";"0";""
Rovereto;10/6/2023;"22";"18";"26";"16";"73";"18";"9";"18";"0";"1011";"0";"0";"pioggia temporale "
Rovereto;11/6/2023;"22";"15";"29";"16";"69";"19";"6";"21";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;12/6/2023;"23";"17";"29";"16";"66";"20";"8";"15";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;13/6/2023;"21";"19";"25";"15";"68";"19";"11";"22";"0";"1010";"0";"0";"pioggia "
Rovereto;14/6/2023;"22";"17";"27";"14";"64";"21";"7";"13";"0";"1010";"0";"0";""
Rovereto;15/6/2023;"22";"16";"28";"14";"62";"19";"8";"26";"0";"1013";"0";"0";"pioggia temporale "
Rovereto;16/6/2023;"23";"15";"28";"14";"56";"21";"10";"24";"0";"1013";"0";"0";"pioggia temporale "
Rovereto;17/6/2023;"23";"16";"30";"11";"51";"20";"8";"15";"0";"1014";"0";"0";""
Rovereto;18/6/2023;"24";"16";"31";"14";"55";"21";"8";"17";"0";"1015";"0";"0";""
Rovereto;19/6/2023;"25";"18";"31";"16";"59";"18";"7";"15";"0";"1015";"0";"0";""
Rovereto;20/6/2023;"26";"19";"32";"17";"60";"20";"7";"15";"0";"1016";"0";"0";""
Rovereto;21/6/2023;"27";"20";"33";"17";"55";"19";"9";"18";"0";"1017";"0";"0";""
Rovereto;22/6/2023;"28";"21";"34";"18";"58";"20";"7";"13";"0";"1017";"0";"0";""
Rovereto;23/6/2023;"27";"22";"33";"17";"56";"20";"9";"21";"0";"1013";"0";"0";"pioggia temporale "
Rovereto;24/6/2023;"26";"20";"32";"13";"46";"19";"8";"17";"0";"1017";"0";"0";""
Rovereto;25/6/2023;"26";"18";"30";"14";"50";"20";"7";"15";"0";"1017";"0";"0";""
Rovereto;26/6/2023;"27";"18";"33";"15";"50";"22";"7";"13";"0";"1015";"0";"0";""
Rovereto;27/6/2023;"27";"21";"33";"16";"52";"20";"9";"24";"0";"1012";"0";"0";""
Rovereto;28/6/2023;"24";"21";"27";"15";"58";"19";"16";"24";"0";"1014";"0";"0";""
Rovereto;29/6/2023;"25";"21";"30";"14";"51";"22";"6";"9";"0";"1015";"0";"0";""
Rovereto;30/6/2023;"22";"18";"26";"15";"67";"18";"8";"15";"0";"1012";"0";"0";"pioggia "
