LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/9/2023;"22";"16";"27";"16";"69";"20";"5";"9";"0";"1018";"0";"0";""
Rovereto;2/9/2023;"23";"17";"29";"16";"66";"18";"6";"9";"0";"1020";"0";"0";""
Rovereto;3/9/2023;"24";"17";"29";"17";"68";"18";"8";"22";"0";"1021";"0";"0";""
Rovereto;4/9/2023;"24";"19";"29";"18";"67";"21";"7";"15";"0";"1022";"0";"0";""
Rovereto;5/9/2023;"23";"18";"27";"12";"52";"22";"10";"18";"0";"1022";"0";"0";""
Rovereto;6/9/2023;"22";"16";"29";"13";"59";"18";"6";"11";"0";"1021";"0";"0";""
Rovereto;7/9/2023;"23";"16";"29";"13";"55";"21";"10";"21";"0";"1020";"0";"0";""
Rovereto;8/9/2023;"25";"17";"30";"14";"54";"21";"7";"11";"0";"1019";"0";"0";""
Rovereto;9/9/2023;"24";"17";"30";"15";"61";"20";"6";"11";"0";"1018";"0";"0";""
Rovereto;10/9/2023;"24";"16";"30";"16";"64";"20";"6";"9";"0";"1018";"0";"0";""
Rovereto;11/9/2023;"24";"17";"31";"16";"65";"19";"5";"9";"0";"1015";"0";"0";""
Rovereto;12/9/2023;"24";"17";"31";"16";"64";"17";"6";"13";"0";"1014";"0";"0";"nebbia "
Rovereto;13/9/2023;"23";"18";"28";"18";"73";"16";"6";"13";"0";"1015";"0";"0";"pioggia temporale "
Rovereto;14/9/2023;"22";"17";"26";"18";"77";"12";"5";"11";"0";"1017";"0";"0";"pioggia temporale nebbia "
Rovereto;15/9/2023;"22";"19";"26";"16";"70";"20";"8";"17";"0";"1018";"0";"0";""
Rovereto;16/9/2023;"22";"17";"26";"16";"72";"19";"6";"11";"0";"1018";"0";"0";""
Rovereto;17/9/2023;"23";"18";"27";"18";"75";"18";"5";"13";"0";"1018";"0";"0";""
Rovereto;18/9/2023;"22";"19";"26";"19";"84";"14";"9";"18";"0";"1015";"0";"0";"pioggia "
Rovereto;19/9/2023;"23";"17";"29";"17";"71";"20";"9";"17";"0";"1013";"0";"0";""
Rovereto;20/9/2023;"22";"17";"28";"16";"71";"20";"7";"13";"0";"1015";"0";"0";"pioggia "
Rovereto;21/9/2023;"20";"16";"26";"16";"79";"18";"6";"17";"0";"1010";"0";"0";"pioggia "
Rovereto;22/9/2023;"20";"18";"22";"18";"87";"18";"9";"15";"0";"1006";"0";"0";"pioggia "
Rovereto;23/9/2023;"20";"14";"25";"12";"63";"20";"10";"21";"0";"1010";"0";"0";""
Rovereto;24/9/2023;"18";"12";"25";"10";"65";"22";"6";"13";"0";"1019";"0";"0";""
Rovereto;25/9/2023;"19";"12";"26";"9";"58";"19";"8";"17";"0";"1021";"0";"0";""
Rovereto;26/9/2023;"20";"14";"28";"13";"63";"18";"8";"15";"0";"1021";"0";"0";""
Rovereto;27/9/2023;"22";"16";"29";"12";"55";"20";"12";"21";"0";"1020";"0";"0";""
Rovereto;28/9/2023;"21";"15";"28";"12";"58";"21";"8";"15";"0";"1019";"0";"0";""
Rovereto;29/9/2023;"21";"15";"27";"12";"62";"19";"7";"13";"0";"1021";"0";"0";""
Rovereto;30/9/2023;"20";"13";"28";"13";"64";"21";"5";"11";"0";"1021";"0";"0";""
