LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/1/2024;"6";"2";"9";"5";"92";"5";"9";"28";"0";"1013";"0";"0";"pioggia nebbia "
Rovereto;2/1/2024;"4";"1";"8";"3";"97";"4";"5";"11";"0";"1014";"0";"0";"pioggia nebbia "
Rovereto;3/1/2024;"6";"3";"10";"5";"93";"4";"5";"9";"0";"1009";"0";"0";"pioggia nebbia "
Rovereto;4/1/2024;"7";"2";"14";"4";"83";"10";"11";"24";"0";"1009";"0";"0";"nebbia "
Rovereto;5/1/2024;"7";"2";"11";"5";"91";"10";"11";"24";"0";"1007";"0";"0";"pioggia "
Rovereto;6/1/2024;"8";"7";"10";"7";"95";"8";"6";"15";"0";"999";"0";"0";"pioggia "
Rovereto;7/1/2024;"8";"7";"9";"5";"84";"20";"9";"18";"0";"1000";"0";"0";"pioggia "
Rovereto;8/1/2024;"8";"7";"10";"5";"83";"20";"5";"13";"0";"1010";"0";"0";"pioggia "
Rovereto;9/1/2024;"5";"3";"8";"1";"64";"22";"9";"17";"0";"1022";"0";"0";""
Rovereto;10/1/2024;"2";"-1";"6";"0";"68";"21";"6";"15";"0";"1027";"0";"0";""
Rovereto;11/1/2024;"2";"-3";"9";"1";"78";"18";"5";"15";"0";"1024";"0";"0";""
Rovereto;12/1/2024;"2";"-5";"9";"0";"75";"19";"5";"11";"0";"1023";"0";"0";""
Rovereto;13/1/2024;"1";"-4";"8";"1";"83";"14";"8";"18";"0";"1022";"0";"0";"nebbia "
Rovereto;14/1/2024;"0";"-1";"2";"1";"97";"1";"4";"8";"0";"1013";"0";"0";"nebbia "
Rovereto;15/1/2024;"3";"0";"7";"1";"84";"5";"6";"11";"0";"1002";"0";"0";"nebbia "
Rovereto;16/1/2024;"3";"-2";"9";"1";"73";"16";"7";"17";"0";"1009";"0";"0";""
Rovereto;17/1/2024;"4";"3";"5";"3";"94";"5";"4";"11";"0";"1005";"0";"0";"pioggia "
Rovereto;18/1/2024;"5";"3";"7";"4";"93";"5";"9";"22";"0";"998";"0";"0";"pioggia nebbia "
Rovereto;19/1/2024;"5";"1";"8";"5";"83";"10";"13";"33";"0";"1009";"0";"0";"nebbia "
Rovereto;20/1/2024;"1";"-3";"8";"0";"56";"21";"6";"11";"0";"1029";"0";"0";""
Rovereto;21/1/2024;"0";"-6";"8";"0";"69";"20";"7";"18";"0";"1033";"0";"0";""
Rovereto;22/1/2024;"1";"-6";"8";"0";"73";"20";"4";"8";"0";"1030";"0";"0";"pioggia "
Rovereto;23/1/2024;"3";"-2";"10";"0";"73";"16";"6";"13";"0";"1029";"0";"0";""
Rovereto;24/1/2024;"3";"-2";"10";"1";"74";"16";"5";"9";"0";"1028";"0";"0";""
Rovereto;25/1/2024;"4";"-1";"12";"3";"80";"11";"6";"9";"0";"1025";"0";"0";"nebbia "
Rovereto;26/1/2024;"3";"-1";"8";"4";"93";"2";"6";"11";"0";"1026";"0";"0";"nebbia "
Rovereto;27/1/2024;"2";"-1";"4";"3";"99";"0";"6";"11";"0";"1029";"0";"0";"nebbia "
Rovereto;28/1/2024;"2";"-1";"8";"3";"96";"2";"5";"9";"0";"1037";"0";"0";"nebbia "
Rovereto;29/1/2024;"0";"-2";"5";"1";"96";"2";"4";"9";"0";"1037";"0";"0";"nebbia "
Rovereto;30/1/2024;"0";"-3";"8";"2";"93";"3";"4";"8";"0";"1036";"0";"0";"nebbia "
Rovereto;31/1/2024;"2";"-4";"11";"2";"85";"7";"3";"8";"0";"1033";"0";"0";"nebbia "
