LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/10/2024;"16";"14";"19";"13";"82";"20";"0";"0";"0";"1015";"0";"0";"pioggia "
Rovereto;2/10/2024;"16";"15";"17";"15";"97";"12";"0";"0";"0";"1006";"0";"0";"pioggia "
Rovereto;3/10/2024;"14";"13";"16";"13";"90";"12";"0";"0";"0";"1004";"0";"0";"pioggia "
Rovereto;4/10/2024;"13";"12";"14";"11";"90";"16";"0";"0";"0";"1007";"0";"0";"pioggia "
Rovereto;5/10/2024;"14";"10";"18";"10";"80";"20";"0";"0";"0";"1012";"0";"0";""
Rovereto;6/10/2024;"13";"7";"18";"10";"81";"21";"0";"0";"0";"1013";"0";"0";"nebbia "
Rovereto;7/10/2024;"14";"10";"16";"12";"89";"15";"0";"0";"0";"1015";"0";"0";"pioggia "
Rovereto;8/10/2024;"16";"14";"19";"16";"96";"13";"1";"24";"0";"1008";"0";"0";"pioggia "
Rovereto;9/10/2024;"17";"13";"21";"15";"91";"11";"0";"0";"0";"1005";"0";"0";"pioggia nebbia "
Rovereto;10/10/2024;"18";"15";"21";"15";"81";"19";"0";"0";"0";"1000";"0";"0";"pioggia "
Rovereto;11/10/2024;"16";"9";"23";"10";"71";"21";"0";"0";"0";"1010";"0";"0";""
Rovereto;12/10/2024;"15";"9";"20";"11";"78";"19";"0";"0";"0";"1018";"0";"0";""
Rovereto;13/10/2024;"15";"12";"20";"12";"83";"21";"0";"0";"0";"1017";"0";"0";""
Rovereto;14/10/2024;"16";"11";"19";"13";"87";"16";"0";"0";"0";"1020";"0";"0";"pioggia "
Rovereto;15/10/2024;"16";"11";"20";"13";"86";"14";"0";"0";"0";"1020";"0";"0";""
Rovereto;16/10/2024;"15";"12";"18";"14";"93";"18";"0";"0";"0";"1021";"0";"0";"pioggia "
Rovereto;17/10/2024;"17";"15";"19";"15";"92";"18";"0";"0";"0";"1020";"0";"0";"pioggia "
Rovereto;18/10/2024;"17";"15";"20";"16";"92";"14";"0";"0";"0";"1016";"0";"0";"pioggia "
Rovereto;19/10/2024;"16";"14";"18";"15";"95";"17";"0";"0";"0";"1017";"0";"0";"pioggia "
Rovereto;20/10/2024;"18";"14";"22";"13";"73";"20";"0";"0";"0";"1023";"0";"0";""
Rovereto;21/10/2024;"17";"11";"23";"14";"85";"21";"0";"0";"0";"1029";"0";"0";"nebbia "
Rovereto;22/10/2024;"18";"14";"22";"15";"88";"17";"0";"0";"0";"1028";"0";"0";""
Rovereto;23/10/2024;"17";"16";"18";"17";"99";"7";"0";"0";"0";"1028";"0";"0";"pioggia "
Rovereto;24/10/2024;"16";"15";"17";"15";"93";"11";"0";"0";"0";"1028";"0";"0";"pioggia "
Rovereto;25/10/2024;"16";"14";"18";"15";"91";"12";"0";"0";"0";"1024";"0";"0";"pioggia "
Rovereto;26/10/2024;"17";"15";"20";"16";"91";"18";"0";"0";"0";"1022";"0";"0";"pioggia "
Rovereto;27/10/2024;"18";"15";"20";"16";"92";"16";"0";"0";"0";"1024";"0";"0";"pioggia "
Rovereto;28/10/2024;"17";"14";"21";"15";"92";"7";"0";"0";"0";"1026";"0";"0";"nebbia "
Rovereto;29/10/2024;"15";"10";"22";"13";"90";"12";"0";"0";"0";"1025";"0";"0";"nebbia "
Rovereto;30/10/2024;"15";"9";"22";"12";"84";"19";"0";"0";"0";"1024";"0";"0";"nebbia "
Rovereto;31/10/2024;"14";"8";"21";"12";"86";"18";"0";"0";"0";"1025";"0";"0";""
