LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/12/2000;"3,3";"-2";"10,3";"-0,4";"77";"10";"0";"4";"0";"0";"0";"0";""
Telve;2/12/2000;"2,9";"-2";"5";"1,2";"89";"11";"1";"5";"0";"0";"0";"0,8";"pioggia "
Telve;3/12/2000;"6,4";"3,7";"8";"3,8";"83";"10";"0";"5";"0";"0";"0";"0";"pioggia "
Telve;4/12/2000;"6,8";"4,6";"10,6";"5,4";"91";"7";"0";"2";"0";"0";"0";"0";""
Telve;5/12/2000;"6,4";"3";"12";"2,4";"76";"11";"2";"9";"0";"0";"0";"0";""
Telve;6/12/2000;"4,9";"0,9";"7,4";"1,1";"76";"11";"0";"5";"0";"0";"0";"0";""
Telve;7/12/2000;"5,2";"3";"7";"3";"86";"11";"0";"5";"0";"0";"0";"0";"pioggia "
Telve;8/12/2000;"6,2";"4,8";"7,2";"4,4";"88";"8";"0";"2";"0";"0";"0";"0";"pioggia "
Telve;9/12/2000;"7,1";"5,5";"8,6";"6,2";"94";"4";"0";"0";"0";"0";"0";"11,9";"pioggia nebbia "
Telve;10/12/2000;"7,9";"5";"12,3";"6,2";"89";"7";"0";"5";"0";"0";"0";"4,1";""
Telve;11/12/2000;"4,5";"0,5";"9,1";"2,3";"86";"11";"2";"8";"0";"0";"0";"0";""
Telve;12/12/2000;"3,2";"-1,6";"8,4";"0,5";"82";"11";"0";"4";"0";"0";"0";"0";""
Telve;13/12/2000;"1,9";"-1,6";"7";"-0,2";"86";"11";"0";"5";"0";"0";"0";"0";""
Telve;14/12/2000;"1,8";"-3,3";"5,5";"-0,4";"85";"11";"1";"4";"0";"0";"0";"0";""
Telve;15/12/2000;"3,2";"1,4";"5";"1,6";"89";"8";"3";"13";"0";"0";"0";"3,1";"pioggia "
Telve;16/12/2000;"0,9";"-3";"7,4";"-3,2";"74";"11";"0";"4";"0";"0";"0";"0";""
Telve;17/12/2000;"-0,5";"-5,2";"5,1";"-5";"72";"11";"0";"4";"0";"0";"0";"0";""
Telve;18/12/2000;"-0,3";"-5,8";"5";"-5,2";"69";"10";"0";"4";"0";"0";"0";"0";""
Telve;19/12/2000;"-0,7";"-6";"6,2";"-5,6";"69";"12";"0";"4";"0";"0";"0";"0";""
Telve;20/12/2000;"-1,2";"-5";"0,4";"-3,2";"86";"10";"1";"9";"0";"0";"0";"0";""
Telve;21/12/2000;"0,2";"-3";"4,6";"-2,2";"84";"9";"0";"2";"0";"0";"0";"0";""
Telve;22/12/2000;"-1,6";"-6,5";"4,7";"-7,4";"64";"10";"0";"4";"0";"0";"0";"0";""
Telve;23/12/2000;"-3,2";"-7,6";"3,2";"-9";"64";"10";"0";"4";"0";"0";"0";"0";""
Telve;24/12/2000;"-2,8";"-9";"2,4";"-8,5";"65";"11";"1";"9";"0";"0";"0";"0";"neve "
Telve;25/12/2000;"-1,4";"-2,8";"0";"-2,8";"90";"1";"0";"2";"0";"0";"0";"5,1";"neve nebbia "
Telve;26/12/2000;"0,6";"-1";"2,5";"-1,1";"88";"2";"0";"0";"0";"0";"0";"1";"pioggia neve nebbia "
Telve;27/12/2000;"2,1";"0,5";"3,7";"0,4";"88";"2";"0";"2";"0";"0";"0";"1";"pioggia nebbia "
Telve;28/12/2000;"3,2";"-3";"9,4";"0,6";"83";"11";"0";"4";"0";"0";"0";"0";""
Telve;29/12/2000;"2,3";"-1,1";"5";"-0,3";"83";"11";"0";"8";"0";"0";"0";"0,8";"pioggia "
Telve;30/12/2000;"1,6";"-2";"6,9";"-5,2";"60";"10";"0";"4";"0";"0";"0";"1";""
Telve;31/12/2000;"0,3";"-5";"5";"-8,9";"50";"10";"0";"4";"0";"0";"0";"0";""
