LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/7/2002;"22,9";"14";"27,4";"13,6";"56";"11";"17";"29";"0";"0";"0";"0";""
Telve;2/7/2002;"20,3";"17,4";"22,7";"16,7";"80";"9";"5";"11";"0";"0";"0";"2";"pioggia "
Telve;3/7/2002;"23,2";"18";"29,8";"17,4";"70";"11";"7";"21";"0";"0";"0";"0";""
Telve;4/7/2002;"23,7";"16";"27,4";"11";"45";"11";"12";"18";"24";"0";"0";"10,7";"pioggia temporale "
Telve;5/7/2002;"21,9";"14,9";"27,5";"12,1";"54";"11";"10";"22";"0";"0";"0";"0";""
Telve;6/7/2002;"19,8";"16";"26";"14,7";"72";"11";"7";"24";"42";"0";"0";"0";"pioggia "
Telve;7/7/2002;"22,1";"13,2";"29,5";"13,7";"59";"11";"10";"28";"0";"0";"0";"0,5";""
Telve;8/7/2002;"25,2";"16,2";"30,6";"16,3";"58";"11";"12";"28";"0";"0";"0";"0";""
Telve;9/7/2002;"24,8";"17,6";"31,5";"17,3";"63";"11";"12";"28";"0";"0";"0";"0";""
Telve;10/7/2002;"25";"17,9";"31,3";"17,1";"62";"11";"12";"34";"0";"0";"0";"0";""
Telve;11/7/2002;"24,6";"17";"30,7";"16,8";"62";"11";"4";"13";"0";"0";"0";"1,5";""
Telve;12/7/2002;"25,4";"20";"31,9";"16,6";"58";"11";"10";"26";"0";"0";"0";"0";""
Telve;13/7/2002;"21,4";"16,8";"29,4";"17,4";"78";"11";"5";"13";"0";"0";"0";"18";"pioggia temporale "
Telve;14/7/2002;"20,5";"14,1";"26,5";"15,3";"72";"11";"8";"22";"0";"0";"0";"0,3";"pioggia temporale "
Telve;15/7/2002;"21,1";"17,6";"24,7";"17,3";"79";"11";"7";"34";"0";"0";"0";"14,2";"pioggia temporale "
Telve;16/7/2002;"19";"16,5";"23,1";"16,6";"86";"10";"4";"21";"0";"0";"0";"2";"pioggia temporale "
Telve;17/7/2002;"20";"16,8";"24,6";"17,2";"84";"11";"3";"18";"0";"0";"0";"7,1";"pioggia temporale "
Telve;18/7/2002;"22,1";"16,7";"29";"15,9";"68";"11";"4";"13";"0";"0";"0";"7,1";""
Telve;19/7/2002;"21,8";"15,7";"27";"14";"61";"13";"13";"28";"0";"0";"0";"0";""
Telve;20/7/2002;"24,1";"18,5";"29";"16,7";"63";"11";"11";"28";"0";"0";"0";"0";""
Telve;21/7/2002;"23,5";"19,7";"27";"18,3";"73";"11";"4";"15";"0";"0";"0";"0";""
Telve;22/7/2002;"23,9";"17,5";"29,2";"15,9";"61";"11";"5";"15";"0";"0";"0";"0";""
Telve;23/7/2002;"23,1";"19";"29,5";"14,9";"60";"11";"11";"31";"0";"0";"0";"0";""
Telve;24/7/2002;"23,9";"19,6";"28,6";"18,5";"72";"11";"9";"21";"0";"0";"0";"0";"pioggia temporale "
Telve;25/7/2002;"22,3";"15,4";"27,7";"11";"49";"11";"12";"28";"0";"0";"0";"2";""
Telve;26/7/2002;"22,8";"16";"27,5";"11,1";"48";"11";"11";"22";"0";"0";"0";"0";""
Telve;27/7/2002;"23,8";"14,7";"28,4";"15,3";"59";"11";"16";"31";"0";"0";"0";"0";""
Telve;28/7/2002;"24,7";"18,4";"30,2";"16,4";"60";"11";"11";"24";"0";"0";"0";"0";""
Telve;29/7/2002;"25,1";"19,6";"30,5";"18,2";"66";"11";"8";"17";"0";"0";"0";"2";"temporale "
Telve;30/7/2002;"26,8";"22";"30,5";"16,5";"53";"13";"11";"35";"0";"0";"0";"0";""
Telve;31/7/2002;"23,9";"17,7";"30,2";"17";"65";"13";"9";"24";"0";"1007";"980";"0";""
