LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/11/2005;"11,3";"8";"13,3";"8,9";"85";"9";"3";"8";"0";"0";"0";"0,5";"pioggia "
Telve;2/11/2005;"11,8";"7";"17";"9,1";"84";"9";"3";"8";"0";"0";"0";"0";""
Telve;3/11/2005;"9,4";"5,3";"16,4";"6,9";"84";"13";"3";"8";"0";"1026";"996";"0";""
Telve;4/11/2005;"9,7";"3,7";"15";"7,1";"84";"11";"2";"5";"0";"0";"0";"0";""
Telve;5/11/2005;"11,2";"8,6";"13,5";"9,6";"90";"8";"2";"8";"0";"0";"0";"2";"pioggia "
Telve;6/11/2005;"10,7";"10";"11,5";"9,6";"93";"7";"2";"4";"0";"1028";"998";"22,9";"pioggia "
Telve;7/11/2005;"10,7";"7";"17,8";"8,8";"88";"11";"2";"5";"0";"0";"0";"2";""
Telve;8/11/2005;"7,6";"3";"16,8";"5,4";"86";"9";"1";"4";"0";"0";"0";"0";"nebbia "
Telve;9/11/2005;"8,1";"2,1";"15";"4,6";"79";"10";"1";"4";"0";"0";"0";"0";""
Telve;10/11/2005;"7,2";"1,9";"16,2";"3,6";"78";"11";"2";"5";"0";"0";"0";"0";""
Telve;11/11/2005;"6,8";"1";"15,6";"2,9";"76";"11";"1";"4";"0";"0";"0";"0";""
Telve;12/11/2005;"5,9";"0,2";"14,1";"2,3";"78";"12";"2";"4";"0";"1027";"998";"0";""
Telve;13/11/2005;"6,6";"3,2";"12,5";"4,7";"88";"0";"2";"0";"18";"0";"1020";"0";""
Telve;14/11/2005;"6";"3,1";"11,4";"3,7";"85";"0";"3";"0";"21";"0";"1023";"0";""
Telve;15/11/2005;"6,6";"3,7";"11,6";"4,9";"89";"0";"3";"0";"31";"0";"1015";"0";""
Telve;16/11/2005;"7,5";"4,1";"12,4";"6";"90";"0";"3";"0";"26";"0";"1001";"0";""
Telve;17/11/2005;"7,1";"4,2";"10,9";"-2,3";"52";"0";"5";"0";"44";"0";"1005";"0";""
Telve;18/11/2005;"3,4";"1,3";"6,7";"-5,5";"52";"0";"4";"0";"28";"0";"1015";"0";""
Telve;19/11/2005;"2,6";"0,4";"6,8";"-9,2";"42";"0";"5";"0";"34";"0";"1023";"0";""
Telve;20/11/2005;"1,3";"-2,4";"5,8";"-7,7";"51";"0";"3";"0";"22";"0";"1027";"0";""
Telve;21/11/2005;"2,6";"-0,9";"7";"-2,5";"68";"0";"5";"0";"34";"0";"1021";"0";""
Telve;22/11/2005;"1";"-1,5";"5,1";"-6,1";"60";"0";"4";"0";"42";"0";"1025";"0";""
Telve;23/11/2005;"-1,1";"-3,8";"3,3";"-10,1";"50";"0";"5";"0";"42";"0";"1023";"0";""
Telve;24/11/2005;"-1,8";"-3,8";"1,6";"-8,2";"62";"0";"2";"0";"23";"0";"1013";"0";""
Telve;25/11/2005;"0,4";"-2,3";"2,7";"-2,4";"82";"0";"6";"0";"47";"0";"998";"1,3";"pioggia neve "
Telve;26/11/2005;"0,4";"-0,6";"1,7";"-0,3";"93";"0";"2";"0";"30";"0";"997";"7,5";"pioggia neve "
Telve;27/11/2005;"0,1";"-2,9";"3,8";"-3,5";"77";"0";"2";"0";"17";"0";"996";"0";"neve "
Telve;28/11/2005;"-1,8";"-6,1";"3";"-8,3";"61";"0";"4";"0";"26";"0";"1004";"0";""
Telve;29/11/2005;"-1,2";"-3,1";"2,1";"-4,7";"78";"0";"3";"0";"26";"0";"1009";"6,2";"pioggia neve "
Telve;30/11/2005;"-3,2";"-7,6";"2,8";"-7,6";"71";"0";"4";"0";"26";"0";"1011";"0";""
