LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/4/2009;"15";"10";"22";"9";"65";"13";"3";"6";"0";"1015";"0";"0,5";"pioggia "
Telve;2/4/2009;"14";"11";"16";"9";"70";"10";"5";"12";"0";"1017";"0";"0";"pioggia "
Telve;3/4/2009;"15";"7";"21";"7";"61";"14";"4";"8";"0";"1019";"0";"0";""
Telve;4/4/2009;"15";"6";"21";"6";"54";"12";"5";"18";"0";"1018";"0";"0";""
Telve;5/4/2009;"15";"10";"20";"7";"56";"11";"4";"10";"0";"1020";"0";"0";""
Telve;6/4/2009;"15";"7";"22";"5";"52";"15";"4";"9";"0";"1017";"0";"0";""
Telve;7/4/2009;"16";"6";"23";"5";"49";"14";"5";"12";"0";"1014";"0";"0";""
Telve;8/4/2009;"16";"7";"23";"6";"50";"11";"6";"14";"0";"1017";"0";"0";""
Telve;9/4/2009;"17";"8";"24";"7";"51";"11";"5";"13";"0";"1018";"0";"0";""
Telve;10/4/2009;"16";"9";"23";"5";"49";"9";"6";"12";"0";"1014";"0";"0";""
Telve;11/4/2009;"16";"7";"24";"4";"45";"14";"5";"12";"0";"1013";"0";"0";""
Telve;12/4/2009;"16";"8";"22";"5";"47";"11";"5";"13";"0";"1011";"0";"0";""
Telve;13/4/2009;"17";"8";"23";"5";"44";"13";"4";"14";"28";"1006";"0";"0";"pioggia "
Telve;14/4/2009;"18";"9";"26";"5";"44";"13";"5";"16";"0";"1008";"0";"0";""
Telve;15/4/2009;"17";"8";"23";"5";"45";"12";"10";"83";"0";"1012";"0";"0";""
Telve;16/4/2009;"12";"10";"14";"9";"82";"7";"4";"12";"0";"1012";"0";"3,1";"pioggia "
Telve;17/4/2009;"13";"8";"19";"7";"67";"12";"5";"12";"0";"1010";"0";"20,1";"pioggia "
Telve;18/4/2009;"13";"8";"18";"7";"66";"12";"4";"8";"0";"1014";"0";"0";"pioggia "
Telve;19/4/2009;"13";"0";"16";"8";"67";"13";"5";"10";"0";"1018";"0";"0";""
Telve;20/4/2009;"14";"10";"18";"10";"75";"11";"6";"14";"0";"1020";"0";"0";""
Telve;21/4/2009;"14";"10";"18";"10";"74";"10";"3";"8";"0";"1017";"0";"0";""
Telve;22/4/2009;"18";"7";"26";"6";"48";"20";"7";"15";"0";"1015";"0";"0";""
Telve;23/4/2009;"17";"12";"20";"6";"36";"11";"10";"22";"21";"1015";"0";"0";""
Telve;24/4/2009;"13";"6";"19";"2";"42";"13";"6";"15";"0";"1019";"0";"0";""
Telve;25/4/2009;"15";"6";"22";"4";"48";"14";"5";"12";"0";"1020";"0";"0";""
Telve;26/4/2009;"12";"8";"15";"8";"77";"9";"4";"7";"0";"1018";"0";"0";"pioggia "
Telve;27/4/2009;"11";"9";"14";"9";"89";"8";"3";"8";"0";"1013";"0";"10,2";"pioggia "
Telve;28/4/2009;"12";"9";"15";"10";"89";"9";"3";"6";"0";"1006";"0";"5,1";"pioggia "
Telve;29/4/2009;"12";"9";"17";"9";"81";"10";"5";"12";"0";"1007";"0";"18";"pioggia temporale "
Telve;30/4/2009;"14";"7";"20";"6";"58";"15";"4";"9";"0";"1013";"0";"0,8";""
