LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/1/2009;"0";"-5";"4";"0";"83";"8";"2";"5";"0";"1025";"0";"0";"neve "
Telve;2/1/2009;"-2";"-8";"4";"0";"79";"11";"2";"5";"0";"1021";"0";"0";""
Telve;3/1/2009;"-4";"-9";"3";"0";"74";"13";"3";"6";"0";"1022";"0";"0";""
Telve;4/1/2009;"-5";"-9";"2";"0";"64";"16";"2";"4";"0";"1042";"0";"0";""
Telve;5/1/2009;"-3";"-9";"1";"0";"68";"14";"2";"4";"0";"1014";"0";"0";""
Telve;6/1/2009;"-1";"-4";"2";"0";"74";"10";"3";"7";"0";"1017";"0";"0";""
Telve;7/1/2009;"0";"-3";"2";"0";"71";"11";"2";"4";"0";"1018";"0";"0";""
Telve;8/1/2009;"1";"-4";"5";"0";"63";"10";"2";"5";"0";"1024";"0";"0";""
Telve;9/1/2009;"-2";"-7";"3";"0";"60";"14";"2";"6";"0";"1030";"0";"0";""
Telve;10/1/2009;"-3";"-8";"4";"0";"60";"18";"2";"4";"0";"1030";"0";"0";""
Telve;11/1/2009;"-1";"-7";"6";"0";"60";"17";"2";"2";"0";"1033";"0";"0";""
Telve;12/1/2009;"-1";"-5";"6";"0";"62";"19";"2";"4";"0";"1031";"0";"0";""
Telve;13/1/2009;"-1";"-7";"6";"0";"68";"11";"2";"6";"0";"1023";"0";"0";""
Telve;14/1/2009;"4";"-1";"8";"0";"66";"11";"3";"6";"0";"1012";"0";"0";"pioggia "
Telve;15/1/2009;"5";"2";"7";"1";"72";"11";"3";"5";"0";"1019";"0";"0";""
Telve;16/1/2009;"2";"-3";"8";"0";"75";"13";"2";"6";"0";"1025";"0";"0";""
Telve;17/1/2009;"0";"-5";"5";"0";"79";"13";"2";"5";"0";"1025";"0";"0";""
Telve;18/1/2009;"0";"-3";"2";"0";"82";"10";"3";"5";"0";"1017";"0";"0";"neve "
Telve;19/1/2009;"2";"0";"4";"0";"80";"10";"3";"6";"0";"1011";"0";"0";"pioggia neve "
Telve;20/1/2009;"1";"0";"1";"1";"95";"1";"2";"2";"0";"1002";"0";"1,8";"pioggia neve nebbia "
Telve;21/1/2009;"2";"1";"4";"2";"96";"6";"2";"5";"0";"1004";"0";"25,9";"pioggia "
Telve;22/1/2009;"4";"0";"8";"1";"77";"11";"3";"4";"0";"1006";"0";"9,1";""
Telve;23/1/2009;"0";"-3";"2";"0";"80";"8";"3";"5";"0";"995";"0";"0";"neve "
Telve;24/1/2009;"0";"-5";"3";"0";"85";"10";"2";"5";"0";"991";"0";"1";""
Telve;25/1/2009;"2";"-4";"10";"0";"67";"14";"2";"5";"0";"999";"0";"39,1";""
Telve;26/1/2009;"2";"-2";"8";"0";"60";"12";"2";"5";"0";"1004";"0";"0";""
Telve;27/1/2009;"4";"0";"8";"0";"66";"10";"2";"4";"0";"1005";"0";"0";"pioggia neve "
Telve;28/1/2009;"7";"4";"11";"0";"39";"10";"3";"9";"0";"1009";"0";"0";""
Telve;29/1/2009;"4";"0";"13";"0";"57";"11";"2";"4";"0";"1013";"0";"0";""
Telve;30/1/2009;"2";"-2";"9";"0";"72";"17";"2";"5";"0";"1018";"0";"0";""
Telve;31/1/2009;"2";"-6";"5";"0";"73";"12";"5";"9";"0";"1014";"0";"0";""
