LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/5/2012;"15";"11";"19";"13";"84";"10";"6";"19";"0";"1017";"0";"0";"pioggia "
Telve;2/5/2012;"18";"13";"24";"12";"69";"9";"9";"13";"0";"1014";"0";"0";"nebbia "
Telve;3/5/2012;"18";"9";"24";"10";"61";"10";"11";"32";"52";"1009";"0";"0";"pioggia temporale "
Telve;4/5/2012;"17";"8";"24";"9";"62";"10";"10";"22";"44";"1007";"0";"0";""
Telve;5/5/2012;"16";"10";"20";"10";"70";"10";"12";"26";"0";"1008";"0";"0";"pioggia "
Telve;6/5/2012;"16";"11";"20";"11";"76";"10";"8";"24";"39";"1010";"0";"0";"pioggia "
Telve;7/5/2012;"18";"7";"24";"7";"51";"10";"9";"24";"0";"1014";"0";"0";""
Telve;8/5/2012;"19";"13";"24";"8";"52";"10";"11";"28";"46";"1017";"0";"0";""
Telve;9/5/2012;"20";"11";"26";"10";"54";"10";"9";"20";"0";"1018";"0";"0";""
Telve;10/5/2012;"23";"13";"30";"11";"50";"10";"11";"26";"0";"1023";"0";"0";""
Telve;11/5/2012;"24";"14";"32";"13";"51";"0";"13";"26";"43";"1024";"0";"0";""
Telve;12/5/2012;"23";"15";"28";"15";"60";"10";"9";"30";"0";"1019";"0";"0";"pioggia temporale "
Telve;13/5/2012;"20";"17";"23";"1";"23";"10";"20";"30";"56";"1017";"0";"0";""
Telve;14/5/2012;"18";"10";"24";"4";"26";"0";"12";"30";"0";"1012";"0";"0";""
Telve;15/5/2012;"17";"8";"24";"4";"42";"10";"14";"22";"0";"1007";"0";"0";""
Telve;16/5/2012;"14";"10";"17";"2";"31";"10";"21";"30";"44";"1013";"0";"0";""
Telve;17/5/2012;"13";"6";"20";"0";"35";"0";"9";"20";"0";"1020";"0";"0";""
Telve;18/5/2012;"16";"9";"21";"3";"41";"10";"13";"33";"0";"1015";"0";"0";""
Telve;19/5/2012;"18";"8";"25";"7";"51";"10";"13";"24";"0";"1014";"0";"0";""
Telve;20/5/2012;"16";"9";"22";"10";"69";"9";"9";"30";"44";"1012";"0";"0";"pioggia "
Telve;21/5/2012;"13";"12";"14";"12";"95";"8";"5";"11";"0";"1005";"0";"0";"pioggia "
Telve;22/5/2012;"18";"11";"22";"11";"68";"10";"4";"9";"0";"1006";"0";"0";""
Telve;23/5/2012;"24";"13";"31";"10";"47";"10";"13";"28";"46";"1013";"0";"0";""
Telve;24/5/2012;"22";"14";"28";"11";"49";"10";"9";"35";"65";"1018";"0";"0";""
Telve;25/5/2012;"23";"14";"30";"10";"47";"10";"14";"37";"59";"1016";"0";"0";""
Telve;26/5/2012;"21";"17";"26";"10";"50";"10";"19";"26";"0";"1015";"0";"0";""
Telve;27/5/2012;"21";"16";"26";"9";"48";"10";"14";"22";"0";"1016";"0";"0";""
Telve;28/5/2012;"20";"13";"25";"11";"59";"10";"5";"13";"0";"1013";"0";"0";""
Telve;29/5/2012;"21";"12";"26";"9";"50";"10";"11";"30";"61";"1012";"0";"0";""
Telve;30/5/2012;"23";"10";"29";"9";"44";"10";"10";"20";"37";"1016";"0";"0";""
Telve;31/5/2012;"24";"14";"28";"12";"49";"10";"11";"26";"0";"1016";"0";"0";""
