LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/3/2016;"12";"3";"18";"3";"42";"10";"10";"17";"46";"1012";"0";"0";""
Telve;2/3/2016;"10";"2";"15";"3";"50";"10";"9";"30";"48";"1005";"0";"0";"pioggia "
Telve;3/3/2016;"8";"5";"10";"0";"38";"10";"11";"20";"44";"999";"0";"0";""
Telve;4/3/2016;"8";"-1";"13";"0";"43";"0";"5";"7";"0";"1005";"0";"0";""
Telve;5/3/2016;"1";"0";"4";"2";"98";"3";"4";"7";"0";"1001";"0";"0";"pioggia neve nebbia "
Telve;6/3/2016;"4";"1";"7";"2";"83";"9";"4";"9";"0";"1001";"0";"0";"pioggia "
Telve;7/3/2016;"6";"0";"10";"1";"60";"10";"5";"9";"0";"1002";"0";"0";""
Telve;8/3/2016;"8";"3";"11";"1";"42";"10";"8";"15";"0";"1010";"0";"0";""
Telve;9/3/2016;"8";"2";"11";"0";"47";"10";"5";"13";"0";"1010";"0";"0";""
Telve;10/3/2016;"11";"3";"17";"0";"40";"10";"6";"15";"0";"1011";"0";"0";""
Telve;11/3/2016;"10";"2";"15";"0";"43";"10";"6";"13";"32";"1017";"0";"0";""
Telve;12/3/2016;"12";"3";"17";"1";"44";"10";"5";"11";"32";"1018";"0";"0";""
Telve;13/3/2016;"12";"3";"17";"0";"34";"10";"9";"13";"39";"1020";"0";"0";""
Telve;14/3/2016;"11";"2";"17";"0";"39";"10";"7";"13";"0";"1022";"0";"0";""
Telve;15/3/2016;"8";"1";"10";"0";"51";"10";"5";"9";"28";"1015";"0";"0";""
Telve;16/3/2016;"9";"3";"14";"2";"55";"10";"5";"7";"0";"1023";"0";"0";""
Telve;17/3/2016;"11";"4";"17";"0";"39";"10";"6";"9";"0";"1024";"0";"0";""
Telve;18/3/2016;"12";"1";"20";"0";"42";"0";"5";"9";"26";"1016";"0";"0";""
Telve;19/3/2016;"14";"1";"21";"2";"37";"0";"7";"13";"0";"1014";"0";"0";""
Telve;20/3/2016;"14";"2";"20";"3";"43";"10";"10";"17";"0";"1014";"0";"0";""
Telve;21/3/2016;"15";"9";"20";"3";"45";"10";"9";"13";"32";"1012";"0";"0";""
Telve;22/3/2016;"15";"7";"21";"2";"37";"10";"5";"7";"0";"1005";"0";"0";""
Telve;23/3/2016;"13";"11";"16";"0";"21";"10";"21";"30";"59";"1000";"0";"0";""
Telve;24/3/2016;"15";"7";"19";"0";"19";"0";"16";"22";"48";"1009";"0";"0";""
Telve;25/3/2016;"13";"6";"17";"0";"34";"10";"10";"17";"33";"1014";"0";"0";""
Telve;26/3/2016;"14";"2";"21";"1";"43";"10";"5";"11";"0";"1017";"0";"0";""
Telve;27/3/2016;"13";"4";"19";"2";"45";"10";"11";"20";"54";"1013";"0";"0";""
Telve;28/3/2016;"14";"11";"17";"6";"61";"10";"11";"19";"44";"1011";"0";"0";""
Telve;29/3/2016;"16";"6";"21";"5";"52";"10";"10";"19";"52";"1012";"0";"0";""
Telve;30/3/2016;"15";"11";"19";"7";"59";"10";"5";"9";"0";"1017";"0";"0";""
Telve;31/3/2016;"18";"13";"21";"8";"54";"10";"8";"13";"0";"1015";"0";"0";""
