LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/10/2023;"19";"11";"26";"12";"64";"19";"3";"8";"0";"1025";"0";"0";""
Telve;2/10/2023;"19";"10";"26";"11";"63";"20";"4";"8";"0";"1025";"0";"0";""
Telve;3/10/2023;"20";"13";"27";"13";"66";"19";"4";"8";"0";"1022";"0";"0";""
Telve;4/10/2023;"21";"13";"27";"12";"60";"22";"7";"17";"0";"1023";"0";"0";""
Telve;5/10/2023;"21";"17";"25";"13";"61";"21";"5";"9";"0";"1023";"0";"0";""
Telve;6/10/2023;"19";"12";"26";"11";"59";"22";"5";"8";"0";"1025";"0";"0";""
Telve;7/10/2023;"19";"10";"26";"10";"61";"19";"4";"8";"0";"1024";"0";"0";""
Telve;8/10/2023;"19";"10";"27";"11";"64";"19";"4";"11";"0";"1024";"0";"0";""
Telve;9/10/2023;"20";"13";"26";"11";"59";"20";"3";"8";"0";"1022";"0";"0";""
Telve;10/10/2023;"18";"10";"23";"10";"64";"20";"3";"8";"0";"1021";"0";"0";""
Telve;11/10/2023;"19";"8";"26";"9";"59";"18";"5";"8";"0";"1022";"0";"0";""
Telve;12/10/2023;"19";"13";"25";"11";"62";"22";"5";"9";"0";"1021";"0";"0";""
Telve;13/10/2023;"20";"14";"25";"12";"60";"18";"6";"13";"0";"1020";"0";"0";""
Telve;14/10/2023;"18";"11";"22";"13";"74";"13";"4";"9";"0";"1014";"0";"0";"pioggia temporale "
Telve;15/10/2023;"18";"12";"23";"9";"47";"20";"9";"21";"0";"1013";"0";"0";""
Telve;16/10/2023;"12";"5";"18";"3";"54";"19";"5";"11";"0";"1020";"0";"0";""
Telve;17/10/2023;"11";"3";"17";"4";"65";"20";"4";"8";"0";"1018";"0";"0";""
Telve;18/10/2023;"11";"4";"15";"6";"73";"18";"5";"9";"0";"1015";"0";"0";"pioggia "
Telve;19/10/2023;"12";"11";"13";"11";"90";"9";"3";"5";"0";"1003";"0";"0";"pioggia "
Telve;20/10/2023;"15";"12";"17";"14";"97";"12";"5";"8";"0";"992";"0";"0";"pioggia "
Telve;21/10/2023;"15";"12";"19";"12";"83";"18";"5";"9";"0";"1003";"0";"0";""
Telve;22/10/2023;"14";"12";"18";"12";"85";"19";"3";"8";"0";"1013";"0";"0";"pioggia "
Telve;23/10/2023;"15";"9";"20";"11";"79";"20";"4";"8";"0";"1017";"0";"0";""
Telve;24/10/2023;"13";"13";"14";"13";"97";"6";"3";"5";"0";"1007";"0";"0";"pioggia "
Telve;25/10/2023;"14";"13";"17";"12";"88";"12";"4";"8";"0";"1004";"0";"0";"pioggia "
Telve;26/10/2023;"13";"10";"16";"12";"89";"18";"3";"5";"0";"1001";"0";"0";"pioggia "
Telve;27/10/2023;"16";"10";"21";"11";"76";"20";"5";"8";"0";"996";"0";"0";"pioggia "
Telve;28/10/2023;"12";"6";"17";"8";"77";"18";"3";"5";"0";"1007";"0";"0";""
Telve;29/10/2023;"11";"7";"14";"9";"86";"19";"4";"9";"0";"1014";"0";"0";""
Telve;30/10/2023;"13";"11";"14";"12";"93";"10";"4";"11";"0";"1008";"0";"0";"pioggia temporale "
Telve;31/10/2023;"10";"6";"12";"8";"87";"16";"6";"18";"0";"1007";"0";"0";"pioggia temporale "
