LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/9/2000;"19,9";"13";"26,9";"14,4";"71";"11";"6";"18";"0";"0";"0";"16";""
Tenno;2/9/2000;"20,6";"14";"27";"17,3";"81";"10";"4";"15";"0";"0";"0";"0";""
Tenno;3/9/2000;"20,6";"16,8";"26";"15,6";"73";"11";"6";"15";"0";"0";"0";"0";"pioggia "
Tenno;4/9/2000;"18,1";"14";"24,1";"15,4";"84";"11";"11";"34";"35";"0";"0";"0,8";"pioggia temporale "
Tenno;5/9/2000;"17,8";"9,9";"24,1";"10,9";"64";"11";"4";"15";"0";"0";"0";"0";""
Tenno;6/9/2000;"18,9";"13";"24,3";"12,6";"67";"11";"4";"9";"0";"0";"0";"0";""
Tenno;7/9/2000;"19,4";"15";"25";"16,5";"83";"11";"6";"29";"74";"0";"0";"0";""
Tenno;8/9/2000;"18,6";"12";"24,6";"11,9";"65";"11";"4";"8";"0";"0";"0";"0";""
Tenno;9/9/2000;"19,1";"13";"25";"13,9";"72";"10";"5";"11";"0";"0";"0";"0";""
Tenno;10/9/2000;"19,1";"11";"26,2";"13,8";"71";"10";"2";"8";"0";"0";"0";"0";""
Tenno;11/9/2000;"20,4";"12,6";"27,6";"14,1";"67";"10";"3";"8";"0";"0";"0";"0";""
Tenno;12/9/2000;"20,6";"13";"28,4";"14,3";"67";"10";"4";"9";"0";"0";"0";"0";""
Tenno;13/9/2000;"21,3";"15";"27,4";"16,1";"72";"10";"4";"9";"0";"0";"0";"0";""
Tenno;14/9/2000;"20,7";"15";"26,4";"17,8";"83";"6";"3";"8";"0";"0";"0";"0";""
Tenno;15/9/2000;"21,8";"17";"28";"18,6";"82";"4";"3";"8";"0";"0";"0";"0";""
Tenno;16/9/2000;"21,3";"16";"26,4";"18,3";"83";"6";"3";"28";"65";"0";"0";"22,1";"pioggia temporale nebbia "
Tenno;17/9/2000;"19,8";"15,7";"25";"16,1";"79";"8";"2";"8";"0";"0";"0";"7,9";"nebbia "
Tenno;18/9/2000;"20,3";"14,9";"25,8";"17,7";"85";"10";"3";"9";"0";"0";"0";"0";""
Tenno;19/9/2000;"20,6";"17,7";"25";"18,7";"89";"9";"5";"15";"34";"0";"0";"0,8";"pioggia temporale "
Tenno;20/9/2000;"20,7";"14,6";"24,4";"19";"90";"8";"19";"35";"54";"0";"0";"0,8";"pioggia temporale "
Tenno;21/9/2000;"16,7";"12,9";"20,2";"14,4";"86";"11";"7";"21";"39";"0";"0";"35,1";"pioggia "
Tenno;22/9/2000;"18,1";"12,7";"24,3";"12,9";"72";"11";"3";"8";"0";"0";"0";"0";""
Tenno;23/9/2000;"17,1";"12";"22";"14,6";"85";"11";"7";"13";"0";"0";"0";"0";""
Tenno;24/9/2000;"16,8";"13";"21,6";"14,4";"86";"11";"6";"15";"0";"0";"0";"0";""
Tenno;25/9/2000;"17,4";"13";"23";"14,4";"83";"10";"3";"9";"0";"0";"0";"0";""
Tenno;26/9/2000;"18";"13";"23,7";"15,4";"85";"5";"4";"9";"0";"0";"0";"0";""
Tenno;27/9/2000;"18,6";"13,7";"24,7";"16";"85";"3";"3";"9";"0";"0";"0";"0";""
Tenno;28/9/2000;"17,8";"13,6";"22,5";"15,9";"89";"3";"5";"9";"0";"0";"0";"0";""
Tenno;29/9/2000;"17,2";"13,6";"21,6";"16,2";"94";"7";"17";"31";"0";"0";"0";"9,9";"pioggia temporale "
Tenno;30/9/2000;"17,2";"15";"18,7";"16,4";"95";"8";"20";"34";"47";"0";"0";"24,6";"pioggia "
