LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/4/2006;"14,3";"10,4";"18,8";"11,6";"84";"5";"4";"13";"0";"0";"0";"0";"pioggia "
Tenno;2/4/2006;"13,4";"5,8";"19,8";"9,3";"76";"4";"4";"11";"0";"0";"0";"0";"nebbia "
Tenno;3/4/2006;"13,2";"7";"20,6";"8";"71";"7";"11";"26";"48";"0";"0";"0";"temporale "
Tenno;4/4/2006;"11,8";"5";"19,6";"2,6";"53";"10";"9";"13";"0";"0";"0";"0";""
Tenno;5/4/2006;"11,7";"8,6";"15,4";"0,6";"46";"11";"14";"26";"0";"0";"0";"0";"pioggia "
Tenno;6/4/2006;"7,7";"2";"10";"7,3";"97";"9";"11";"39";"63";"0";"0";"19,1";"pioggia "
Tenno;7/4/2006;"6,7";"1";"12,4";"1,9";"71";"8";"4";"11";"0";"0";"0";"0";"nebbia "
Tenno;8/4/2006;"9,1";"1,4";"15,8";"4";"70";"9";"6";"11";"0";"0";"0";"0";""
Tenno;9/4/2006;"10,4";"5,8";"14,2";"7,6";"83";"5";"6";"15";"0";"0";"0";"0";""
Tenno;10/4/2006;"12,3";"7,8";"17,8";"9,5";"83";"9";"15";"29";"42";"0";"0";"2";"pioggia temporale "
Tenno;11/4/2006;"8,8";"5";"13,2";"6,1";"83";"11";"10";"18";"0";"0";"0";"3,1";"pioggia "
Tenno;12/4/2006;"8,8";"1,6";"16";"1,6";"61";"11";"5";"13";"0";"0";"0";"0";"pioggia "
Tenno;13/4/2006;"11,2";"2,2";"18,4";"1,2";"50";"10";"7";"13";"0";"0";"0";"0";""
Tenno;14/4/2006;"13,4";"3,6";"21,6";"3,8";"52";"10";"6";"15";"0";"0";"0";"0";""
Tenno;15/4/2006;"13,3";"7";"18,6";"8,7";"74";"6";"4";"9";"0";"0";"0";"0";"pioggia "
Tenno;16/4/2006;"15,6";"11,8";"21,2";"11,3";"76";"8";"9";"22";"0";"0";"0";"0,5";"pioggia "
Tenno;17/4/2006;"14,7";"10";"20,4";"12,4";"86";"9";"8";"15";"0";"0";"0";"0,5";"pioggia temporale "
Tenno;18/4/2006;"14,5";"12";"20,6";"11,8";"84";"10";"8";"28";"0";"0";"0";"9,9";"pioggia temporale "
Tenno;19/4/2006;"14,8";"9,7";"20,6";"9,6";"71";"11";"8";"17";"0";"0";"0";"0";""
Tenno;20/4/2006;"15,6";"8";"21,8";"8,9";"64";"11";"7";"11";"0";"0";"0";"0";""
Tenno;21/4/2006;"17,1";"10";"24,2";"9,5";"61";"9";"6";"11";"0";"0";"0";"0";""
Tenno;22/4/2006;"17,6";"9";"25";"9,2";"58";"10";"6";"15";"0";"0";"0";"0";""
Tenno;23/4/2006;"18";"9";"25,6";"8,3";"53";"10";"4";"9";"0";"0";"0";"0";""
Tenno;24/4/2006;"18,7";"10";"26,6";"8,2";"50";"10";"6";"11";"0";"0";"0";"0";""
Tenno;25/4/2006;"18,9";"11";"27";"7,2";"47";"11";"0";"0";"0";"0";"0";"0";""
Tenno;26/4/2006;"18,4";"12";"26";"11,2";"63";"11";"7";"15";"0";"0";"0";"0";"temporale "
Tenno;27/4/2006;"15";"9,8";"20,2";"12,9";"87";"10";"9";"22";"0";"0";"0";"0,5";"pioggia "
Tenno;28/4/2006;"16";"13";"21,4";"13,2";"83";"8";"5";"11";"0";"0";"0";"13";"pioggia temporale "
Tenno;29/4/2006;"15,2";"11";"20,2";"14,1";"93";"8";"9";"28";"61";"0";"0";"7,1";"pioggia "
Tenno;30/4/2006;"11,8";"7";"16,4";"8,4";"80";"11";"14";"26";"47";"0";"0";"18";"pioggia temporale "
