LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/1/2007;"4,2";"3";"5";"4,1";"99";"2";"3";"11";"0";"1031";"0";"0";"pioggia nebbia "
Tenno;2/1/2007;"4,6";"2,6";"8,4";"3,8";"95";"4";"9";"21";"0";"1018";"0";"3,1";"pioggia temporale nebbia "
Tenno;3/1/2007;"5,1";"-1,6";"11,8";"-5,2";"47";"10";"11";"18";"0";"1022";"0";"0";""
Tenno;4/1/2007;"3,7";"-0,4";"7,4";"0,8";"81";"11";"4";"11";"0";"1026";"0";"0";""
Tenno;5/1/2007;"3,8";"-1";"10,6";"0,6";"80";"10";"4";"9";"0";"1018";"0";"0";""
Tenno;6/1/2007;"5,5";"0,8";"11";"3,9";"89";"9";"4";"9";"0";"1025";"0";"0";""
Tenno;7/1/2007;"6,1";"4";"8,4";"5,7";"97";"3";"2";"5";"0";"1026";"0";"0";""
Tenno;8/1/2007;"6,1";"4";"9,6";"5,7";"97";"3";"4";"9";"0";"1023";"0";"0,5";"pioggia nebbia "
Tenno;9/1/2007;"5,2";"2,2";"10,4";"4,8";"97";"2";"4";"11";"0";"1020";"0";"0";"nebbia "
Tenno;10/1/2007;"7,1";"3,6";"9,6";"6,2";"94";"2";"2";"8";"0";"1027";"0";"0";"pioggia nebbia "
Tenno;11/1/2007;"7,6";"6,6";"9";"7,4";"99";"1";"4";"9";"0";"1028";"0";"0";"nebbia "
Tenno;12/1/2007;"6,4";"4";"9,4";"6,2";"99";"1";"5";"13";"0";"1019";"0";"0";"nebbia "
Tenno;13/1/2007;"5,4";"3,8";"6,6";"5,2";"99";"1";"5";"9";"0";"1026";"0";"0";"nebbia "
Tenno;14/1/2007;"5,1";"1,8";"7";"4,8";"98";"1";"3";"8";"0";"1027";"0";"0";"nebbia "
Tenno;15/1/2007;"3,1";"-1,2";"10,2";"2,8";"98";"1";"4";"11";"0";"1031";"0";"0";"nebbia "
Tenno;16/1/2007;"3,1";"1,8";"4";"2,9";"99";"1";"5";"11";"0";"1030";"0";"0";"nebbia "
Tenno;17/1/2007;"5,2";"3,6";"7,4";"5,1";"99";"4";"4";"11";"0";"1029";"0";"0";"nebbia "
Tenno;18/1/2007;"4,7";"2,8";"6,2";"4,7";"100";"1";"6";"9";"0";"1027";"0";"0";"nebbia "
Tenno;19/1/2007;"4,7";"1";"12";"4,1";"96";"2";"4";"11";"0";"1015";"0";"0";"nebbia "
Tenno;20/1/2007;"4,2";"-0,4";"8,4";"4,1";"99";"1";"5";"11";"0";"1020";"0";"0";"nebbia "
Tenno;21/1/2007;"7,3";"4";"9,8";"7,1";"99";"1";"3";"13";"0";"1019";"0";"0";"nebbia "
Tenno;22/1/2007;"8,4";"7";"10";"8,4";"100";"2";"2";"8";"0";"1017";"0";"0";"pioggia nebbia "
Tenno;23/1/2007;"9,6";"7";"13";"8,9";"95";"7";"11";"31";"47";"1004";"0";"7,9";"pioggia temporale "
Tenno;24/1/2007;"4,7";"2";"8,2";"2,3";"84";"11";"7";"24";"0";"994";"0";"5,1";"pioggia "
Tenno;25/1/2007;"2,6";"1";"4,2";"1,6";"93";"10";"15";"31";"0";"1005";"0";"0";"pioggia "
Tenno;26/1/2007;"1,9";"-0,4";"4,2";"-0,9";"82";"8";"5";"15";"0";"1017";"0";"0";"pioggia neve "
Tenno;27/1/2007;"1,6";"-2";"7";"-2,1";"76";"10";"12";"22";"0";"1019";"0";"0";""
Tenno;28/1/2007;"1,1";"-5";"8,8";"-0,8";"87";"6";"4";"13";"0";"1025";"0";"0";"nebbia "
Tenno;29/1/2007;"3,9";"-1,2";"12,4";"1,4";"84";"7";"5";"24";"0";"1020";"0";"0";""
Tenno;30/1/2007;"2,8";"-2,2";"10,4";"1,1";"89";"3";"5";"11";"0";"1020";"0";"0";"nebbia "
Tenno;31/1/2007;"-0,4";"-5";"5";"-0,6";"99";"1";"3";"11";"0";"1024";"0";"0";"nebbia "
