LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/8/2010;"24";"17";"30";"16";"65";"18";"4";"7";"0";"1017";"0";"0";""
Tenno;2/8/2010;"26";"19";"32";"18";"64";"12";"4";"8";"0";"1014";"0";"0";""
Tenno;3/8/2010;"25";"20";"31";"20";"75";"920";"4";"16";"0";"1009";"0";"0";"temporale "
Tenno;4/8/2010;"25";"21";"29";"16";"63";"11";"6";"14";"0";"1009";"0";"0";""
Tenno;5/8/2010;"18";"15";"22";"18";"95";"5261";"8";"15";"0";"1005";"0";"0";"pioggia temporale "
Tenno;6/8/2010;"21";"15";"28";"14";"68";"2916";"6";"15";"0";"1008";"0";"0";"pioggia temporale "
Tenno;7/8/2010;"22";"15";"29";"14";"66";"19";"5";"9";"0";"1014";"0";"0";""
Tenno;8/8/2010;"24";"16";"29";"17";"69";"11";"4";"9";"0";"1016";"0";"0";""
Tenno;9/8/2010;"25";"18";"30";"19";"74";"10";"4";"7";"0";"1015";"0";"0";""
Tenno;10/8/2010;"26";"20";"31";"19";"72";"11";"4";"7";"0";"1015";"0";"0";""
Tenno;11/8/2010;"26";"20";"32";"20";"71";"9";"3";"6";"0";"1014";"0";"0";""
Tenno;12/8/2010;"26";"22";"30";"21";"77";"10";"4";"10";"0";"1012";"0";"0";""
Tenno;13/8/2010;"19";"17";"23";"19";"99";"2952";"6";"22";"37";"1014";"0";"0";"pioggia temporale "
Tenno;14/8/2010;"19";"15";"22";"18";"99";"2377";"10";"24";"36";"1013";"0";"0";"pioggia temporale "
Tenno;15/8/2010;"23";"18";"27";"18";"79";"606";"6";"16";"0";"1012";"0";"0";"pioggia "
Tenno;16/8/2010;"20";"15";"25";"17";"81";"11";"4";"9";"0";"1013";"0";"0";""
Tenno;17/8/2010;"21";"15";"27";"17";"79";"12";"5";"10";"0";"1013";"0";"0";""
Tenno;18/8/2010;"23";"19";"28";"19";"80";"10";"4";"10";"0";"1012";"0";"0";""
Tenno;19/8/2010;"24";"18";"29";"20";"82";"10";"3";"7";"0";"1014";"0";"0";""
Tenno;20/8/2010;"25";"21";"29";"23";"90";"9";"4";"17";"0";"1020";"0";"0";"pioggia temporale "
Tenno;21/8/2010;"27";"21";"32";"22";"80";"9";"3";"7";"0";"1021";"0";"0";""
Tenno;22/8/2010;"27";"21";"33";"23";"78";"10";"3";"7";"0";"1018";"0";"0";""
Tenno;23/8/2010;"28";"22";"34";"21";"71";"10";"4";"8";"0";"1012";"0";"0";""
Tenno;24/8/2010;"26";"21";"31";"22";"79";"10";"7";"14";"0";"1010";"0";"0";""
Tenno;25/8/2010;"27";"22";"32";"22";"80";"9";"4";"8";"0";"1013";"0";"0";""
Tenno;26/8/2010;"27";"21";"33";"22";"79";"9";"3";"8";"0";"1015";"0";"0";""
Tenno;27/8/2010;"27";"23";"31";"23";"81";"9";"6";"10";"0";"1008";"0";"0";""
Tenno;28/8/2010;"25";"20";"32";"19";"73";"10";"9";"21";"0";"1005";"0";"0";""
Tenno;29/8/2010;"22";"18";"26";"11";"53";"11";"8";"12";"0";"1013";"0";"0";""
Tenno;30/8/2010;"19";"14";"25";"10";"60";"11";"7";"22";"0";"1008";"0";"0";""
Tenno;31/8/2010;"19";"11";"27";"9";"57";"19";"5";"12";"0";"1010";"0";"0";""
