LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/7/2013;"24";"17";"30";"14";"57";"11";"11";"22";"0";"1018";"0";"0";""
Tenno;2/7/2013;"25";"18";"31";"16";"59";"10";"6";"11";"0";"1018";"0";"0";""
Tenno;3/7/2013;"25";"21";"29";"17";"62";"9";"7";"15";"0";"1015";"0";"0";""
Tenno;4/7/2013;"25";"20";"31";"17";"61";"10";"6";"30";"0";"1016";"0";"0";""
Tenno;5/7/2013;"28";"21";"33";"17";"52";"11";"6";"11";"0";"1021";"0";"0";""
Tenno;6/7/2013;"28";"23";"32";"18";"58";"11";"8";"13";"0";"1022";"0";"0";""
Tenno;7/7/2013;"28";"24";"32";"18";"54";"10";"11";"26";"0";"1022";"0";"0";""
Tenno;8/7/2013;"28";"23";"32";"19";"60";"11";"10";"20";"0";"1023";"0";"0";""
Tenno;9/7/2013;"28";"22";"33";"19";"60";"10";"8";"17";"0";"1020";"0";"0";""
Tenno;10/7/2013;"27";"22";"32";"19";"60";"10";"7";"15";"0";"1015";"0";"0";""
Tenno;11/7/2013;"27";"22";"32";"20";"65";"10";"8";"20";"46";"1011";"0";"0";"temporale "
Tenno;12/7/2013;"25";"20";"30";"18";"66";"10";"13";"54";"56";"1016";"0";"0";"pioggia temporale "
Tenno;13/7/2013;"26";"23";"30";"19";"67";"10";"10";"58";"48";"1016";"0";"0";"pioggia temporale "
Tenno;14/7/2013;"25";"19";"30";"17";"64";"9";"7";"18";"0";"1018";"0";"0";""
Tenno;15/7/2013;"27";"20";"32";"19";"62";"9";"8";"22";"0";"1018";"0";"0";""
Tenno;16/7/2013;"27";"23";"31";"19";"63";"9";"14";"40";"0";"1020";"0";"0";""
Tenno;17/7/2013;"27";"22";"31";"18";"60";"10";"9";"22";"0";"1020";"0";"0";""
Tenno;18/7/2013;"26";"21";"31";"20";"68";"8";"9";"17";"0";"1019";"0";"0";"pioggia temporale "
Tenno;19/7/2013;"26";"20";"32";"17";"59";"9";"6";"11";"0";"1018";"0";"0";""
Tenno;20/7/2013;"27";"21";"33";"18";"58";"11";"6";"11";"0";"1016";"0";"0";""
Tenno;21/7/2013;"27";"21";"32";"18";"59";"9";"9";"24";"0";"1017";"0";"0";""
Tenno;22/7/2013;"28";"22";"34";"20";"62";"10";"6";"11";"0";"1017";"0";"0";""
Tenno;23/7/2013;"29";"22";"35";"20";"58";"9";"7";"13";"0";"1014";"0";"0";"temporale "
Tenno;24/7/2013;"28";"22";"33";"20";"61";"9";"8";"22";"0";"1014";"0";"0";""
Tenno;25/7/2013;"28";"23";"34";"21";"64";"9";"9";"20";"0";"1016";"0";"0";""
Tenno;26/7/2013;"30";"24";"35";"22";"63";"7";"7";"13";"0";"1015";"0";"0";""
Tenno;27/7/2013;"31";"25";"36";"23";"63";"8";"7";"15";"0";"1013";"0";"0";""
Tenno;28/7/2013;"32";"25";"37";"21";"58";"7";"7";"11";"0";"1014";"0";"0";""
Tenno;29/7/2013;"26";"20";"30";"21";"76";"10";"9";"24";"46";"1015";"0";"0";"pioggia temporale "
Tenno;30/7/2013;"25";"17";"31";"15";"58";"9";"8";"20";"0";"1017";"0";"0";""
Tenno;31/7/2013;"26";"18";"32";"16";"53";"12";"8";"15";"0";"1018";"0";"0";""
