LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/6/2014;"18";"10";"24";"8";"52";"10";"7";"13";"0";"1017";"0";"0";""
Tenno;2/6/2014;"20";"16";"26";"9";"49";"11";"8";"15";"0";"1016";"0";"0";"pioggia "
Tenno;3/6/2014;"19";"14";"25";"12";"62";"10";"9";"22";"41";"1014";"0";"0";"pioggia "
Tenno;4/6/2014;"20";"15";"25";"13";"63";"10";"6";"11";"0";"1011";"0";"0";""
Tenno;5/6/2014;"21";"15";"26";"13";"62";"11";"9";"28";"50";"1013";"0";"0";"pioggia temporale "
Tenno;6/6/2014;"23";"16";"28";"14";"60";"8";"5";"11";"0";"1018";"0";"0";""
Tenno;7/6/2014;"24";"17";"30";"15";"60";"9";"6";"15";"0";"1018";"0";"0";""
Tenno;8/6/2014;"26";"19";"33";"17";"57";"7";"6";"24";"0";"1019";"0";"0";""
Tenno;9/6/2014;"28";"21";"34";"18";"56";"10";"8";"15";"20";"1019";"0";"0";""
Tenno;10/6/2014;"28";"19";"34";"16";"54";"10";"6";"11";"0";"1018";"0";"0";""
Tenno;11/6/2014;"28";"20";"35";"16";"50";"11";"8";"17";"0";"1018";"0";"0";""
Tenno;12/6/2014;"30";"24";"35";"16";"44";"11";"8";"52";"0";"1018";"0";"0";"temporale "
Tenno;13/6/2014;"27";"20";"32";"17";"57";"11";"11";"24";"0";"1014";"0";"0";"pioggia temporale "
Tenno;14/6/2014;"22";"18";"28";"16";"68";"10";"13";"33";"41";"1011";"0";"0";"pioggia temporale "
Tenno;15/6/2014;"21";"18";"25";"12";"55";"11";"18";"33";"48";"1014";"0";"0";"pioggia "
Tenno;16/6/2014;"21";"18";"24";"11";"49";"12";"17";"24";"0";"1015";"0";"0";"pioggia "
Tenno;17/6/2014;"21";"17";"25";"12";"58";"11";"9";"30";"0";"1014";"0";"0";"pioggia "
Tenno;18/6/2014;"22";"15";"27";"11";"54";"10";"12";"30";"41";"1015";"0";"0";"pioggia "
Tenno;19/6/2014;"21";"15";"27";"13";"60";"11";"10";"20";"0";"1015";"0";"0";""
Tenno;20/6/2014;"22";"15";"29";"13";"58";"15";"6";"13";"0";"1012";"0";"0";""
Tenno;21/6/2014;"23";"20";"27";"15";"59";"10";"17";"35";"0";"1015";"0";"0";""
Tenno;22/6/2014;"24";"19";"30";"17";"63";"11";"8";"19";"0";"1017";"0";"0";"pioggia temporale "
Tenno;23/6/2014;"24";"19";"29";"18";"70";"7";"6";"11";"0";"1018";"0";"0";"pioggia temporale "
Tenno;24/6/2014;"24";"18";"29";"16";"63";"9";"9";"33";"57";"1013";"0";"0";"pioggia temporale "
Tenno;25/6/2014;"20";"18";"23";"16";"82";"10";"8";"20";"0";"1009";"0";"0";"pioggia temporale "
Tenno;26/6/2014;"21";"18";"25";"15";"70";"9";"13";"28";"0";"1012";"0";"0";""
Tenno;27/6/2014;"23";"18";"27";"15";"64";"11";"9";"24";"35";"1016";"0";"0";""
Tenno;28/6/2014;"22,1";"16,5";"27,5";"17";"74";"0";"3";"0";"23";"0";"1015";"4,4";"pioggia "
Tenno;29/6/2014;"21";"18";"25";"18";"81";"10";"8";"19";"0";"1011";"0";"0";"pioggia temporale "
Tenno;30/6/2014;"22";"14";"27";"10";"47";"13";"13";"28";"0";"1010";"0";"0";""
