LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/3/2014;"8";"7";"11";"4";"74";"10";"36";"50";"65";"1000";"0";"0";"pioggia "
Tenno;2/3/2014;"8";"7";"11";"6";"83";"9";"12";"30";"0";"1000";"0";"0";"pioggia "
Tenno;3/3/2014;"10";"5";"14";"6";"78";"7";"11";"20";"0";"998";"0";"0";"pioggia nebbia "
Tenno;4/3/2014;"10";"9";"13";"5";"67";"10";"18";"35";"0";"997";"0";"0";"pioggia "
Tenno;5/3/2014;"11";"8";"16";"5";"64";"9";"8";"17";"0";"1010";"0";"0";""
Tenno;6/3/2014;"13";"6";"18";"4";"49";"13";"8";"15";"0";"1019";"0";"0";""
Tenno;7/3/2014;"11";"5";"17";"4";"63";"12";"9";"15";"0";"1023";"0";"0";""
Tenno;8/3/2014;"11";"5";"17";"5";"67";"10";"9";"22";"0";"1028";"0";"0";""
Tenno;9/3/2014;"11";"4";"17";"4";"66";"6";"7";"13";"0";"1030";"0";"0";""
Tenno;10/3/2014;"11";"6";"17";"3";"59";"8";"14";"32";"0";"1024";"0";"0";""
Tenno;11/3/2014;"11";"6";"15";"3";"60";"9";"11";"26";"0";"1025";"0";"0";""
Tenno;12/3/2014;"12";"4";"19";"3";"57";"14";"7";"13";"0";"1029";"0";"0";""
Tenno;13/3/2014;"12";"5";"19";"4";"59";"10";"7";"15";"0";"1028";"0";"0";""
Tenno;14/3/2014;"13";"5";"20";"5";"61";"7";"6";"11";"0";"1025";"0";"0";""
Tenno;15/3/2014;"12";"7";"19";"7";"72";"3";"9";"22";"0";"1017";"0";"0";""
Tenno;16/3/2014;"12";"6";"19";"8";"76";"2";"8";"17";"0";"1015";"0";"0";"nebbia "
Tenno;17/3/2014;"10";"6";"16";"8";"88";"1";"8";"15";"0";"1018";"0";"0";"nebbia "
Tenno;18/3/2014;"11";"6";"16";"8";"86";"1";"5";"7";"0";"1019";"0";"0";"nebbia "
Tenno;19/3/2014;"13";"8";"18";"9";"76";"2";"8";"13";"0";"1020";"0";"0";"nebbia "
Tenno;20/3/2014;"13";"8";"20";"8";"72";"3";"9";"17";"0";"1025";"0";"0";"nebbia "
Tenno;21/3/2014;"13";"8";"20";"7";"66";"5";"7";"17";"0";"1020";"0";"0";""
Tenno;22/3/2014;"13";"11";"16";"9";"78";"4";"6";"11";"0";"1014";"0";"0";"pioggia "
Tenno;23/3/2014;"11";"7";"17";"7";"76";"8";"13";"30";"0";"1002";"0";"0";"pioggia temporale "
Tenno;24/3/2014;"9";"7";"13";"4";"66";"11";"15";"32";"0";"1006";"0";"0";"pioggia temporale "
Tenno;25/3/2014;"8";"3";"12";"3";"71";"11";"13";"28";"0";"1009";"0";"0";""
Tenno;26/3/2014;"10";"7";"14";"2";"55";"11";"21";"37";"0";"1011";"0";"0";""
Tenno;27/3/2014;"13";"10";"17";"2";"47";"11";"21";"43";"0";"1010";"0";"0";""
Tenno;28/3/2014;"14";"9";"19";"4";"52";"10";"8";"13";"0";"1015";"0";"0";""
Tenno;29/3/2014;"14";"8";"21";"5";"55";"11";"6";"11";"0";"1022";"0";"0";""
Tenno;30/3/2014;"15";"8";"21";"6";"60";"10";"6";"13";"0";"1019";"0";"0";""
Tenno;31/3/2014;"15";"7";"23";"7";"61";"7";"10";"24";"0";"1015";"0";"0";""
