LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/11/2018;"15";"11";"18";"11";"80";"19";"14";"33";"0";"1017";"0";"0";"pioggia "
Tenno;2/11/2018;"13";"12";"15";"12";"93";"14";"5";"13";"0";"1019";"0";"0";"pioggia "
Tenno;3/11/2018;"15";"13";"20";"14";"91";"17";"7";"15";"0";"1021";"0";"0";""
Tenno;4/11/2018;"16";"11";"21";"13";"83";"18";"10";"22";"0";"1016";"0";"0";"pioggia nebbia "
Tenno;5/11/2018;"16";"14";"18";"13";"84";"15";"13";"21";"0";"1015";"0";"0";"pioggia temporale "
Tenno;6/11/2018;"16";"15";"19";"14";"86";"18";"11";"17";"0";"1015";"0";"0";"pioggia "
Tenno;7/11/2018;"15";"14";"18";"14";"90";"14";"6";"13";"0";"1016";"0";"0";"pioggia "
Tenno;8/11/2018;"14";"11";"19";"12";"89";"13";"6";"13";"0";"1020";"0";"0";"nebbia "
Tenno;9/11/2018;"12";"9";"13";"11";"98";"3";"4";"8";"0";"1019";"0";"0";"nebbia "
Tenno;10/11/2018;"12";"11";"13";"11";"93";"4";"6";"11";"0";"1017";"0";"0";"pioggia nebbia "
Tenno;11/11/2018;"13";"12";"16";"12";"89";"9";"3";"8";"0";"1020";"0";"0";"pioggia "
Tenno;12/11/2018;"13";"10";"17";"12";"92";"7";"5";"11";"0";"1026";"0";"0";"nebbia "
Tenno;13/11/2018;"14";"12";"17";"13";"94";"4";"7";"13";"0";"1027";"0";"0";"nebbia "
Tenno;14/11/2018;"12";"8";"18";"10";"89";"8";"5";"9";"0";"1028";"0";"0";"nebbia "
Tenno;15/11/2018;"10";"6";"14";"8";"88";"13";"4";"9";"0";"1026";"0";"0";"nebbia "
Tenno;16/11/2018;"9";"5";"13";"3";"67";"19";"13";"26";"0";"1027";"0";"0";""
Tenno;17/11/2018;"8";"5";"12";"1";"56";"21";"12";"18";"0";"1026";"0";"0";""
Tenno;18/11/2018;"6";"2";"11";"1";"55";"19";"7";"17";"0";"1021";"0";"0";""
Tenno;19/11/2018;"5";"1";"8";"1";"68";"20";"14";"24";"0";"1010";"0";"0";""
Tenno;20/11/2018;"5";"3";"8";"3";"90";"11";"9";"18";"0";"1008";"0";"0";"pioggia "
Tenno;21/11/2018;"6";"0";"11";"4";"85";"13";"6";"17";"0";"1013";"0";"0";""
Tenno;22/11/2018;"8";"6";"12";"7";"92";"5";"4";"8";"0";"1019";"0";"0";""
Tenno;23/11/2018;"8";"5";"10";"7";"97";"6";"6";"13";"0";"1021";"0";"0";"pioggia nebbia "
Tenno;24/11/2018;"10";"8";"13";"9";"93";"13";"8";"13";"0";"1014";"0";"0";"pioggia nebbia "
Tenno;25/11/2018;"10";"9";"12";"8";"88";"14";"5";"9";"0";"1008";"0";"0";"pioggia "
Tenno;26/11/2018;"10";"7";"13";"8";"86";"12";"7";"17";"0";"1000";"0";"0";"pioggia "
Tenno;27/11/2018;"10";"8";"14";"8";"85";"14";"6";"13";"0";"1008";"0";"0";"pioggia "
Tenno;28/11/2018;"7";"3";"12";"4";"85";"21";"6";"9";"0";"1020";"0";"0";""
Tenno;29/11/2018;"4";"-1";"8";"1";"81";"16";"4";"9";"0";"1026";"0";"0";""
Tenno;30/11/2018;"2";"-1";"5";"1";"84";"15";"5";"11";"0";"1021";"0";"0";""
