LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/12/2022;"7";"5";"11";"2";"71";"21";"7";"13";"0";"1018";"0";"0";""
Tenno;2/12/2022;"7";"5";"9";"4";"80";"20";"6";"17";"0";"1018";"0";"0";"pioggia "
Tenno;3/12/2022;"8";"6";"11";"6";"83";"20";"8";"18";"0";"1016";"0";"0";"pioggia "
Tenno;4/12/2022;"10";"8";"12";"8";"90";"13";"9";"24";"0";"1013";"0";"0";"pioggia "
Tenno;5/12/2022;"9";"7";"11";"8";"96";"6";"6";"15";"0";"1017";"0";"0";"pioggia "
Tenno;6/12/2022;"5";"1";"7";"4";"97";"3";"6";"13";"0";"1016";"0";"0";"nebbia "
Tenno;7/12/2022;"2";"-1";"8";"3";"96";"6";"5";"9";"0";"1013";"0";"0";"nebbia "
Tenno;8/12/2022;"2";"-2";"7";"4";"94";"9";"5";"11";"0";"1011";"0";"0";"pioggia nebbia "
Tenno;9/12/2022;"5";"4";"6";"4";"93";"8";"8";"17";"0";"1003";"0";"0";"pioggia "
Tenno;10/12/2022;"6";"3";"8";"5";"93";"5";"7";"15";"0";"998";"0";"0";"pioggia nebbia "
Tenno;11/12/2022;"4";"1";"7";"2";"90";"14";"10";"26";"0";"1001";"0";"0";"pioggia nebbia "
Tenno;12/12/2022;"0";"-3";"3";"1";"96";"4";"4";"9";"0";"1009";"0";"0";"nebbia "
Tenno;13/12/2022;"2";"-1";"3";"1";"87";"18";"6";"15";"0";"1010";"0";"0";"pioggia neve nebbia "
Tenno;14/12/2022;"4";"2";"6";"1";"82";"9";"7";"11";"0";"1006";"0";"0";"pioggia "
Tenno;15/12/2022;"4";"1";"6";"2";"86";"7";"7";"15";"0";"1006";"0";"0";"pioggia "
Tenno;16/12/2022;"5";"4";"6";"4";"94";"6";"7";"13";"0";"1004";"0";"0";"pioggia "
Tenno;17/12/2022;"6";"1";"10";"5";"94";"6";"7";"15";"0";"1017";"0";"0";"pioggia nebbia "
Tenno;18/12/2022;"4";"-1";"9";"3";"87";"15";"7";"11";"0";"1032";"0";"0";"nebbia "
Tenno;19/12/2022;"2";"-1";"5";"2";"93";"5";"3";"5";"0";"1034";"0";"0";"nebbia "
Tenno;20/12/2022;"5";"4";"6";"3";"89";"6";"3";"5";"0";"1028";"0";"0";""
Tenno;21/12/2022;"6";"5";"6";"5";"93";"2";"3";"5";"0";"1021";"0";"0";"pioggia nebbia "
Tenno;22/12/2022;"7";"6";"8";"6";"93";"2";"4";"9";"0";"1017";"0";"0";"nebbia "
Tenno;23/12/2022;"8";"6";"9";"6";"89";"5";"4";"8";"0";"1016";"0";"0";""
Tenno;24/12/2022;"7";"3";"9";"6";"91";"5";"6";"11";"0";"1017";"0";"0";""
Tenno;25/12/2022;"7";"3";"11";"5";"86";"17";"6";"13";"0";"1024";"0";"0";""
Tenno;26/12/2022;"8";"7";"9";"7";"93";"4";"3";"5";"0";"1025";"0";"0";"nebbia "
Tenno;27/12/2022;"8";"5";"11";"7";"91";"3";"4";"11";"0";"1025";"0";"0";"nebbia "
Tenno;28/12/2022;"8";"5";"12";"5";"82";"12";"5";"9";"0";"1026";"0";"0";"pioggia "
Tenno;29/12/2022;"7";"6";"8";"6";"93";"9";"4";"8";"0";"1022";"0";"0";"pioggia "
Tenno;30/12/2022;"8";"7";"9";"7";"93";"8";"5";"9";"0";"1022";"0";"0";"pioggia "
Tenno;31/12/2022;"9";"6";"11";"7";"92";"5";"3";"9";"0";"1029";"0";"0";""
