LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/10/2025;"15";"12";"20";"9";"70";"20";"0";"17";"10";"1021";"0";"0,7";"pioggia "
Tenno;2/10/2025;"13";"8";"18";"7";"67";"21";"0";"0";"5";"1023";"0";"0";""
Tenno;3/10/2025;"13";"9";"18";"7";"70";"21";"0";"0";"3";"1021";"0";"0";""
Tenno;4/10/2025;"13";"6";"19";"8";"74";"17";"0";"0";"7";"1015";"0";"3";"pioggia "
Tenno;5/10/2025;"13";"9";"15";"10";"88";"13";"0";"0";"6";"1012";"0";"3,8";"pioggia "
Tenno;6/10/2025;"12";"6";"20";"7";"77";"21";"0";"0";"7";"1019";"0";"0";""
Tenno;7/10/2025;"13";"6";"21";"8";"74";"19";"0";"0";"6";"1021";"0";"0";""
Tenno;8/10/2025;"15";"9";"21";"10";"75";"20";"0";"0";"5";"1020";"0";"0";""
Tenno;9/10/2025;"16";"11";"22";"11";"76";"21";"0";"0";"3";"1020";"0";"0";""
Tenno;10/10/2025;"17";"10";"24";"12";"79";"12";"0";"0";"3";"1025";"0";"0";"nebbia "
Tenno;11/10/2025;"16";"12";"23";"13";"81";"10";"0";"0";"5";"1027";"0";"0";""
Tenno;12/10/2025;"16";"13";"21";"14";"85";"11";"0";"0";"4";"1025";"0";"0";""
Tenno;13/10/2025;"16";"13";"20";"13";"84";"15";"0";"0";"5";"1021";"0";"0,2";""
Tenno;14/10/2025;"15";"10";"21";"10";"75";"19";"0";"0";"6";"1021";"0";"0";""
Tenno;15/10/2025;"15";"10";"21";"10";"75";"20";"0";"0";"5";"1021";"0";"0";""
Tenno;16/10/2025;"14";"9";"19";"8";"71";"21";"0";"0";"7";"1020";"0";"0";""
Tenno;17/10/2025;"14";"8";"20";"8";"70";"20";"0";"0";"6";"1019";"0";"0";""
Tenno;18/10/2025;"12";"5";"19";"7";"73";"20";"0";"0";"4";"1021";"0";"0";""
Tenno;19/10/2025;"12";"6";"18";"7";"74";"19";"0";"0";"7";"1021";"0";"0";""
Tenno;20/10/2025;"13";"11";"15";"10";"86";"11";"0";"0";"7";"1013";"0";"5,7";"pioggia "
Tenno;21/10/2025;"14";"12";"15";"13";"96";"9";"0";"0";"4";"1007";"0";"2,2";"pioggia "
Tenno;22/10/2025;"13";"10";"16";"13";"95";"3";"0";"0";"2";"1007";"0";"0,7";"pioggia nebbia "
Tenno;23/10/2025;"14";"14";"15";"13";"95";"8";"1";"39";"10";"999";"0";"18,2";"pioggia temporale "
Tenno;24/10/2025;"13";"6";"20";"5";"63";"20";"0";"0";"10";"1004";"0";"0";""
Tenno;25/10/2025;"12";"5";"18";"7";"74";"20";"0";"0";"6";"1008";"0";"0,5";""
Tenno;26/10/2025;"11";"6";"16";"8";"82";"21";"0";"0";"10";"1004";"0";"0";""
Tenno;27/10/2025;"10";"3";"16";"5";"73";"20";"0";"0";"8";"1007";"0";"0";""
Tenno;28/10/2025;"9";"3";"16";"6";"80";"20";"0";"0";"5";"1014";"0";"0";""
Tenno;29/10/2025;"12";"8";"17";"8";"77";"17";"0";"0";"9";"1017";"0";"4,9";"pioggia "
Tenno;30/10/2025;"14";"12";"16";"13";"96";"11";"0";"0";"7";"1013";"0";"17,8";"pioggia nebbia "
Tenno;31/10/2025;"16";"14";"18";"14";"91";"21";"0";"0";"8";"1018";"0";"1,2";"pioggia "
