LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/6/2000;"19,9";"9,9";"26,3";"9,7";"52";"11";"14";"26";"0";"0";"0";"0";""
Trento;2/6/2000;"21,6";"12,6";"28,1";"14,2";"63";"11";"12";"28";"0";"0";"0";"0";""
Trento;3/6/2000;"24,2";"15,3";"30,5";"15,8";"59";"12";"12";"29";"0";"0";"0";"0";""
Trento;4/6/2000;"21,2";"14,6";"27,6";"15,8";"71";"11";"3";"13";"0";"0";"0";"0,8";"pioggia temporale "
Trento;5/6/2000;"22,5";"13";"29";"15,1";"63";"11";"13";"24";"39";"0";"0";"0";""
Trento;6/6/2000;"20,9";"15,9";"25";"16,6";"76";"10";"4";"17";"0";"0";"0";"0";"pioggia temporale "
Trento;7/6/2000;"21,7";"12,6";"28,4";"11,6";"53";"11";"9";"21";"0";"0";"0";"3,1";""
Trento;8/6/2000;"20,3";"16,4";"25,5";"13,2";"64";"11";"2";"15";"0";"0";"0";"0";""
Trento;9/6/2000;"22,8";"14,7";"29,3";"14,9";"61";"12";"11";"21";"0";"0";"0";"0";""
Trento;10/6/2000;"23,4";"16,3";"30,7";"15,9";"63";"11";"6";"13";"0";"0";"0";"0";"temporale "
Trento;11/6/2000;"18,2";"17";"20";"16,9";"92";"9";"4";"11";"0";"0";"0";"9,9";"pioggia temporale "
Trento;12/6/2000;"22,3";"15,1";"27";"16,5";"70";"11";"6";"15";"0";"0";"0";"3,1";"pioggia temporale "
Trento;13/6/2000;"20,3";"15,9";"25";"17,2";"82";"11";"3";"15";"0";"0";"0";"0";"pioggia temporale "
Trento;14/6/2000;"21,3";"14,3";"27";"14,9";"67";"11";"4";"11";"0";"0";"0";"0";""
Trento;15/6/2000;"23,7";"15,4";"29,4";"13";"51";"11";"7";"21";"42";"0";"0";"0";""
Trento;16/6/2000;"23,4";"14,5";"28,9";"10";"43";"11";"14";"22";"34";"0";"0";"0";""
Trento;17/6/2000;"22,6";"12,5";"29,1";"9,5";"43";"10";"11";"21";"42";"0";"0";"0";""
Trento;18/6/2000;"21,9";"15,3";"27";"12,1";"54";"11";"13";"26";"0";"0";"0";"0";""
Trento;19/6/2000;"23,4";"14";"29,2";"13,8";"55";"11";"16";"29";"0";"0";"0";"0";""
Trento;20/6/2000;"24,6";"14,9";"31";"15,7";"58";"11";"13";"28";"0";"0";"0";"0";""
Trento;21/6/2000;"25,2";"16,4";"32";"15,3";"54";"11";"13";"28";"0";"0";"0";"0";""
Trento;22/6/2000;"25,5";"16,1";"32,2";"15,6";"54";"10";"14";"28";"0";"0";"0";"0";""
Trento;23/6/2000;"23,3";"14,9";"30,3";"15,6";"62";"11";"13";"29";"61";"0";"0";"0";"pioggia temporale "
Trento;24/6/2000;"18,7";"11,8";"25";"12,4";"67";"11";"8";"29";"55";"0";"0";"14";"pioggia temporale "
Trento;25/6/2000;"20,7";"13,1";"25";"7,1";"41";"11";"10";"21";"0";"0";"0";"10,9";""
Trento;26/6/2000;"19,4";"12,4";"24,6";"8,9";"51";"11";"10";"26";"0";"0";"0";"0";""
Trento;27/6/2000;"20,1";"11,2";"26";"10,7";"55";"11";"13";"24";"0";"0";"0";"0";""
Trento;28/6/2000;"20,1";"17,1";"23";"15,7";"76";"11";"4";"11";"0";"1013";"985";"14";"temporale "
Trento;29/6/2000;"18,6";"11,4";"25,3";"12,2";"66";"38";"0";"0";"0";"1014";"986";"0";"pioggia "
Trento;30/6/2000;"20,2";"14,1";"25,9";"14,4";"69";"15";"0";"0";"0";"1013";"985";"0,8";""
