LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/5/2000;"18";"9";"23";"11";"64";"11";"8";"18";"0";"0";"0";"0";"pioggia temporale "
Trento;2/5/2000;"16";"11,4";"23";"12,2";"78";"11";"6";"24";"0";"0";"0";"0,8";"pioggia temporale "
Trento;3/5/2000;"17,2";"8,6";"25,1";"11,1";"67";"11";"5";"13";"0";"0";"0";"0";"pioggia temporale "
Trento;4/5/2000;"17,6";"13";"24";"12,8";"73";"11";"3";"9";"0";"0";"0";"0,5";"pioggia temporale "
Trento;5/5/2000;"16,3";"12";"23,1";"12,8";"80";"10";"5";"22";"0";"0";"0";"7,9";"pioggia temporale "
Trento;6/5/2000;"14,9";"12,3";"18,2";"13,6";"92";"11";"2";"13";"0";"0";"0";"0,8";"pioggia temporale "
Trento;7/5/2000;"16,3";"12,2";"21,2";"12,6";"79";"11";"5";"15";"0";"0";"0";"0";"pioggia "
Trento;8/5/2000;"15,2";"13,2";"17,7";"13,5";"90";"10";"2";"9";"0";"0";"0";"1";"pioggia "
Trento;9/5/2000;"20,2";"11,7";"26";"13,1";"64";"11";"13";"26";"0";"0";"0";"0";""
Trento;10/5/2000;"20,1";"13,2";"26";"14,1";"68";"11";"9";"22";"0";"0";"0";"0";""
Trento;11/5/2000;"19,1";"13,9";"25,8";"14,8";"76";"9";"10";"28";"0";"0";"0";"0";""
Trento;12/5/2000;"17,4";"14,7";"20,7";"14,6";"84";"9";"2";"8";"0";"0";"0";"0";"pioggia temporale "
Trento;13/5/2000;"18,6";"12,2";"25,2";"12,9";"69";"11";"5";"18";"0";"0";"0";"0";"pioggia temporale "
Trento;14/5/2000;"20,6";"14,4";"25,7";"13,3";"63";"11";"11";"28";"0";"0";"0";"0";""
Trento;15/5/2000;"21,4";"13,5";"27";"12,6";"57";"11";"12";"26";"0";"0";"0";"0";""
Trento;16/5/2000;"20,7";"12,7";"27,3";"12,1";"58";"11";"11";"35";"41";"0";"0";"0";"temporale "
Trento;17/5/2000;"20,3";"12";"27";"11,4";"57";"11";"9";"18";"0";"0";"0";"0";""
Trento;18/5/2000;"18,2";"13,2";"23,9";"12,1";"68";"11";"9";"28";"0";"0";"0";"0,5";"pioggia temporale "
Trento;19/5/2000;"15,9";"9,5";"21";"5,9";"51";"10";"11";"18";"0";"0";"0";"7,9";"pioggia "
Trento;20/5/2000;"15,9";"10";"20,9";"6,9";"55";"11";"12";"21";"0";"0";"0";"2";"pioggia "
Trento;21/5/2000;"14,8";"4,7";"20,5";"7,1";"60";"11";"13";"26";"0";"0";"0";"0";""
Trento;22/5/2000;"18,9";"11,7";"23,5";"6,3";"44";"11";"9";"22";"0";"0";"0";"5,1";""
Trento;23/5/2000;"16,3";"8,1";"23";"6,6";"53";"11";"5";"15";"0";"0";"0";"0";""
Trento;24/5/2000;"20,2";"14,9";"25,7";"11,1";"56";"11";"9";"22";"0";"0";"0";"0";""
Trento;25/5/2000;"21,3";"12,7";"27,4";"12,3";"56";"11";"13";"26";"0";"0";"0";"0";""
Trento;26/5/2000;"20,1";"14,1";"25,6";"14,5";"70";"10";"4";"8";"0";"0";"0";"0";""
Trento;27/5/2000;"21";"13,6";"26,3";"12,9";"60";"11";"11";"21";"0";"0";"0";"0";"pioggia "
Trento;28/5/2000;"20,2";"14,2";"24,6";"12,8";"62";"11";"14";"28";"0";"0";"0";"4,1";"pioggia "
Trento;29/5/2000;"19,5";"13,9";"24,9";"11,7";"61";"11";"10";"22";"0";"0";"0";"0,8";"pioggia temporale "
Trento;30/5/2000;"16,8";"11,6";"20,7";"6,4";"50";"11";"13";"28";"0";"0";"0";"0";""
Trento;31/5/2000;"18,8";"13";"24,3";"9,1";"53";"11";"9";"29";"0";"0";"0";"0";""
