LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/4/2002;"13,7";"4,2";"21";"3,3";"49";"11";"7";"24";"0";"0";"0";"0";""
Trento;2/4/2002;"14,8";"6,3";"21,6";"4,6";"50";"11";"7";"22";"0";"0";"0";"0";""
Trento;3/4/2002;"13,1";"6,2";"19,3";"4,6";"56";"11";"6";"31";"55";"0";"0";"0";""
Trento;4/4/2002;"13,4";"7,3";"19,1";"4,8";"56";"10";"9";"26";"0";"0";"0";"0,5";"pioggia "
Trento;5/4/2002;"13,2";"5,4";"21";"2,3";"48";"11";"9";"21";"29";"0";"0";"0,8";"pioggia "
Trento;6/4/2002;"11";"3";"17,2";"2,3";"55";"11";"13";"34";"0";"0";"0";"0";""
Trento;7/4/2002;"10,3";"2,5";"16,1";"2,4";"58";"11";"15";"34";"0";"0";"0";"0";""
Trento;8/4/2002;"10,1";"8";"14";"5,7";"74";"10";"12";"22";"0";"0";"0";"0,8";"pioggia "
Trento;9/4/2002;"7,3";"5,5";"9,6";"4,9";"85";"9";"7";"13";"0";"0";"0";"7,1";"pioggia "
Trento;10/4/2002;"9,9";"3,6";"14,8";"1,9";"57";"10";"10";"18";"0";"0";"0";"0";""
Trento;11/4/2002;"10";"5";"13";"2,7";"60";"11";"6";"11";"0";"0";"0";"0";"pioggia "
Trento;12/4/2002;"10";"7";"12,5";"7,6";"85";"8";"3";"9";"0";"0";"0";"1,5";"pioggia "
Trento;13/4/2002;"12,6";"8,8";"18,5";"7,5";"71";"10";"8";"26";"0";"0";"0";"9,1";"pioggia "
Trento;14/4/2002;"12,3";"8,4";"17,4";"6,3";"67";"11";"8";"17";"0";"0";"0";"0";"pioggia "
Trento;15/4/2002;"9,6";"6,4";"12";"4,3";"69";"11";"3";"5";"0";"0";"0";"17";"pioggia "
Trento;16/4/2002;"9,1";"6,8";"11";"5,3";"77";"11";"4";"13";"0";"0";"0";"0";"pioggia "
Trento;17/4/2002;"13,5";"6,8";"19,2";"1,6";"44";"11";"9";"24";"0";"0";"0";"0";""
Trento;18/4/2002;"13,3";"3,4";"20,6";"2,1";"47";"11";"6";"17";"0";"0";"0";"0";""
Trento;19/4/2002;"13,6";"5,9";"20,3";"5,2";"57";"11";"9";"44";"0";"0";"0";"0";""
Trento;20/4/2002;"8,8";"7,6";"10,4";"4,7";"75";"0";"5";"0";"47";"0";"1023";"11,4";"pioggia "
Trento;21/4/2002;"11,7";"6,3";"17,6";"3,4";"58";"0";"4";"0";"39";"0";"1028";"0";""
Trento;22/4/2002;"18,5";"6";"22,8";"5,4";"42";"11";"7";"17";"41";"0";"0";"0";""
Trento;23/4/2002;"20,7";"18";"23,6";"4,8";"35";"11";"14";"21";"37";"0";"0";"0";""
Trento;24/4/2002;"16,1";"10,1";"20,3";"5,3";"49";"11";"11";"24";"50";"0";"0";"0";""
Trento;25/4/2002;"16,2";"9";"22,1";"7,4";"56";"11";"6";"17";"0";"0";"0";"0";""
Trento;26/4/2002;"19,9";"15";"24,2";"9,2";"50";"11";"17";"35";"42";"0";"0";"0";""
Trento;27/4/2002;"17,3";"12";"22,1";"9,6";"61";"10";"10";"21";"0";"0";"0";"4,3";"pioggia "
Trento;28/4/2002;"14,6";"6,3";"20,4";"3,5";"47";"11";"11";"28";"0";"0";"0";"0";""
Trento;29/4/2002;"14,9";"9,4";"19,7";"7,4";"61";"11";"11";"29";"41";"0";"0";"0";""
Trento;30/4/2002;"16,1";"8,3";"22,4";"7,9";"58";"11";"12";"28";"0";"0";"0";"0";""
