LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/7/2004;"23,1";"19,8";"28,6";"17,1";"69";"11";"7";"15";"0";"0";"0";"5,1";"pioggia temporale "
Trento;2/7/2004;"18,7";"16";"26";"16,4";"86";"11";"4";"8";"0";"0";"0";"6,1";"pioggia "
Trento;3/7/2004;"20,2";"11,1";"27,6";"11,2";"56";"11";"8";"17";"0";"0";"0";"0";""
Trento;4/7/2004;"23,1";"16,7";"28,4";"14,1";"57";"11";"8";"18";"0";"0";"0";"0";""
Trento;5/7/2004;"21,6";"14,6";"31,3";"15,2";"67";"11";"8";"31";"54";"0";"0";"11,9";"pioggia temporale "
Trento;6/7/2004;"21,6";"17,5";"30,1";"16,8";"74";"11";"6";"31";"0";"0";"0";"31";"pioggia temporale "
Trento;7/7/2004;"22,2";"16,7";"26,3";"18,1";"78";"11";"4";"13";"0";"0";"0";"26,9";""
Trento;8/7/2004;"21,6";"17,8";"24";"18";"80";"11";"5";"8";"0";"0";"0";"0";"pioggia temporale "
Trento;9/7/2004;"22,2";"17,6";"27,5";"13,7";"59";"11";"10";"21";"42";"0";"0";"10,9";""
Trento;10/7/2004;"18,4";"13,9";"22,8";"13,2";"72";"11";"7";"18";"0";"0";"0";"15";"pioggia "
Trento;11/7/2004;"16,9";"13";"23,3";"10,9";"68";"13";"8";"18";"0";"0";"0";"17";"pioggia "
Trento;12/7/2004;"17,7";"11,7";"22,6";"9,7";"59";"11";"8";"22";"41";"0";"0";"0";""
Trento;13/7/2004;"18,4";"9,8";"24,4";"9,6";"56";"11";"6";"26";"0";"0";"0";"0,5";""
Trento;14/7/2004;"21,4";"10,2";"28";"9";"45";"11";"6";"13";"0";"0";"0";"0";""
Trento;15/7/2004;"22,6";"13,6";"31,2";"12,7";"54";"12";"4";"11";"0";"1016";"988";"0";""
Trento;16/7/2004;"22,4";"17";"27,9";"15,5";"65";"11";"8";"22";"0";"0";"0";"0";"pioggia "
Trento;17/7/2004;"22,8";"15";"30,1";"14,9";"61";"11";"6";"18";"0";"0";"0";"0";""
Trento;18/7/2004;"24,9";"17,7";"30,7";"16,1";"58";"11";"8";"24";"0";"0";"0";"0";""
Trento;19/7/2004;"25,2";"17,9";"30,7";"16,4";"58";"11";"7";"15";"0";"1018";"990";"0";""
Trento;20/7/2004;"25,1";"18,4";"31,1";"16,7";"60";"11";"5";"15";"0";"0";"0";"0";""
Trento;21/7/2004;"26,1";"17";"32,5";"16,7";"56";"11";"5";"15";"0";"0";"0";"0";""
Trento;22/7/2004;"28,3";"19,2";"33,7";"17,9";"53";"10";"6";"11";"0";"1019";"991";"0";""
Trento;23/7/2004;"26,4";"20,3";"32";"17,8";"59";"11";"6";"13";"0";"0";"0";"0";""
Trento;24/7/2004;"20,6";"18,5";"23,9";"17,3";"81";"10";"5";"15";"0";"0";"0";"3,1";"pioggia "
Trento;25/7/2004;"24,2";"17";"32,4";"15,4";"58";"12";"4";"9";"0";"0";"0";"1";""
Trento;26/7/2004;"23,1";"16";"29";"13,2";"54";"12";"7";"22";"0";"0";"0";"0";""
Trento;27/7/2004;"24,3";"17,2";"28,6";"4,8";"28";"11";"15";"26";"41";"1013";"985";"0";""
Trento;28/7/2004;"21,7";"11,8";"28";"8,6";"43";"11";"11";"24";"0";"0";"0";"0";""
Trento;29/7/2004;"23,2";"16";"30";"11,6";"48";"11";"8";"21";"0";"0";"0";"0";""
Trento;30/7/2004;"24,6";"15,6";"32";"14,3";"53";"12";"7";"18";"0";"0";"0";"0";""
Trento;31/7/2004;"25,7";"16,7";"32,8";"15,1";"52";"11";"7";"21";"0";"0";"0";"0";""
