LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/3/2004;"2,8";"-4,2";"8,2";"-12,5";"31";"10";"11";"26";"35";"0";"0";"0";""
Trento;2/3/2004;"4,2";"-2,2";"11,9";"-9,9";"35";"11";"8";"31";"42";"0";"0";"0";""
Trento;3/3/2004;"7";"-0,6";"15,1";"-6,4";"38";"10";"7";"17";"0";"0";"0";"0";""
Trento;4/3/2004;"7,6";"0,1";"15,2";"-5,5";"39";"10";"6";"15";"0";"0";"0";"0";""
Trento;5/3/2004;"5,2";"-2,8";"11,6";"-2,1";"59";"9";"10";"22";"0";"0";"0";"0";""
Trento;6/3/2004;"5,5";"3,4";"8";"0,2";"69";"9";"8";"13";"0";"0";"0";"0";"pioggia "
Trento;7/3/2004;"3,3";"2";"5";"1,8";"90";"7";"2";"4";"0";"0";"0";"4,1";"pioggia "
Trento;8/3/2004;"8,2";"3,1";"10,9";"-6,6";"34";"11";"19";"35";"0";"0";"0";"2";""
Trento;9/3/2004;"7,1";"1";"12";"-10,2";"28";"11";"14";"24";"37";"0";"0";"0";""
Trento;10/3/2004;"3,7";"-0,6";"8";"-4,3";"56";"10";"6";"15";"0";"0";"0";"0";"pioggia "
Trento;11/3/2004;"1,5";"0";"3";"0,6";"94";"3";"4";"9";"0";"0";"0";"10,2";"pioggia neve nebbia "
Trento;12/3/2004;"5,7";"1,9";"10,4";"1,5";"74";"9";"4";"13";"0";"0";"0";"0";""
Trento;13/3/2004;"7,4";"-0,7";"13,8";"1,4";"66";"11";"5";"13";"0";"0";"0";"0";""
Trento;14/3/2004;"7,2";"2,5";"10,5";"3,1";"75";"6";"2";"5";"0";"0";"0";"0";""
Trento;15/3/2004;"11";"3";"19,3";"3,5";"60";"10";"5";"13";"0";"0";"0";"0";""
Trento;16/3/2004;"11,8";"2,7";"20,6";"1,3";"48";"10";"4";"9";"0";"0";"0";"0";""
Trento;17/3/2004;"12,7";"3,4";"22,6";"1,5";"46";"10";"4";"11";"0";"0";"0";"0";""
Trento;18/3/2004;"14,1";"3";"23,5";"0,9";"41";"10";"5";"15";"0";"0";"0";"0";""
Trento;19/3/2004;"13,8";"4,7";"22,4";"1,7";"44";"10";"7";"18";"0";"0";"0";"0";""
Trento;20/3/2004;"13,7";"6,7";"18,6";"5,6";"58";"9";"8";"21";"0";"0";"0";"0";""
Trento;21/3/2004;"13,3";"10,9";"15,5";"7,9";"70";"6";"4";"9";"0";"0";"0";"0";""
Trento;22/3/2004;"11,7";"7";"17,2";"2,8";"54";"11";"10";"24";"0";"0";"0";"0";"pioggia "
Trento;23/3/2004;"8,1";"5,9";"11,2";"3,7";"74";"11";"8";"18";"0";"0";"0";"2,5";"pioggia "
Trento;24/3/2004;"10,3";"5";"13,3";"-3,6";"37";"11";"14";"26";"0";"0";"0";"0";""
Trento;25/3/2004;"10,7";"6,6";"14";"-4,7";"33";"11";"10";"21";"31";"0";"0";"0";""
Trento;26/3/2004;"8,9";"5,5";"12";"-3,7";"41";"11";"8";"17";"31";"1010";"981";"0";""
Trento;27/3/2004;"8,2";"4";"11,7";"-2";"48";"11";"10";"24";"37";"0";"0";"0";""
Trento;28/3/2004;"9,7";"3,9";"16,1";"-0,4";"49";"11";"9";"18";"0";"0";"0";"0";""
Trento;29/3/2004;"10,8";"1,8";"19";"0,9";"50";"10";"6";"13";"0";"0";"0";"0";""
Trento;30/3/2004;"12,2";"3";"20,3";"0,8";"46";"10";"9";"24";"0";"0";"0";"0";""
Trento;31/3/2004;"11,8";"4,5";"18,4";"1,8";"50";"11";"7";"15";"0";"0";"0";"0";""
