LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/8/2005;"24,8";"15,2";"32,8";"13,4";"49";"11";"6";"21";"0";"0";"0";"0";""
Trento;2/8/2005;"23,2";"19";"28,7";"16,3";"65";"11";"7";"15";"0";"0";"0";"0";"pioggia temporale "
Trento;3/8/2005;"23,2";"17,4";"28,1";"13,3";"54";"11";"10";"24";"0";"0";"0";"9,9";""
Trento;4/8/2005;"24,2";"17";"27,2";"3,6";"26";"11";"17";"26";"48";"0";"0";"0";""
Trento;5/8/2005;"23,2";"13,3";"31,2";"4,9";"30";"10";"8";"17";"0";"0";"0";"0";""
Trento;6/8/2005;"22,8";"14,8";"30,1";"11,1";"48";"12";"7";"18";"0";"0";"0";"0";""
Trento;7/8/2005;"22,6";"18";"27,5";"5,6";"33";"11";"15";"29";"47";"0";"0";"0";""
Trento;8/8/2005;"20";"10,2";"27";"2,8";"32";"11";"8";"17";"0";"0";"0";"0";""
Trento;9/8/2005;"21,1";"12,5";"28";"6,8";"39";"11";"9";"21";"0";"0";"0";"0";""
Trento;10/8/2005;"21,4";"12,2";"29,7";"10,8";"51";"11";"8";"22";"0";"0";"0";"0";""
Trento;11/8/2005;"21,2";"14,9";"27,5";"14,9";"67";"11";"7";"18";"0";"0";"0";"0";"pioggia "
Trento;12/8/2005;"23,8";"16,7";"30,4";"13,8";"54";"11";"10";"21";"0";"0";"0";"0";""
Trento;13/8/2005;"21,7";"17";"28,7";"14,8";"65";"11";"5";"22";"41";"0";"0";"0";"pioggia temporale "
Trento;14/8/2005;"18,4";"13,4";"24,8";"14,7";"79";"11";"6";"18";"0";"0";"0";"10,2";"pioggia "
Trento;15/8/2005;"20,2";"12";"26,5";"5,6";"38";"11";"14";"22";"39";"0";"0";"0";""
Trento;16/8/2005;"21,1";"12,6";"27";"6,6";"39";"12";"15";"29";"54";"0";"0";"0";""
Trento;17/8/2005;"22,8";"11,4";"31,8";"9,3";"42";"10";"7";"15";"0";"0";"0";"0";""
Trento;18/8/2005;"23,8";"14,5";"31";"12,6";"49";"11";"12";"41";"0";"0";"0";"0";"pioggia temporale "
Trento;19/8/2005;"22,6";"15,5";"29,8";"15,5";"64";"11";"8";"22";"41";"0";"0";"30";""
Trento;20/8/2005;"17,6";"15";"21";"14,7";"83";"10";"4";"22";"42";"0";"0";"15";"pioggia temporale "
Trento;21/8/2005;"15,9";"14";"18";"14,2";"90";"8";"2";"5";"0";"0";"0";"8,1";"pioggia "
Trento;22/8/2005;"16,4";"14,8";"17,3";"14,8";"90";"9";"4";"8";"0";"0";"0";"4,1";"pioggia "
Trento;23/8/2005;"19,5";"14,7";"24,7";"13,3";"67";"11";"4";"15";"0";"0";"0";"0,5";""
Trento;24/8/2005;"20,9";"11,5";"28,5";"11,8";"56";"11";"5";"13";"0";"0";"0";"0";""
Trento;25/8/2005;"22,1";"17";"26,3";"15,2";"65";"10";"6";"15";"0";"0";"0";"0";""
Trento;26/8/2005;"23,2";"17,3";"28,5";"16,8";"67";"10";"10";"21";"0";"0";"0";"0";""
Trento;27/8/2005;"21,4";"17";"27,5";"15,3";"68";"11";"7";"17";"0";"0";"0";"1";"pioggia temporale "
Trento;28/8/2005;"20,5";"16,8";"24,6";"16,3";"77";"11";"4";"9";"0";"0";"0";"11,9";""
Trento;29/8/2005;"23,9";"15,1";"29,7";"15,8";"61";"21";"6";"15";"0";"1024";"996";"0";""
Trento;30/8/2005;"24,8";"17";"31,1";"16,6";"60";"11";"7";"17";"0";"0";"0";"118,1";""
Trento;31/8/2005;"25,1";"20,3";"30";"17,9";"64";"11";"11";"21";"0";"0";"0";"0";""
