LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/12/2006;"1,5";"-3,8";"11,4";"-0,8";"85";"10";"2";"8";"0";"0";"0";"0";""
Trento;2/12/2006;"0,6";"-4,5";"8,8";"-2,3";"81";"10";"2";"8";"0";"0";"0";"0";""
Trento;3/12/2006;"2,3";"-3";"4,3";"-0,9";"79";"11";"3";"8";"0";"0";"0";"0";""
Trento;4/12/2006;"4,8";"0,7";"8,9";"0,6";"74";"11";"2";"5";"0";"0";"0";"0";""
Trento;5/12/2006;"4,1";"-1,7";"10,3";"1,9";"86";"10";"4";"11";"0";"0";"0";"0";""
Trento;6/12/2006;"6,1";"2";"7,3";"5,1";"93";"4";"2";"5";"0";"0";"0";"2";"pioggia "
Trento;7/12/2006;"8";"6";"10";"6,9";"93";"4";"2";"5";"0";"0";"0";"3,1";"pioggia nebbia "
Trento;8/12/2006;"10,6";"7";"14,4";"7,8";"83";"9";"5";"13";"0";"0";"0";"0,8";"pioggia nebbia "
Trento;9/12/2006;"7,2";"5";"9,3";"5,4";"88";"10";"6";"13";"0";"0";"0";"27,9";"pioggia "
Trento;10/12/2006;"6,1";"1";"12,9";"2,4";"77";"11";"3";"9";"0";"0";"0";"0";""
Trento;11/12/2006;"1,6";"-3";"8,1";"-2,3";"75";"11";"2";"4";"0";"0";"0";"0";""
Trento;12/12/2006;"1,3";"-2,9";"6,9";"-2,2";"77";"11";"2";"5";"0";"0";"0";"0";""
Trento;13/12/2006;"1,2";"-3,9";"9,1";"-1,9";"80";"10";"3";"5";"0";"0";"0";"0";""
Trento;14/12/2006;"1,5";"-3,8";"9,5";"-2";"77";"10";"1";"4";"0";"0";"0";"0";""
Trento;15/12/2006;"1,4";"-3,7";"8,6";"-2,2";"77";"10";"2";"8";"0";"0";"0";"0";""
Trento;16/12/2006;"2";"-3,4";"8";"-1,5";"78";"11";"2";"5";"0";"0";"0";"0";""
Trento;17/12/2006;"4,6";"1,4";"8,4";"1,5";"80";"11";"2";"8";"0";"0";"0";"0";""
Trento;18/12/2006;"7,4";"2,7";"12,1";"-0,9";"56";"11";"6";"24";"42";"0";"0";"0";""
Trento;19/12/2006;"4,6";"-1";"10,2";"-4,6";"51";"11";"3";"8";"0";"0";"0";"0";""
Trento;20/12/2006;"1";"-4";"8,3";"-6,1";"59";"11";"3";"5";"0";"0";"0";"0";""
Trento;21/12/2006;"-1";"-6";"6,3";"-5,5";"71";"10";"3";"9";"0";"0";"0";"0";""
Trento;22/12/2006;"0,1";"-6";"7,6";"-6,2";"62";"10";"3";"9";"0";"0";"0";"0";""
Trento;23/12/2006;"-0,1";"-6";"8,8";"-6,5";"62";"10";"2";"4";"0";"0";"0";"0";""
Trento;24/12/2006;"0,2";"-5,7";"10,3";"-5,1";"67";"10";"2";"5";"0";"0";"0";"0";""
Trento;25/12/2006;"0,7";"-5,1";"10,7";"-4,1";"70";"10";"2";"5";"0";"0";"0";"0";""
Trento;26/12/2006;"1,2";"-4,6";"8,8";"-4,3";"67";"10";"3";"9";"0";"0";"0";"0";""
Trento;27/12/2006;"-1,1";"-6,8";"6,8";"-5,5";"72";"10";"2";"4";"0";"0";"0";"0";""
Trento;28/12/2006;"-1,9";"-7,5";"6";"-5,7";"75";"10";"2";"5";"0";"0";"0";"0";""
Trento;29/12/2006;"-2,3";"-7,6";"6";"-5,8";"77";"10";"3";"8";"0";"0";"0";"0";""
Trento;30/12/2006;"-2,6";"-7,2";"5";"-5,2";"82";"10";"2";"8";"0";"0";"0";"0";""
Trento;31/12/2006;"-1,1";"-5";"5,6";"-3,8";"82";"10";"3";"9";"0";"0";"0";"0";""
