LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/1/2007;"0,2";"-4";"3";"-1,8";"86";"10";"4";"13";"0";"1027";"0";"0,5";"pioggia neve "
Trento;2/1/2007;"3,3";"-3,4";"9,5";"-3,2";"62";"10";"7";"18";"34";"1018";"0";"0";""
Trento;3/1/2007;"4,8";"-0,9";"12,9";"-6,3";"44";"11";"6";"18";"0";"1026";"0";"0";""
Trento;4/1/2007;"0,6";"-2";"4,3";"-4,2";"70";"11";"2";"8";"0";"1022";"0";"0";""
Trento;5/1/2007;"0,7";"-5,5";"8,2";"-3,7";"72";"10";"3";"9";"0";"1022";"0";"0";""
Trento;6/1/2007;"1,2";"-4";"8,7";"-2,4";"77";"10";"2";"5";"0";"1026";"0";"0";""
Trento;7/1/2007;"2,9";"-2,4";"9,5";"-1,4";"73";"11";"4";"9";"0";"1026";"0";"0";""
Trento;8/1/2007;"3,3";"-1,5";"7,1";"-0,3";"77";"11";"3";"8";"0";"1021";"0";"0";""
Trento;9/1/2007;"2,9";"-2,3";"9,5";"-0,3";"79";"11";"2";"8";"0";"1024";"0";"0";""
Trento;10/1/2007;"2,6";"-2,9";"6,7";"0,3";"85";"9";"3";"8";"0";"1029";"0";"0";""
Trento;11/1/2007;"5,7";"1,9";"11,6";"2,1";"78";"11";"3";"8";"0";"1025";"0";"0";""
Trento;12/1/2007;"9,8";"1,1";"18,9";"-0,4";"49";"10";"7";"26";"50";"1022";"0";"0";""
Trento;13/1/2007;"4,3";"-1,4";"13,5";"-0,8";"69";"10";"3";"8";"0";"1029";"999";"0";""
Trento;14/1/2007;"2,9";"-2,9";"12";"-1,4";"73";"10";"3";"5";"0";"1029";"0";"0";""
Trento;15/1/2007;"2,8";"-3,4";"12,7";"-2,8";"67";"11";"2";"5";"0";"1034";"0";"0";""
Trento;16/1/2007;"3,4";"-1,8";"10,5";"-2,6";"65";"11";"2";"8";"0";"1029";"0";"0";""
Trento;17/1/2007;"1,9";"-3";"9,6";"-1,8";"76";"10";"3";"9";"0";"1027";"0";"0";""
Trento;18/1/2007;"3,8";"-1,8";"7,2";"-0,6";"73";"11";"3";"5";"0";"1021";"0";"0";""
Trento;19/1/2007;"9,6";"-0,3";"21,8";"3";"63";"11";"8";"21";"41";"1015";"0";"0";""
Trento;20/1/2007;"7,6";"1,8";"15,9";"2,4";"70";"11";"3";"8";"0";"1021";"0";"0";""
Trento;21/1/2007;"3,8";"-2,3";"9,9";"0,9";"81";"9";"3";"8";"0";"1018";"0";"0";""
Trento;22/1/2007;"3,6";"-0,1";"5,2";"2,2";"91";"7";"2";"5";"0";"1016";"0";"0,5";"pioggia "
Trento;23/1/2007;"3,7";"3";"4,3";"2,8";"94";"5";"4";"11";"0";"1002";"0";"17";"pioggia nebbia "
Trento;24/1/2007;"4,2";"0,1";"8,3";"-3,7";"56";"11";"14";"24";"0";"995";"0";"5,1";""
Trento;25/1/2007;"2,9";"0,9";"5,3";"-8,7";"42";"11";"5";"15";"0";"1011";"0";"0";""
Trento;26/1/2007;"0,1";"-3";"2";"-2,4";"83";"7";"3";"8";"0";"1018";"0";"0";"neve "
Trento;27/1/2007;"2,6";"-4";"8,1";"-6,8";"50";"11";"6";"18";"31";"1023";"0";"0";""
Trento;28/1/2007;"3,2";"-1,2";"10,6";"-4,3";"58";"10";"5";"15";"0";"1025";"0";"0";""
Trento;29/1/2007;"3,7";"-4,5";"13";"-3,3";"60";"11";"4";"9";"0";"1018";"0";"0";""
Trento;30/1/2007;"2,7";"-3,6";"12,1";"-3,4";"64";"10";"2";"5";"0";"1021";"0";"0";""
Trento;31/1/2007;"2,3";"-4,4";"11,1";"-2,8";"69";"10";"3";"5";"0";"1023";"0";"0";""
