LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/2/2025;"5";"3";"7";"4";"92";"18";"0";"0";"0";"1027";"0";"0";"pioggia nebbia "
Trento;2/2/2025;"6";"1";"12";"2";"81";"21";"0";"0";"0";"1021";"0";"0";""
Trento;3/2/2025;"5";"-1";"12";"1";"70";"23";"0";"0";"0";"1024";"0";"0";""
Trento;4/2/2025;"4";"-3";"11";"0";"69";"19";"0";"0";"0";"1028";"0";"0";""
Trento;5/2/2025;"4";"-1";"12";"0";"66";"21";"0";"0";"0";"1033";"0";"0";""
Trento;6/2/2025;"4";"-4";"12";"0";"64";"20";"0";"0";"0";"1031";"0";"0";""
Trento;7/2/2025;"4";"-3";"9";"0";"67";"22";"0";"0";"0";"1029";"0";"0";""
Trento;8/2/2025;"4";"0";"7";"1";"76";"15";"0";"0";"0";"1029";"0";"0";""
Trento;9/2/2025;"5";"3";"6";"4";"96";"4";"0";"0";"0";"1029";"0";"0";"pioggia "
Trento;10/2/2025;"7";"4";"11";"6";"93";"10";"0";"0";"0";"1025";"0";"0";"pioggia nebbia "
Trento;11/2/2025;"9";"6";"12";"7";"88";"13";"0";"0";"0";"1023";"0";"0";"pioggia "
Trento;12/2/2025;"9";"7";"12";"7";"90";"12";"0";"0";"0";"1020";"0";"0";"pioggia nebbia "
Trento;13/2/2025;"9";"7";"11";"7";"86";"8";"0";"0";"0";"1015";"0";"0";""
Trento;14/2/2025;"8";"5";"10";"6";"40";"19";"3";"30";"0";"1014";"0";"0";"pioggia "
Trento;15/2/2025;"4";"-2";"11";"0";"51";"19";"0";"0";"0";"1017";"0";"0";""
Trento;16/2/2025;"5";"-1";"9";"0";"67";"19";"0";"0";"0";"1013";"0";"0";""
Trento;17/2/2025;"4";"0";"8";"0";"73";"15";"0";"0";"0";"1018";"0";"0";""
Trento;18/2/2025;"6";"1";"10";"0";"63";"17";"0";"0";"0";"1020";"0";"0";""
Trento;19/2/2025;"4";"0";"7";"0";"68";"19";"0";"0";"0";"1027";"0";"0";""
Trento;20/2/2025;"4";"-3";"11";"0";"68";"19";"0";"0";"0";"1029";"0";"0";""
Trento;21/2/2025;"7";"-2";"14";"1";"67";"22";"0";"0";"0";"1028";"0";"0";""
Trento;22/2/2025;"7";"1";"12";"2";"72";"8";"0";"0";"0";"1026";"0";"0";""
Trento;23/2/2025;"8";"0";"14";"3";"72";"14";"0";"0";"0";"1029";"0";"0";""
Trento;24/2/2025;"10";"0";"15";"4";"69";"16";"0";"0";"0";"1025";"0";"0";""
Trento;25/2/2025;"11";"8";"13";"8";"82";"6";"0";"0";"0";"1018";"0";"0";"pioggia "
Trento;26/2/2025;"11";"8";"13";"7";"76";"14";"0";"0";"0";"1014";"0";"0";"pioggia "
Trento;27/2/2025;"11";"3";"16";"2";"53";"20";"0";"0";"0";"1016";"0";"0";""
Trento;28/2/2025;"10";"3";"15";"2";"54";"18";"0";"0";"0";"1019";"0";"0";""
