City,TypeMicro,TemperatureRange (Celsius),HumidityRange (Percentage),"WindPattern  (km/h, degree)"
Trento,temperate,-20.9 - 20.7,22 - 100,"light winds, avg 4.0 km/h, dominant 312"
Povo,warm,-15.0 - 26.6,29 - 99,"light winds, avg 3.9 km/h, dominant 337"
Rovereto,hot,-6.1 – 31.9,23 - 99,"moderate winds, avg 5.7 km/h, dominant 82"
Tenno,hot,-6.1 - 31.1,31 - 98,"moderate winds, avg 5.4 km/h, dominant 73"
Mezzana,temperate,-26.7 – 19.2,16 - 100,"light winds, avg 4.8 km/h, dominant 341"
Predazzo,temperate,-21.2 - 21.2,22 - 100,"light winds, avg 4.2 km/h, dominant 305"
Lavarone,warm,-9.8 – 28.7,28 - 100,"light winds, avg 4.9 km/h, dominant 342"
Telve,warm,-15.4 – 24.2,28 - 100,"light winds, avg 3.6 km/h, dominant 193"
Cavalese,warm,-17.8 - 24.9,17 - 100,"light winds, avg 4.5 km/h, dominant 168"
Arco,hot,-5.0 – 31.5,32 - 98,"moderate winds, avg 6.3 km/h, dominant 79"
