City,WeatherCode,MeanHumidity (Percentage),WindDirection (Degree),Precipitation (mm),WindGusts (km/h),WindSpeed (km/h),MeanTemperature (Celsius),Date,StationCode
Lavarone,3,94,333,0.0,13.4,4.7,2.9,2010-01-01T00:00:00,T0032
Lavarone,71,74,350,6.6,26.1,5.7,1.4,2010-01-02T00:00:00,T0032
Lavarone,3,44,314,0.0,19.8,5.7,-0.8,2010-01-03T00:00:00,T0032
Lavarone,71,57,348,0.2,10.1,3.1,-0.7,2010-01-04T00:00:00,T0032
Lavarone,73,68,5,1.5,11.4,4.0,0.2,2010-01-05T00:00:00,T0032
Lavarone,73,83,331,1.4,11.9,3.7,1.6,2010-01-06T00:00:00,T0032
Lavarone,71,85,26,0.4,13.7,4.1,1.7,2010-01-07T00:00:00,T0032
Lavarone,73,92,16,23.9,24.9,7.1,2.3,2010-01-08T00:00:00,T0032
Lavarone,73,94,42,27.5,32.6,8.5,3.1,2010-01-09T00:00:00,T0032
Lavarone,73,90,279,4.6,12.6,3.8,2.6,2010-01-10T00:00:00,T0032
Lavarone,3,91,312,0.0,11.2,3.1,0.7,2010-01-11T00:00:00,T0032
Lavarone,3,89,359,0.0,9.4,3.2,1.5,2010-01-12T00:00:00,T0032
Lavarone,71,88,349,0.5,9.4,3.7,0.8,2010-01-13T00:00:00,T0032
Lavarone,71,86,14,0.0,9.7,3.1,1.6,2010-01-14T00:00:00,T0032
Lavarone,3,81,5,0.0,12.4,4.1,1.2,2010-01-15T00:00:00,T0032
Lavarone,3,79,9,0.0,11.0,3.1,0.5,2010-01-16T00:00:00,T0032
Lavarone,71,84,305,0.3,11.9,2.5,0.8,2010-01-17T00:00:00,T0032
Lavarone,1,73,332,0.0,13.8,4.5,1.8,2010-01-18T00:00:00,T0032
Lavarone,0,68,344,0.0,12.4,4.2,1.4,2010-01-19T00:00:00,T0032
Lavarone,3,77,339,0.0,11.0,3.5,-0.2,2010-01-20T00:00:00,T0032
Lavarone,1,74,338,0.0,12.4,3.4,-0.2,2010-01-21T00:00:00,T0032
Lavarone,71,85,30,0.0,11.5,3.2,0.2,2010-01-22T00:00:00,T0032
Lavarone,3,89,263,0.0,9.3,2.3,0.1,2010-01-23T00:00:00,T0032
Lavarone,71,92,59,0.0,10.3,3.1,-0.9,2010-01-24T00:00:00,T0032
Lavarone,3,76,85,0.0,12.2,3.6,-1.1,2010-01-25T00:00:00,T0032
Lavarone,71,81,54,1.6,14.9,4.0,-0.6,2010-01-26T00:00:00,T0032
Lavarone,3,77,6,0.0,14.1,3.9,-0.3,2010-01-27T00:00:00,T0032
Lavarone,3,88,137,0.0,13.8,3.4,-0.5,2010-01-28T00:00:00,T0032
Lavarone,73,80,128,1.4,11.8,2.6,-0.1,2010-01-29T00:00:00,T0032
Lavarone,73,80,97,3.3,14.5,3.1,0.5,2010-01-30T00:00:00,T0032
Lavarone,75,59,359,4.6,19.1,4.1,-0.1,2010-01-31T00:00:00,T0032
Lavarone,3,51,314,0.0,15.5,4.6,-0.0,2010-02-01T00:00:00,T0032
Lavarone,3,51,297,0.0,18.6,4.4,1.1,2010-02-02T00:00:00,T0032
Lavarone,3,62,305,0.0,17.3,4.2,1.9,2010-02-03T00:00:00,T0032
Lavarone,3,75,329,0.0,11.8,2.9,2.5,2010-02-04T00:00:00,T0032
Lavarone,75,91,31,22.9,19.1,5.3,2.4,2010-02-05T00:00:00,T0032
Lavarone,73,90,331,8.6,19.8,5.1,3.9,2010-02-06T00:00:00,T0032
Lavarone,71,88,320,2.2,19.1,3.9,3.0,2010-02-07T00:00:00,T0032
Lavarone,71,87,85,0.2,11.5,2.8,0.8,2010-02-08T00:00:00,T0032
Lavarone,3,84,83,0.0,11.5,3.3,0.3,2010-02-09T00:00:00,T0032
Lavarone,73,77,1,6.9,16.3,4.3,1.4,2010-02-10T00:00:00,T0032
Lavarone,73,83,36,6.6,21.6,4.9,-0.7,2010-02-11T00:00:00,T0032
Lavarone,71,72,24,0.5,17.1,4.8,1.1,2010-02-12T00:00:00,T0032
Lavarone,3,65,314,0.0,16.2,5.3,1.8,2010-02-13T00:00:00,T0032
Lavarone,51,78,39,0.5,12.7,4.3,2.0,2010-02-14T00:00:00,T0032
Lavarone,3,82,130,0.0,13.3,3.7,1.5,2010-02-15T00:00:00,T0032
Lavarone,3,80,59,0.0,14.0,4.0,1.6,2010-02-16T00:00:00,T0032
Lavarone,51,81,9,1.4,13.2,3.4,3.7,2010-02-17T00:00:00,T0032
Lavarone,71,90,271,4.3,15.2,4.4,5.2,2010-02-18T00:00:00,T0032
Lavarone,73,96,21,37.3,25.4,7.4,3.6,2010-02-19T00:00:00,T0032
Lavarone,71,88,14,7.4,17.0,4.9,3.4,2010-02-20T00:00:00,T0032
Lavarone,71,90,45,2.0,18.6,4.8,1.7,2010-02-21T00:00:00,T0032
Lavarone,71,88,104,1.9,14.7,3.2,3.4,2010-02-22T00:00:00,T0032
Lavarone,71,88,279,1.9,12.4,3.4,4.6,2010-02-23T00:00:00,T0032
Lavarone,51,83,347,0.1,12.3,3.6,5.7,2010-02-24T00:00:00,T0032
Lavarone,51,86,163,1.1,16.4,4.3,5.4,2010-02-25T00:00:00,T0032
Lavarone,71,94,348,13.7,18.5,5.1,4.8,2010-02-26T00:00:00,T0032
Lavarone,3,71,3,0.0,19.5,4.6,4.1,2010-02-27T00:00:00,T0032
Lavarone,71,82,357,0.4,16.9,3.4,5.6,2010-02-28T00:00:00,T0032
Lavarone,3,83,329,0.0,16.4,4.8,5.3,2010-03-01T00:00:00,T0032
Lavarone,51,85,341,2.1,13.6,3.4,7.3,2010-03-02T00:00:00,T0032
Lavarone,73,92,47,10.8,21.1,6.6,4.6,2010-03-03T00:00:00,T0032
Lavarone,73,82,66,6.4,22.4,6.0,4.6,2010-03-04T00:00:00,T0032
Lavarone,73,85,29,8.5,17.4,3.3,0.9,2010-03-05T00:00:00,T0032
Lavarone,71,65,198,0.2,20.9,5.8,-1.2,2010-03-06T00:00:00,T0032
