code,shortname,elevation,latitude,longitude,startdate,enddate
T0154,Ala (Convento),165,45.757117,10.999871,1921-01-01,2005-06-22
T0405,Ala (Maso Le Pozze),170,45.786137,11.023828,2012-05-17,
T0153,Ala (Ronchi),692,45.73919,11.06545,1927-08-01,
T0146,Aldeno (San Zeno),182,45.968006,11.091231,1923-11-01,
T0322,Arco (Arboreto),115,45.922268,10.883035,2004-05-31,2014-03-23
T0401,Arco (Bruttagosto),85,45.910374,10.887133,1985-07-18,
T0204,Bezzecca,698,45.896762,10.719079,1921-01-01,2006-04-06
T0402,Bezzecca (Spessa),710,45.895628,10.725025,2012-06-06,
T0015,Bieno,843,46.081097,11.557174,1923-10-01,
T0222,Borgo Valsugana,385,46.052985,11.450479,1921-01-01,2006-01-19
T0152,Brentonico,693,45.817224,10.953107,1926-07-01,2010-02-03
T0155,Brentonico (Diga Di Pra' Da Stua),1045,45.77223,10.904538,1975-01-01,2003-12-31
T0443,Brentonico (Santa Caterina),727,45.824004,10.959756,2009-12-21,
T0415,Bresimo (Malga Bordolona),1815,46.433136,10.889328,2012-05-16,
T0229,Campitello (Malga Do Col D'Aura),2050,46.490938,11.65755,2002-09-02,
T0323,Campodenno (frana),610,46.25978,11.028379,2004-03-30,2016-08-02
T0030,Canal San Bovo,750,46.14956,11.734845,1927-10-01,
T0403,Canazei (Ciampac),2150,46.445989,11.769081,2019-09-10,
T0445,Canazei (Coi de Paussa),2376,46.47197,11.849001,2009-01-01,2018-05-09
T0437,Canazei (Gries),1465,46.478318,11.766852,2012-03-28,
T0421,Caoria,803,46.192017,11.683911,2007-05-15,
T0029,Caoria (Centrale),908,46.204415,11.661787,1921-01-01,2002-01-07
T0431,Capriana,1055,46.263079,11.33633,2012-04-04,
T0065,Careser (Diga),2600,46.422585,10.699111,1930-01-01,
T0308,Careser Alla Baia,2635,46.430843,10.706644,1971-01-01,2024-07-09
T0418,Castelfondo (Malga Castrin),1815,46.510001,11.043574,2012-05-30,
T0469,Castello Tesino (Le Parti),801,46.056924,11.629929,1921-01-01,
T0367,Cavalese,958,46.284782,11.451713,1999-11-04,
