City,MicroClimate,TypeMicro,TemperatureRange,HumidityRange,WindPattern
Trento,temperate microclimate (1990-2025),temperate,-20.9°C - 20.7°C,22% - 100%,"light winds, avg 4.0 km/h, dominant 312°"
Povo,warm microclimate (1990-2025),warm,-15.0°C - 26.6°C,29% - 99%,"light winds, avg 3.9 km/h, dominant 337°"
Rovereto,very warm microclimate (1990-2025),hot,-6.1°C - 31.9°C,23% - 99%,"moderate winds, avg 5.7 km/h, dominant 82°"
Tenno,very warm microclimate (1990-2025),hot,-6.1°C - 31.1°C,31% - 98%,"moderate winds, avg 5.4 km/h, dominant 73°"
Mezzana,temperate microclimate (1990-2025),temperate,-26.7°C - 19.2°C,16% - 100%,"light winds, avg 4.8 km/h, dominant 341°"
Predazzo,temperate microclimate (1990-2025),temperate,-21.2°C - 21.2°C,22% - 100%,"light winds, avg 4.2 km/h, dominant 305°"
Lavarone,warm microclimate (1990-2025),warm,-9.8°C - 28.7°C,28% - 100%,"light winds, avg 4.9 km/h, dominant 342°"
Telve,warm microclimate (1990-2025),warm,-15.4°C - 24.2°C,28% - 100%,"light winds, avg 3.6 km/h, dominant 193°"
Cavalese,warm microclimate (1990-2025),warm,-17.8°C - 24.9°C,17% - 100%,"light winds, avg 4.5 km/h, dominant 168°"
Arco,very warm microclimate (1990-2025),hot,-5.0°C - 31.5°C,32% - 98%,"moderate winds, avg 6.3 km/h, dominant 79°"
