Location;Date;MeanTemp;MinTemperature;MaxTemperature;MeanHumidity;WindSpeed;WindGusts;Rainfall;Phenomena
Arco;1/1/2000;-0.8;-5;4.4;63;2;0;0;
Arco;2/1/2000;-1.7;-7;5.1;69;2;0;0;
Arco;3/1/2000;-0.6;-6;6.5;74;2;0;0;fog
Arco;4/1/2000;-0.1;-5;7;73;3;0;0;fog
Arco;5/1/2000;3.6;-1;11;61;2;0;0;
Arco;6/1/2000;2.3;-2;9.2;63;2;0;0;fog
Arco;7/1/2000;2.3;-2;9;63;1;0;0;fog
Arco;8/1/2000;-0.2;-5;5.6;76;1;0;0;fog
Arco;9/1/2000;2.6;-2;8;86;1;0;0;fog
Arco;10/1/2000;-1.1;-5;1.6;87;1;0;0;fog
Arco;11/1/2000;0.4;-5;6.5;88;2;0;0;fog
Arco;12/1/2000;-1.1;-6;6;74;3;0;0;fog
Arco;13/1/2000;-1.7;-5;2.1;77;5;0;0;
Arco;14/1/2000;-0.8;-6;2.1;80;2;0;0;
Arco;15/1/2000;2.4;-2;9;64;5;0;0;
Arco;16/1/2000;-0.2;-4;5;65;8;0;0;
Arco;17/1/2000;0.2;-3.6;6;78;9;0;0;
Arco;18/1/2000;1.6;-5;10.2;76;5;0;0;
Arco;19/1/2000;3.7;-1;9.4;51;9;0;0;
Arco;20/1/2000;0.7;-4.2;6.8;55;4;0;0;
Arco;21/1/2000;1.5;-4.2;11;56;7;0;0;
Arco;22/1/2000;0.1;-5.7;5.1;71;12;0;0;rain
Arco;23/1/2000;-0.4;-2;3.6;78;5;0;0.8;fog
Arco;24/1/2000;-1.3;-3.5;1.4;75;12;0;0.8;snow fog
Arco;25/1/2000;-2.9;-7;1.4;50;4;0;0;
Arco;26/1/2000;-4.5;-9;1.3;66;5;0;0;
Arco;27/1/2000;-3.8;-9;3;75;2;0;0;
Arco;28/1/2000;-1.5;-5.6;3.6;71;4;0;0;
Arco;29/1/2000;-1.1;-6;3.2;79;6;0;0;fog
Arco;30/1/2000;-0.5;-5.4;5.4;82;3;0;0;fog
Arco;31/1/2000;1.8;-3.7;9;79;3;0;0;fog
Arco;1/6/2000;21.2;13.6;25.3;63;8;0;0;
Arco;2/6/2000;21.3;15.3;26.7;63;5;0;0;
