Location;Date;MeanTemp;MinTemperature;MaxTemperature;MeanHumidity;WindSpeed;WindGusts;Rainfall;Phenomena
Lavarone;1/10/2000;10.7;9.7;11.5;92;2;31;26.1;rain
Lavarone;2/10/2000;9.8;7.4;11.8;87;2;35;3.6;rain
Lavarone;3/10/2000;8.6;7.3;10.3;85;6;61;5.8;rain
Lavarone;4/10/2000;11.8;7.9;14.8;72;4;30;0;
Lavarone;5/10/2000;12.8;11;14.5;74;2;23;2.3;rain
Lavarone;6/10/2000;8.3;4.5;10.8;91;4;52;18.5;rain
Lavarone;7/10/2000;2.5;1.8;4.1;97;6;54;43;rain snow
Lavarone;8/10/2000;5.7;2.9;7.2;76;4;55;4.1;rain snow
Lavarone;9/10/2000;7.9;5.9;11.1;82;3;23;4.1;rain
Lavarone;10/10/2000;6;5.6;6.5;95;1;32;8.4;rain
Lavarone;11/10/2000;6.7;5.6;7.6;98;3;47;46.8;rain
Lavarone;12/10/2000;9.4;6.8;11.2;96;2;73;71.5;rain
Lavarone;13/10/2000;12.5;10.5;14.6;87;2;58;12.6;rain
Lavarone;14/10/2000;14.1;11.5;16.9;81;3;49;4.5;rain
Lavarone;15/10/2000;11.2;7.9;14.2;83;4;64;18.7;rain
Lavarone;16/10/2000;8.8;7.3;11.6;84;2;43;1.8;rain
Lavarone;17/10/2000;8;6.7;9.7;88;1;19;3.1;rain
Lavarone;18/10/2000;9.5;6.6;12.5;74;1;18;0;
Lavarone;19/10/2000;10.7;9.4;12.5;76;1;19;0;
Lavarone;20/10/2000;10.3;9.3;11.6;79;3;21;0;
Lavarone;21/10/2000;9.3;8.1;10.9;77;3;20;0;
Lavarone;22/10/2000;10;7.6;14;76;1;17;0;
Lavarone;23/10/2000;9.3;6;13.6;78;1;22;0;
Lavarone;24/10/2000;8.2;4.6;13.5;78;2;21;0;
Lavarone;25/10/2000;8.9;5.5;13.1;83;3;30;0;
Lavarone;26/10/2000;9.5;7.4;12.5;83;2;27;0;
Lavarone;27/10/2000;9.6;7.3;13.3;80;2;16;0;
Lavarone;28/10/2000;8.8;6.8;12.6;86;2;26;0;
Lavarone;29/10/2000;7.6;5.1;10.7;86;3;39;0;
Lavarone;30/10/2000;7.1;6.4;8.7;95;4;49;4.8;rain
Lavarone;31/10/2000;8.4;6.9;9.9;95;5;75;54.4;rain
Lavarone;1/12/2000;3.4;0.8;7.3;74;1;27;0;
Lavarone;2/12/2000;3.4;0.5;5.6;81;1;28;0;
Lavarone;3/12/2000;4.4;3.5;5.4;88;1;21;3;rain
Lavarone;4/12/2000;4.1;2.1;6.4;91;1;16;0;
Lavarone;5/12/2000;3.7;1.3;6.3;87;2;19;0;
Lavarone;6/12/2000;3.9;2.5;5.7;92;1;26;0;
Lavarone;7/12/2000;4.1;2.7;5.4;89;2;38;1.2;rain
Lavarone;8/12/2000;5.1;4.4;6.9;93;3;50;5.8;rain
Lavarone;9/12/2000;5.7;4.7;6.8;95;1;53;13.8;rain
Lavarone;10/12/2000;4.6;2.9;6.8;88;1;29;0;
Lavarone;11/12/2000;4.7;2.5;7.8;76;3;28;0;
Lavarone;12/12/2000;4.8;2.7;8.1;72;1;22;0;
Lavarone;13/12/2000;4.9;3.4;7.6;77;1;26;0;
Lavarone;14/12/2000;3.5;2.2;4.5;87;2;38;1.3;rain
Lavarone;15/12/2000;2.9;-0.5;5;88;3;46;2.1;rain
Lavarone;16/12/2000;0.9;-2.4;4.2;60;2;24;0;
Lavarone;17/12/2000;1.6;0.1;4.1;58;1;20;0;
Lavarone;18/12/2000;1.6;-1.1;4.6;53;2;23;0;
Lavarone;19/12/2000;3.9;2.2;7.1;49;1;19;0;
Lavarone;20/12/2000;1.4;-0;3;65;1;18;0;snow
Lavarone;21/12/2000;0.6;-0.4;2.6;68;0;14;0;
Lavarone;22/12/2000;0.7;-0.6;3.5;63;1;19;0;
Lavarone;23/12/2000;0.5;-0.9;3.6;57;0;21;0;
Lavarone;24/12/2000;-0.8;-2.5;1.3;58;1;34;3.1;rain snow
Lavarone;25/12/2000;1.4;-1.2;2.9;81;1;47;12.1;rain snow
Lavarone;26/12/2000;2;1.1;3;85;2;37;7.9;rain snow
Lavarone;27/12/2000;0.4;-0.9;1.4;84;3;31;3;rain snow
Lavarone;28/12/2000;-0.2;-3.1;1.7;79;3;36;0;snow
Lavarone;29/12/2000;-1.9;-3.4;-0.4;87;2;44;10.3;rain snow
Lavarone;30/12/2000;-4.6;-8.6;-1.7;74;4;36;0;snow
Lavarone;31/12/2000;-8.2;-10.7;-4.8;64;5;41;0;
Lavarone;1/4/2000;2.7;0;5.7;80;2;23;3.3;rain snow
Lavarone;2/4/2000;1.7;-2.4;5.2;77;3;33;0;
Lavarone;3/4/2000;2.5;0.4;4.2;95;1;35;13;rain snow
Lavarone;4/4/2000;5.9;2.8;9.5;74;3;35;0;
Lavarone;5/4/2000;6.4;1.4;12.3;69;2;28;0.9;rain
Lavarone;6/4/2000;5.4;2.2;7.9;74;3;38;1.3;rain
Lavarone;7/4/2000;5.8;1.2;10.5;51;3;29;0;
Lavarone;8/4/2000;6.8;1.8;12;48;3;30;0;
Lavarone;9/4/2000;4.9;1.9;7.5;69;4;36;2.2;rain
Lavarone;10/4/2000;3.5;1.6;5.3;81;3;24;1.9;rain snow
Lavarone;11/4/2000;4.4;2.4;6.5;79;3;38;1.3;rain
Lavarone;12/4/2000;4.8;2.9;6.9;93;5;60;15;rain snow
Lavarone;13/4/2000;6.3;3.8;9.1;81;5;67;3.7;rain
Lavarone;14/4/2000;6.8;5;9.8;80;5;45;4;rain
Lavarone;15/4/2000;6.7;5;8.7;90;3;53;7.8;rain
Lavarone;16/4/2000;6.9;3.3;10;72;3;43;1.3;rain
Lavarone;17/4/2000;8;5.8;9.6;83;1;36;18.1;rain
Lavarone;18/4/2000;8.3;4.2;11.7;77;4;37;4.9;rain
Lavarone;19/4/2000;9.8;6.2;12.8;68;4;40;2.4;rain
Lavarone;20/4/2000;13.1;7.7;17.4;48;3;38;0;
Lavarone;21/4/2000;15;9;19.9;47;2;17;0;
Lavarone;22/4/2000;15.4;10.8;19.2;50;3;36;0;
Lavarone;23/4/2000;15;10.8;19.4;54;3;35;0;
Lavarone;24/4/2000;9.5;7.2;11.1;78;2;36;10.3;rain
Lavarone;25/4/2000;11.2;5.7;15.3;64;3;30;0;
Lavarone;26/4/2000;13.3;8.6;17.5;62;2;30;0;
Lavarone;27/4/2000;13.7;9.5;19;67;2;37;0;
Lavarone;28/4/2000;11;8.5;14.1;83;2;39;9.4;rain
Lavarone;29/4/2000;10.3;7.5;13.1;84;3;38;10.2;rain
Lavarone;30/4/2000;12.5;7.3;16.7;63;2;20;0;
Lavarone;1/1/2000;-7.9;-12;-3.5;52;3;24;0;
Lavarone;2/1/2000;-4.5;-8;0.6;57;4;33;0;
Lavarone;3/1/2000;-4;-8;1.2;52;3;20;0;
Lavarone;4/1/2000;-3.5;-7.8;1.8;50;2;20;0;
Lavarone;5/1/2000;-2.3;-6.6;3;51;3;21;0;
Lavarone;6/1/2000;-1.4;-5;3;56;2;20;0;
Lavarone;7/1/2000;-1.6;-4.8;2;55;2;21;0;
Lavarone;8/1/2000;-2;-5.1;2.1;59;2;16;0;
Lavarone;9/1/2000;-2.4;-5.1;1;67;1;15;0;
Lavarone;10/1/2000;-2;-5.5;1.1;64;2;21;0;
Lavarone;11/1/2000;-1.2;-3.1;1.3;77;1;20;0;
Lavarone;12/1/2000;-2.7;-4.3;-0.6;77;1;14;0;
Lavarone;13/1/2000;-4.3;-6.1;-1.3;65;0;17;0;
Lavarone;14/1/2000;-4.3;-8.6;-0.7;55;3;21;0;
Lavarone;15/1/2000;-1.5;-4.6;2.6;61;3;26;0;
Lavarone;16/1/2000;-3.8;-6;-0.7;70;2;24;0;
Lavarone;17/1/2000;-4;-8.8;0.5;61;6;60;0;
Lavarone;18/1/2000;-0.3;-2.8;3.1;56;5;65;0;
Lavarone;19/1/2000;-2.9;-6.7;1.5;46;4;32;0;
Lavarone;20/1/2000;-7.4;-10.7;-3.8;56;4;30;0;
Lavarone;21/1/2000;-4.6;-10.2;0.9;49;7;58;0;
Lavarone;22/1/2000;-4.1;-7;-1.1;66;3;39;0.8;rain snow
Lavarone;23/1/2000;-2.9;-5.4;1;55;4;47;0;
Lavarone;24/1/2000;-6.7;-8.5;-3.5;62;2;23;0.8;rain snow
Lavarone;25/1/2000;-7.7;-9.8;-5.1;56;1;22;0;snow
Lavarone;26/1/2000;-6.7;-11.3;-1.6;48;2;21;0;
Lavarone;27/1/2000;-3.4;-8;1.8;50;2;25;0;
Lavarone;28/1/2000;-3.3;-7.5;1.6;53;1;24;0;
Lavarone;29/1/2000;-3.7;-8.2;0.3;53;1;26;0;
Lavarone;30/1/2000;1.7;-3.6;6.9;55;3;43;0;
Lavarone;31/1/2000;4.5;0.4;9.6;60;2;29;0;
Lavarone;1/8/2000;18;13.8;21.4;60;2;31;0;
Lavarone;2/8/2000;19.2;14.4;23.5;63;3;42;0;
Lavarone;3/8/2000;18.1;15.7;21.5;71;4;59;6.7;rain
Lavarone;4/8/2000;15;12.1;16.5;86;2;42;30.8;rain
Lavarone;5/8/2000;13.3;11.6;15.6;88;4;33;26.6;rain
Lavarone;6/8/2000;13.6;11.9;16;85;2;30;2.7;rain
Lavarone;7/8/2000;16.6;11.7;21.1;60;3;35;0;
Lavarone;8/8/2000;16.8;13.5;20.7;67;3;31;1.9;rain
Lavarone;9/8/2000;15.9;13.5;19.4;79;2;28;4.2;rain
Lavarone;10/8/2000;17.3;12.5;21.5;70;2;26;0;
Lavarone;11/8/2000;19.6;15.6;23.5;69;2;24;0;
Lavarone;12/8/2000;18.7;15.7;21.8;73;2;27;2.8;rain
Lavarone;13/8/2000;18;14.5;21.7;68;3;22;0;
Lavarone;14/8/2000;20;14.9;24.5;59;2;24;0;
Lavarone;15/8/2000;20.9;16.8;25.1;58;2;25;1.2;rain
Lavarone;16/8/2000;21.4;17.4;25.3;60;2;34;0;
Lavarone;17/8/2000;21.4;17.3;25.7;61;2;31;0;
Lavarone;18/8/2000;21.5;17.2;25.7;63;2;38;0;
Lavarone;19/8/2000;21.5;17;25.8;61;4;40;0;
Lavarone;20/8/2000;21.7;17;26.6;54;3;38;0;
Lavarone;21/8/2000;22.1;17.4;26.7;52;4;63;0;
Lavarone;22/8/2000;22.1;19;26.2;51;3;46;0;
Lavarone;23/8/2000;21.4;16.8;26;54;2;35;0;
Lavarone;24/8/2000;20.8;17.5;24.9;61;2;31;0;
Lavarone;25/8/2000;21.2;15.3;26.9;51;2;23;0;
Lavarone;26/8/2000;20.3;17;25;56;3;38;0;
Lavarone;27/8/2000;17.9;14.9;21.8;61;2;39;3.5;rain
Lavarone;28/8/2000;15.9;13.6;19.1;67;1;24;9.7;rain
Lavarone;29/8/2000;16.5;13.6;19.3;64;2;33;1.3;rain
Lavarone;30/8/2000;15.7;13.4;19.2;68;3;40;2.9;rain
Lavarone;31/8/2000;13.2;11.4;15;88;2;41;9.8;rain
Lavarone;1/3/2000;0.9;-0.4;2.3;93;3;61;11.6;rain snow
Lavarone;2/3/2000;2.2;-0.7;6.1;35;7;70;0;
Lavarone;3/3/2000;1.6;-2.3;5.7;49;2;30;0;
Lavarone;4/3/2000;3.3;-0.1;8.8;57;2;36;0;
Lavarone;5/3/2000;1.3;-2.6;5.8;40;2;36;0;
Lavarone;6/3/2000;2;-2.2;6.4;48;2;22;0;
Lavarone;7/3/2000;4.8;0.1;10;55;2;23;0;
Lavarone;8/3/2000;7.5;2.4;13;51;2;21;0;
Lavarone;9/3/2000;10.2;5.5;16.1;53;3;29;0;
Lavarone;10/3/2000;8.8;4.6;14.1;53;2;34;0;
Lavarone;11/3/2000;8.6;5;13.8;66;2;28;0;
Lavarone;12/3/2000;6.8;3.5;11.4;66;3;27;0;
Lavarone;13/3/2000;5.8;1.5;10.2;63;2;24;0;
Lavarone;14/3/2000;6.1;2.4;10.3;69;2;28;0;
Lavarone;15/3/2000;5.8;2;10.7;55;6;49;0;
Lavarone;16/3/2000;4.4;-0.7;9.3;41;5;57;0;
Lavarone;17/3/2000;6.1;1.1;11.8;52;4;46;0;
Lavarone;18/3/2000;5.5;2.1;10.3;61;3;33;0;
Lavarone;19/3/2000;4.2;0.9;9;66;3;27;0.9;rain snow
Lavarone;20/3/2000;2.3;-0.7;6.2;64;2;27;3;rain snow
Lavarone;21/3/2000;5.4;1.1;10.5;57;2;24;0;
Lavarone;22/3/2000;7.4;2.6;12.7;57;2;29;0;
Lavarone;23/3/2000;8.3;3.6;13.2;56;3;29;0;
Lavarone;24/3/2000;7.3;5.1;10.8;66;3;42;0;
Lavarone;25/3/2000;5.5;3;8.8;85;2;33;3.2;rain
Lavarone;26/3/2000;3.8;2.5;5.2;97;2;39;9.3;rain snow
Lavarone;27/3/2000;1.8;0.1;3.2;96;1;33;21.7;rain snow
Lavarone;28/3/2000;1;-1.1;4.4;86;2;26;8.1;rain snow
Lavarone;29/3/2000;1;-0.3;2.2;94;3;54;35.5;rain snow
Lavarone;30/3/2000;2.5;-0.8;5.7;68;4;38;0;
Lavarone;31/3/2000;2.3;-2.6;6.2;65;3;33;2.6;rain snow
Lavarone;1/5/2000;13.7;9.6;17.7;62;2;23;0;
Lavarone;2/5/2000;13.1;9.9;16.3;70;1;24;1.6;rain
Lavarone;3/5/2000;13.1;9.7;16.9;69;2;30;1.6;rain
