Location;Date;MeanTemp;MinTemperature;MaxTemperature;MeanHumidity;WindSpeed;WindGusts;Rainfall;Phenomena
Mezzana;1/10/2000;9.4;8.6;10.7;99;2;31;26.1;rain
Mezzana;2/10/2000;9.8;7.7;11.7;93;2;35;3.6;rain
Mezzana;3/10/2000;9.5;7.3;11.4;84;6;61;5.8;rain
Mezzana;4/10/2000;9.6;6.7;12.9;89;4;30;0;
Mezzana;5/10/2000;10.5;7.4;13.8;94;2;23;2.3;rain
Mezzana;6/10/2000;8.3;6.5;9.3;98;4;52;18.5;rain
Mezzana;7/10/2000;3.9;2.5;6.2;90;6;54;43;rain snow
Mezzana;8/10/2000;4.5;2.7;5.7;83;4;55;4.1;rain snow
Mezzana;9/10/2000;6.3;4.9;8.8;88;3;23;4.1;rain
Mezzana;10/10/2000;5;4.1;5.7;98;1;32;8.4;rain
Mezzana;11/10/2000;6;4.8;7;98;3;47;46.8;rain
Mezzana;12/10/2000;6.6;4.6;8;100;2;73;71.5;rain
Mezzana;13/10/2000;9.5;7.1;10.9;99;2;58;12.6;rain
Mezzana;14/10/2000;10.6;8.1;12.8;96;3;49;4.5;rain
Mezzana;15/10/2000;9.7;6.3;13.6;96;4;64;18.7;rain
Mezzana;16/10/2000;7.9;5.8;11.1;94;2;43;1.8;rain
Mezzana;17/10/2000;7.4;5.4;9.1;98;1;19;3.1;rain
Mezzana;18/10/2000;7.3;3.9;10.3;94;1;18;0;
Mezzana;19/10/2000;9;6.9;11.1;94;1;19;0;
Mezzana;20/10/2000;9.4;7.8;11.1;94;3;21;0;
Mezzana;21/10/2000;8.6;5.8;10.8;94;3;20;0;
Mezzana;22/10/2000;7.7;4.3;12.7;87;1;17;0;
Mezzana;23/10/2000;7.3;3.8;12.8;85;1;22;0;
Mezzana;24/10/2000;6.7;2.9;13;78;2;21;0;
Mezzana;25/10/2000;8.1;3.5;14;85;3;30;0;
Mezzana;26/10/2000;8.3;5.4;12.4;90;2;27;0;
Mezzana;27/10/2000;8.1;5;12.4;82;2;16;0;
Mezzana;28/10/2000;8.5;5.6;13.7;85;2;26;0;
Mezzana;29/10/2000;8;4.7;12;86;3;39;0;
Mezzana;30/10/2000;8.1;6.4;10.2;96;4;49;4.8;rain
Mezzana;31/10/2000;7.2;4.6;9.2;100;5;75;54.4;rain
Mezzana;1/2/2000;-3;-7.1;2.3;80;2;24;0;
Mezzana;2/2/2000;-1.7;-5;1.7;82;1;25;0.8;rain
Mezzana;3/2/2000;-0.3;-3.6;3.6;78;3;31;0;
Mezzana;4/2/2000;-4.3;-7.3;-0;65;2;23;0;
Mezzana;5/2/2000;-2.3;-6.7;3;84;3;26;0;
Mezzana;6/2/2000;-1.6;-5.9;3.5;92;2;20;0;
Mezzana;7/2/2000;-1.6;-5.4;3.1;84;2;22;0;
Mezzana;8/2/2000;0.2;-3.8;5.2;86;2;29;0;
Mezzana;9/2/2000;0.2;-3.9;4.3;69;4;44;0;
Mezzana;10/2/2000;-3.8;-6.8;0.8;70;2;39;0;
Mezzana;11/2/2000;-4;-7;-0.9;81;2;24;0;
Mezzana;12/2/2000;-2.8;-5.8;1.8;84;1;17;0;
Mezzana;13/2/2000;-2.8;-7.2;2.4;72;3;23;0;
Mezzana;14/2/2000;-0.8;-4.1;4.7;80;2;26;0;
Mezzana;15/2/2000;-1.8;-5.9;4;82;1;24;0;
Mezzana;16/2/2000;-1.8;-4.2;1.9;89;3;41;5.1;rain snow
Mezzana;17/2/2000;-4.8;-7.7;-1;58;3;35;0;
Mezzana;18/2/2000;-6.9;-9.6;-4.5;76;2;34;0;snow
Mezzana;19/2/2000;-3.5;-7.1;1.3;77;1;24;0;snow
Mezzana;20/2/2000;-3.6;-6.8;0.4;66;5;44;0;
Mezzana;21/2/2000;-6.7;-10.9;-1.5;59;3;36;0;
Mezzana;22/2/2000;-7.4;-11.5;-2.7;70;2;20;0;snow
Mezzana;23/2/2000;-7.2;-11.7;-1.2;69;1;14;0;
Mezzana;24/2/2000;-5.8;-12.5;1.2;66;3;23;0;
Mezzana;25/2/2000;-0.9;-7.8;6.3;88;2;29;0;
Mezzana;26/2/2000;-0.3;-5.2;5.6;84;2;24;0;
Mezzana;27/2/2000;-1.4;-6.7;5;67;1;18;0;
Mezzana;28/2/2000;-0.8;-6.6;5.3;73;3;33;0;
Mezzana;29/2/2000;0;-3.8;3.8;91;4;45;4.9;rain snow
Mezzana;1/9/2000;14.3;10;19.9;81;4;39;0;
Mezzana;2/9/2000;13;9.3;18.2;90;3;43;1.5;rain
Mezzana;3/9/2000;11.9;7.8;16.1;77;2;27;4;rain
Mezzana;4/9/2000;11.1;7.4;15;77;3;31;1.8;rain
Mezzana;5/9/2000;11.3;6;16.3;64;3;28;0;
Mezzana;6/9/2000;12;8.3;16;73;3;35;1.4;rain
Mezzana;7/9/2000;12.7;8.7;17.5;67;2;34;5.3;rain
Mezzana;8/9/2000;13.4;7.4;19.6;63;3;33;0;
Mezzana;9/9/2000;15.5;9.7;22.3;73;2;23;0;
Mezzana;10/9/2000;16.8;11.4;23.6;77;2;28;0;
Mezzana;11/9/2000;16.5;11.7;23.5;81;2;29;0;
Mezzana;12/9/2000;15.4;10.6;22.2;84;2;31;0;
Mezzana;13/9/2000;14.4;10.3;20.7;89;2;39;0;
Mezzana;14/9/2000;14.5;9.4;21.2;86;2;29;0;
Mezzana;15/9/2000;15.5;11.4;21.4;85;2;30;0;
Mezzana;16/9/2000;14.3;11.6;17.7;91;3;54;6.2;rain
Mezzana;17/9/2000;13.2;8.9;18.3;75;2;30;1.2;rain
Mezzana;18/9/2000;12.7;9.9;16;88;2;32;2.8;rain
Mezzana;19/9/2000;12.5;9.9;15.2;90;3;44;3;rain
Mezzana;20/9/2000;12.4;10.2;14.6;97;2;34;34.2;rain
Mezzana;21/9/2000;10.4;8.6;12.1;86;3;48;24.5;rain
Mezzana;22/9/2000;10.9;7.8;15;70;3;32;0;
Mezzana;23/9/2000;11.5;7.1;15.4;81;3;29;0;
Mezzana;24/9/2000;12.4;10.2;15.6;91;4;24;1.5;rain
Mezzana;25/9/2000;12.8;8.9;17.6;85;2;24;0;
Mezzana;26/9/2000;13.4;9.4;18.8;84;2;28;0;
Mezzana;27/9/2000;13.9;9.9;19.4;85;3;30;0;
Mezzana;28/9/2000;13.6;10.8;17.8;88;3;35;0;
Mezzana;29/9/2000;12.1;9.9;15;94;1;40;9.3;rain
Mezzana;30/9/2000;10.6;9.2;12.3;100;1;56;40.7;rain
Mezzana;1/1/2000;-11.9;-15.3;-7.7;77;3;24;0;
Mezzana;2/1/2000;-8.8;-12;-4.1;84;4;33;0;
Mezzana;3/1/2000;-11.1;-13.7;-6.2;67;3;20;0;
Mezzana;4/1/2000;-11.1;-14.5;-5.8;62;2;20;0;
Mezzana;5/1/2000;-9.2;-12.1;-3.8;89;3;21;0;
Mezzana;6/1/2000;-9.3;-12.6;-4.4;80;2;20;0;
Mezzana;7/1/2000;-8.6;-11.3;-4.4;79;2;21;0;
Mezzana;8/1/2000;-9.5;-12.2;-5.4;79;2;16;0;
Mezzana;9/1/2000;-9.7;-12.7;-6;77;1;15;0;
Mezzana;10/1/2000;-8.2;-11.5;-4.3;88;2;21;0;
Mezzana;11/1/2000;-8.9;-11.3;-5.1;89;1;20;0;
Mezzana;12/1/2000;-11.2;-13.9;-7.3;78;1;14;0;
Mezzana;13/1/2000;-11.8;-14.4;-7.5;76;0;17;0;
Mezzana;14/1/2000;-11.6;-16;-7.1;71;3;21;0;
Mezzana;15/1/2000;-9.1;-12.2;-4.7;91;3;26;0;
Mezzana;16/1/2000;-10.7;-13.9;-6.5;80;2;24;0;
Mezzana;17/1/2000;-7.9;-12.7;-4;81;6;60;0;
Mezzana;18/1/2000;-3;-5.7;0.6;86;5;65;0;
Mezzana;19/1/2000;-6.2;-10;-2.8;72;4;32;0;
Mezzana;20/1/2000;-9.9;-13.5;-6.4;64;4;30;0;
Mezzana;21/1/2000;-7.2;-10.6;-2.9;70;7;58;0;
Mezzana;22/1/2000;-7.6;-10.5;-5.2;88;3;39;0.8;rain snow
Mezzana;23/1/2000;-7.3;-9.8;-3.9;76;4;47;0;
Mezzana;24/1/2000;-11;-13.5;-7.6;70;2;23;0.8;rain snow
Mezzana;25/1/2000;-13.4;-16.5;-9.5;69;1;22;0;snow
Mezzana;26/1/2000;-14.3;-18.6;-9;59;2;21;0;
Mezzana;27/1/2000;-11.5;-16.3;-5.6;74;2;25;0;
Mezzana;28/1/2000;-11.4;-16;-5.7;72;1;24;0;
Mezzana;29/1/2000;-9.2;-15.1;-4.5;80;1;26;0;
Mezzana;30/1/2000;-2.1;-5.9;2.4;98;3;43;0;
Mezzana;31/1/2000;-1.3;-5;3.8;93;2;29;0;
Mezzana;1/8/2000;16.6;11.4;22.3;82;2;31;0;
Mezzana;2/8/2000;17.4;11.3;24.3;82;3;42;0;
Mezzana;3/8/2000;16.5;12.3;21.9;89;4;59;6.7;rain
Mezzana;4/8/2000;13.7;12.1;15.7;97;2;42;30.8;rain
Mezzana;5/8/2000;13;10.3;16.2;93;4;33;26.6;rain
Mezzana;6/8/2000;13.5;10.6;16.9;85;2;30;2.7;rain
Mezzana;7/8/2000;14.9;10.9;19.5;74;3;35;0;
Mezzana;8/8/2000;15.3;11.3;20.3;80;3;31;1.9;rain
Mezzana;9/8/2000;15.1;11.6;20.1;86;2;28;4.2;rain
Mezzana;10/8/2000;15.9;10.4;22.2;84;2;26;0;
Mezzana;11/8/2000;16.8;12;23;86;2;24;0;
Mezzana;12/8/2000;15.6;12.3;19.9;89;2;27;2.8;rain
Mezzana;13/8/2000;15.6;11.6;20.5;87;3;22;0;
Mezzana;14/8/2000;17.4;12.4;23.4;80;2;24;0;
Mezzana;15/8/2000;17.8;12.4;24.6;80;2;25;1.2;rain
Mezzana;16/8/2000;18.8;13.6;25.7;84;2;34;0;
Mezzana;17/8/2000;18.8;14.1;25.3;84;2;31;0;
Mezzana;18/8/2000;19.1;13.8;25.7;81;2;38;0;
Mezzana;19/8/2000;19.9;14.5;27.1;77;4;40;0;
Mezzana;20/8/2000;20.2;13.7;28.3;70;3;38;0;
Mezzana;21/8/2000;20.5;14.3;28.2;72;4;63;0;
Mezzana;22/8/2000;19.4;13.4;26.9;71;3;46;0;
Mezzana;23/8/2000;18.8;12.7;26.2;74;2;35;0;
Mezzana;24/8/2000;18.7;13.5;25.2;75;2;31;0;
Mezzana;25/8/2000;19.2;12.6;27.3;59;2;23;0;
Mezzana;26/8/2000;19.7;13.1;28;67;3;38;0;
Mezzana;27/8/2000;17.6;13.4;23.1;82;2;39;3.5;rain
Mezzana;28/8/2000;14.9;12;18.9;82;1;24;9.7;rain
Mezzana;29/8/2000;14.7;10.7;19.7;89;2;33;1.3;rain
Mezzana;30/8/2000;13.5;9.5;18.1;91;3;40;2.9;rain
Mezzana;31/8/2000;12.9;10.4;15.3;95;2;41;9.8;rain
Mezzana;1/6/2000;13.5;7.1;19;73;4;33;0.7;rain
Mezzana;2/6/2000;16.3;10.2;22.4;82;2;32;0;
Mezzana;3/6/2000;16.8;11.3;23;86;2;27;0;
Mezzana;4/6/2000;16;11.6;21.5;89;1;33;0.7;rain
Mezzana;5/6/2000;16.4;10.6;23.2;87;3;40;0;
