Location;Date;MeanTemp;MinTemperature;MaxTemperature;MeanHumidity;WindSpeed;WindGusts;Rainfall;Phenomena
Predazzo;1/5/2000;11;6.2;16.3;81;2;25;1.1;rain
Predazzo;2/5/2000;10.8;6.8;15.7;84;2;29;5.2;rain
Predazzo;3/5/2000;11.1;6.7;17.2;84;2;32;3.8;rain
Predazzo;4/5/2000;10.9;7;15.8;85;2;28;5.7;rain
Predazzo;5/5/2000;10.6;7.2;14.9;88;2;27;7.4;rain
Predazzo;6/5/2000;10.7;8.2;15.2;93;2;31;8.9;rain
Predazzo;7/5/2000;10.3;8;13.7;90;2;30;8.4;rain
Predazzo;8/5/2000;10.2;9;11.8;98;2;26;10.1;rain
Predazzo;9/5/2000;13.2;8.6;18.5;79;3;34;0.9;rain
Predazzo;10/5/2000;13.8;9.6;18.7;85;2;34;2.5;rain
Predazzo;11/5/2000;14.4;10;19.5;79;3;33;1.5;rain
Predazzo;12/5/2000;13.5;10.5;17.8;83;2;27;7;rain
Predazzo;13/5/2000;12.1;8.7;16;86;1;22;8.6;rain
Predazzo;14/5/2000;13.1;7.9;18.6;80;2;30;0.7;rain
Predazzo;15/5/2000;13.6;8.7;18.4;78;2;27;0;
Predazzo;16/5/2000;14.2;8.8;20.8;78;2;29;0.7;rain
Predazzo;17/5/2000;14.9;8.5;21.6;71;4;42;0;
Predazzo;18/5/2000;13.9;8.8;19.7;72;4;51;1.3;rain
Predazzo;19/5/2000;10.9;7.5;15.2;71;3;44;10.8;rain
Predazzo;20/5/2000;8.4;6.3;10.3;72;2;28;6.1;rain
Predazzo;21/5/2000;7.4;4.9;8.7;82;3;31;0;
Predazzo;22/5/2000;10.5;6.8;15.3;68;3;35;2.7;rain
Predazzo;23/5/2000;11.1;5.7;16.1;64;3;30;0;
Predazzo;24/5/2000;11.9;7.6;15.4;76;2;29;0;
Predazzo;25/5/2000;13.3;7.7;18.3;75;3;33;0;
Predazzo;26/5/2000;14.8;8.9;20.6;73;3;35;0;
Predazzo;27/5/2000;14.3;9.3;20.3;77;3;43;5.4;rain
Predazzo;28/5/2000;13;10.3;16.3;90;3;48;11.1;rain
Predazzo;29/5/2000;12.1;8.4;16.4;79;3;38;5.5;rain
Predazzo;30/5/2000;8.7;6.5;10.8;76;4;25;2;rain
Predazzo;31/5/2000;10.9;6.3;15.2;77;2;30;2.4;rain
Predazzo;1/3/2000;1.5;0.5;2.9;94;2;53;10.3;rain snow
Predazzo;2/3/2000;1.7;-1.6;7.3;42;7;77;0;
Predazzo;3/3/2000;-0.1;-4.8;6.2;57;1;23;0;
Predazzo;4/3/2000;0.1;-4.4;7.4;61;3;32;0;
Predazzo;5/3/2000;-0.9;-5.6;5.7;42;2;33;0;
Predazzo;6/3/2000;-0.5;-5.9;6.7;58;2;25;0;
Predazzo;7/3/2000;1.7;-4.1;8.7;67;2;24;0;
Predazzo;8/3/2000;3.9;-2.1;10.9;61;2;22;0;
Predazzo;9/3/2000;6.9;2.2;13.7;65;3;33;0;
Predazzo;10/3/2000;6.9;3.3;13;61;3;38;0;
Predazzo;11/3/2000;6.2;1.2;12.8;66;2;27;0;
Predazzo;12/3/2000;5.8;2.1;11.1;66;3;27;0;
Predazzo;13/3/2000;5;0.9;10.8;73;2;28;0;
Predazzo;14/3/2000;4.7;0.1;10.4;72;2;29;0.6;rain
Predazzo;15/3/2000;4.5;-0.7;11.2;58;5;48;0;
Predazzo;16/3/2000;3.4;-2.3;10.7;54;6;61;0;
Predazzo;17/3/2000;3.9;-1.3;11;73;4;50;0;
Predazzo;18/3/2000;3.5;-0.7;8.9;68;1;36;0;
Predazzo;19/3/2000;2.4;-1;7.7;61;3;30;3.8;rain snow
Predazzo;20/3/2000;2;-2.3;8.1;53;3;25;6.2;rain snow
Predazzo;21/3/2000;4.6;-1.2;12;57;2;25;0;
Predazzo;22/3/2000;5.9;-0.2;13.7;68;2;27;0;
Predazzo;23/3/2000;6.6;0.9;13.4;70;3;29;0;
Predazzo;24/3/2000;6.2;2.7;10.9;77;3;40;0;
Predazzo;25/3/2000;6.1;3.4;9.9;83;2;29;4.9;rain
Predazzo;26/3/2000;4.2;2.7;6;96;2;34;10;rain
Predazzo;27/3/2000;2.4;0.9;3.9;91;2;33;17.9;rain snow
Predazzo;28/3/2000;2.2;-0.7;5.9;79;3;29;12.3;rain snow
Predazzo;29/3/2000;0.8;0;1.4;95;3;63;37.6;rain snow
Predazzo;30/3/2000;3.2;-0.8;8.1;67;3;38;0.6;rain
Predazzo;31/3/2000;3.1;-2.2;8.1;61;4;32;2.6;rain snow
Predazzo;1/9/2000;13.6;8.9;19.3;78;4;33;0;
Predazzo;2/9/2000;12.4;8.9;16.3;90;3;36;9.1;rain
