LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/6/2000;"21,2";"13,6";"25,3";"13,9";"63";"10";"8";"18";"0";"1022";"1014";"0";""
Arco;2/6/2000;"21,3";"15,3";"26,7";"14";"63";"11";"5";"8";"0";"0";"0";"0";""
Arco;3/6/2000;"23,1";"15,3";"29";"17,2";"69";"9";"4";"8";"0";"0";"0";"0";""
Arco;4/6/2000;"23,7";"16,4";"29,6";"18,6";"73";"9";"4";"11";"0";"0";"0";"0";""
Arco;5/6/2000;"24,7";"17,6";"30,3";"19,2";"72";"9";"5";"9";"0";"0";"0";"0";""
Arco;6/6/2000;"23,7";"19,8";"28";"19,8";"79";"8";"5";"13";"0";"0";"0";"0";"pioggia "
Arco;7/6/2000;"22,6";"18,5";"27";"18,3";"77";"11";"9";"17";"0";"0";"0";"0,8";""
Arco;8/6/2000;"22,9";"19";"27,4";"12,7";"53";"11";"13";"26";"0";"0";"0";"0";""
Arco;9/6/2000;"23,6";"16";"29,3";"17,7";"70";"10";"5";"9";"0";"0";"0";"0";""
Arco;10/6/2000;"24,4";"17,2";"30,4";"17,6";"66";"10";"10";"24";"0";"0";"0";"0";""
Arco;11/6/2000;"20,2";"18";"23,3";"18,7";"91";"9";"9";"24";"34";"0";"0";"37,1";"pioggia temporale "
Arco;12/6/2000;"23,2";"17";"29";"18,8";"76";"10";"10";"24";"0";"0";"0";"7,1";"pioggia temporale "
Arco;13/6/2000;"23";"18";"29,3";"20,1";"84";"9";"5";"11";"0";"0";"0";"2";"pioggia temporale "
Arco;14/6/2000;"23,2";"17,7";"28,2";"19,1";"78";"7";"5";"15";"0";"0";"0";"0";""
Arco;15/6/2000;"22,8";"17,4";"29";"18,9";"79";"9";"5";"15";"0";"0";"0";"0";"pioggia temporale "
Arco;16/6/2000;"23";"15,9";"28,4";"17,4";"71";"11";"5";"17";"0";"0";"0";"0";""
Arco;17/6/2000;"21,7";"17,9";"26,1";"15,1";"66";"11";"11";"21";"0";"0";"0";"0";""
Arco;18/6/2000;"21,7";"17";"27";"13,6";"60";"11";"7";"17";"0";"0";"0";"0";""
Arco;19/6/2000;"22,6";"15";"28,4";"15,8";"65";"11";"4";"8";"0";"0";"0";"0";""
Arco;20/6/2000;"24,5";"16,8";"31,1";"17,8";"66";"11";"7";"15";"31";"0";"0";"0";""
Arco;21/6/2000;"24,8";"17,8";"31,4";"16,1";"58";"11";"7";"18";"0";"0";"0";"0";""
Arco;22/6/2000;"24,6";"17";"30,1";"16,7";"61";"10";"8";"15";"0";"0";"0";"0";""
Arco;23/6/2000;"23,6";"16,9";"29,1";"18";"71";"11";"6";"17";"0";"0";"0";"0";"pioggia temporale "
Arco;24/6/2000;"22,2";"16";"27";"16,9";"72";"11";"4";"9";"0";"0";"0";"1";"pioggia temporale "
Arco;25/6/2000;"20,4";"17";"24,4";"15,4";"73";"11";"9";"22";"0";"0";"0";"0";""
Arco;26/6/2000;"21,6";"16";"26,4";"14,1";"62";"12";"10";"18";"0";"0";"0";"0";""
Arco;27/6/2000;"22,9";"16";"27,7";"16,2";"66";"11";"7";"17";"0";"0";"0";"0";""
Arco;28/6/2000;"21,3";"16,8";"27,3";"18";"81";"10";"5";"22";"0";"0";"0";"0,8";"pioggia temporale "
Arco;29/6/2000;"21,6";"15,9";"26,2";"17,4";"77";"12";"4";"11";"0";"0";"0";"15,8";"pioggia temporale "
Arco;30/6/2000;"22,4";"16";"28";"16,1";"68";"11";"7";"21";"0";"0";"0";"0";""
