LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/8/2002;"25,1";"22";"28,3";"22,7";"87";"9";"5";"15";"0";"0";"0";"0,8";"pioggia "
Arco;2/8/2002;"23,5";"18";"26,4";"18,6";"74";"10";"6";"13";"0";"0";"0";"0";""
Arco;3/8/2002;"24,3";"20";"27,5";"20,8";"81";"11";"8";"13";"0";"0";"0";"0";""
Arco;4/8/2002;"24,7";"21,7";"28,1";"21,4";"82";"11";"7";"18";"54";"0";"0";"0";"pioggia temporale "
Arco;5/8/2002;"24,2";"20";"27,8";"20,7";"81";"9";"5";"37";"76";"0";"0";"0,5";"pioggia temporale nebbia "
Arco;6/8/2002;"21,4";"19";"25,1";"20,3";"93";"10";"6";"15";"0";"0";"0";"35,1";"pioggia temporale "
Arco;7/8/2002;"24,3";"19,8";"28";"17,6";"66";"12";"10";"24";"0";"0";"0";"0";""
Arco;8/8/2002;"23,8";"19";"27";"18,4";"72";"12";"7";"18";"0";"0";"0";"0";"pioggia temporale "
Arco;9/8/2002;"21,1";"19,9";"23";"20,1";"94";"11";"7";"21";"0";"0";"0";"5,1";"pioggia temporale "
Arco;10/8/2002;"20,2";"19,7";"22";"20,1";"99";"10";"7";"21";"0";"0";"0";"14";"pioggia "
Arco;11/8/2002;"19,6";"18,8";"21,4";"18,7";"95";"9";"14";"24";"0";"0";"0";"26,9";"pioggia "
Arco;12/8/2002;"22,1";"18";"27,3";"17,9";"77";"10";"12";"26";"0";"0";"0";"0";"pioggia "
Arco;13/8/2002;"22,6";"15,8";"28";"16,2";"67";"9";"7";"17";"0";"0";"0";"0";""
Arco;14/8/2002;"23,7";"19,7";"27";"17,9";"70";"12";"5";"11";"24";"0";"0";"0";""
Arco;15/8/2002;"24,8";"19,9";"28,1";"18,7";"69";"11";"5";"8";"0";"0";"0";"0";""
Arco;16/8/2002;"24,9";"20,9";"29";"19,9";"74";"11";"4";"9";"0";"0";"0";"0";""
Arco;17/8/2002;"24,7";"20,6";"28";"19,9";"75";"11";"4";"9";"0";"0";"0";"0";""
Arco;18/8/2002;"24,2";"21,4";"28";"19,8";"76";"10";"5";"11";"0";"0";"0";"15";"pioggia temporale "
Arco;19/8/2002;"24,7";"20,8";"28,4";"19,7";"74";"11";"4";"9";"0";"0";"0";"0";""
Arco;20/8/2002;"25,8";"20,8";"30,2";"20,6";"73";"11";"5";"9";"0";"0";"0";"0";"pioggia temporale "
Arco;21/8/2002;"23,8";"20";"27";"21,1";"85";"9";"8";"21";"65";"0";"0";"41,9";"pioggia temporale "
Arco;22/8/2002;"22,2";"16,6";"26,4";"17,6";"75";"11";"5";"11";"0";"0";"0";"0";""
Arco;23/8/2002;"22,5";"19";"26,2";"19,3";"82";"11";"5";"11";"0";"0";"0";"0";""
Arco;24/8/2002;"23,6";"19,8";"28";"19,8";"79";"7";"4";"11";"0";"0";"0";"0";""
Arco;25/8/2002;"24,2";"20";"28";"20,7";"81";"11";"5";"11";"28";"0";"0";"0";"temporale "
Arco;26/8/2002;"23,1";"20,9";"27,4";"20,6";"86";"9";"7";"18";"0";"0";"0";"5,1";"pioggia temporale "
Arco;27/8/2002;"22,6";"20";"25,4";"18,2";"76";"10";"3";"9";"0";"0";"0";"0,5";""
Arco;28/8/2002;"22,2";"19,8";"27";"19,8";"86";"10";"10";"29";"48";"0";"0";"0,5";"pioggia temporale "
Arco;29/8/2002;"22,5";"19,8";"27";"19,9";"85";"9";"5";"15";"31";"0";"0";"9,9";"pioggia "
Arco;30/8/2002;"22,7";"17,1";"26,4";"16,9";"70";"10";"6";"18";"0";"0";"0";"0";""
Arco;31/8/2002;"22,9";"19";"26,8";"19,1";"79";"8";"4";"8";"0";"0";"0";"0";""
