LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/1/2004;"6,4";"4";"9,4";"0,7";"67";"12";"4";"13";"0";"0";"0";"0";"pioggia "
Arco;2/1/2004;"5,4";"2";"7,4";"-1,9";"59";"11";"14";"26";"0";"0";"0";"0,8";"pioggia "
Arco;3/1/2004;"3,1";"-0,8";"7";"-3,9";"60";"11";"3";"9";"0";"0";"0";"0";""
Arco;4/1/2004;"1,3";"-3";"9";"-4,8";"64";"11";"4";"11";"0";"0";"0";"0";""
Arco;5/1/2004;"-2,1";"-5";"-1";"-2,4";"98";"3";"4";"9";"0";"0";"0";"0";"nebbia "
Arco;6/1/2004;"0,3";"-4";"4";"-1,6";"87";"2";"3";"5";"0";"0";"0";"0";"nebbia "
Arco;7/1/2004;"1,3";"-0,2";"3,2";"0,3";"93";"1";"5";"11";"0";"0";"0";"0";"nebbia "
Arco;8/1/2004;"3,6";"0,4";"6";"-0,7";"73";"3";"2";"5";"0";"0";"0";"0";"pioggia "
Arco;9/1/2004;"3,9";"2,6";"6,3";"2,8";"93";"2";"5";"11";"0";"0";"0";"3,1";"pioggia "
Arco;10/1/2004;"4,1";"-2";"10,7";"1,3";"82";"3";"7";"26";"35";"0";"0";"0";"nebbia "
Arco;11/1/2004;"0,7";"-3";"6,2";"-0,8";"90";"6";"3";"8";"0";"0";"0";"0";"nebbia "
Arco;12/1/2004;"3,8";"0,8";"8,7";"1,2";"83";"4";"4";"15";"0";"0";"0";"0";"nebbia "
Arco;13/1/2004;"4,4";"1";"8";"0,2";"74";"6";"6";"18";"0";"0";"0";"0";""
Arco;14/1/2004;"2,2";"-1";"5,4";"2";"99";"2";"5";"11";"0";"0";"0";"0";"nebbia "
Arco;15/1/2004;"7,3";"1,2";"14";"-7,7";"33";"8";"16";"35";"63";"0";"0";"0";"nebbia "
Arco;16/1/2004;"3,9";"-2,1";"8,2";"-9,6";"37";"11";"5";"13";"0";"0";"0";"0";"pioggia "
Arco;17/1/2004;"4,4";"2";"6,6";"1,3";"80";"7";"7";"22";"0";"0";"0";"3,1";"pioggia "
Arco;18/1/2004;"5,9";"2";"7";"2,4";"78";"11";"23";"54";"57";"0";"0";"7,1";"pioggia "
Arco;19/1/2004;"5,3";"2";"10";"2,6";"83";"7";"7";"15";"0";"0";"0";"7,1";"pioggia "
Arco;20/1/2004;"1,9";"-0,2";"4";"1,4";"96";"3";"6";"11";"0";"0";"0";"0";"nebbia "
Arco;21/1/2004;"3,6";"-1";"8,2";"-1,8";"68";"9";"8";"22";"0";"0";"0";"0";""
Arco;22/1/2004;"3,4";"2";"6";"-5,6";"52";"12";"6";"9";"0";"0";"0";"0";""
Arco;23/1/2004;"1,8";"-1,4";"5";"-3,7";"67";"11";"8";"17";"0";"0";"0";"0";""
Arco;24/1/2004;"0,9";"-0,4";"3,1";"-0,8";"88";"6";"3";"9";"0";"0";"0";"0";""
Arco;25/1/2004;"1,4";"-1,1";"5,2";"-1";"84";"3";"3";"9";"0";"0";"0";"0";"nebbia "
Arco;26/1/2004;"0,8";"-1";"3,2";"-0,6";"90";"2";"3";"9";"0";"0";"0";"0";"neve nebbia "
Arco;27/1/2004;"2,2";"0,6";"5,1";"0,7";"90";"2";"7";"18";"0";"0";"0";"0";"pioggia neve nebbia "
Arco;28/1/2004;"2,8";"-1";"7,2";"-0,6";"78";"4";"4";"11";"0";"0";"0";"0,5";"nebbia "
Arco;29/1/2004;"0,8";"-4";"6";"-4,1";"70";"6";"7";"18";"0";"0";"0";"0";"nebbia "
Arco;30/1/2004;"2,5";"-2";"7,8";"-16,8";"22";"11";"11";"21";"0";"0";"0";"0";""
Arco;31/1/2004;"1,3";"-2";"3,4";"-6,6";"56";"10";"5";"9";"0";"0";"0";"0";"pioggia "
