LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/7/2006;"27,7";"20,8";"33,2";"15,9";"49";"11";"11";"22";"0";"0";"0";"0";""
Arco;2/7/2006;"26,9";"22,8";"31,4";"13,7";"44";"11";"13";"18";"0";"0";"0";"0";""
Arco;3/7/2006;"27";"21,6";"32";"16,4";"52";"11";"10";"18";"0";"0";"0";"0";"pioggia "
Arco;4/7/2006;"25,8";"19,6";"31,4";"16,6";"57";"11";"10";"21";"0";"0";"0";"0";""
Arco;5/7/2006;"25,8";"19";"31,2";"15,2";"52";"10";"7";"13";"0";"0";"0";"0";"temporale "
Arco;6/7/2006;"25,6";"19,4";"31,2";"16,9";"59";"10";"14";"28";"50";"0";"0";"0";"pioggia temporale "
Arco;7/7/2006;"21,4";"17,8";"25,2";"19,1";"87";"9";"7";"17";"0";"0";"0";"9,1";"pioggia temporale nebbia "
Arco;8/7/2006;"25";"17";"31";"16,4";"59";"11";"6";"17";"0";"0";"0";"0";""
Arco;9/7/2006;"26,9";"19,8";"33";"16,8";"54";"11";"5";"11";"0";"0";"0";"0";""
Arco;10/7/2006;"28,2";"20,2";"34,4";"16,8";"50";"11";"6";"15";"0";"0";"0";"0";""
Arco;11/7/2006;"29,1";"22";"34,4";"17,1";"48";"10";"5";"13";"0";"0";"0";"0";"pioggia "
Arco;12/7/2006;"28,1";"22";"34,8";"19,3";"59";"11";"7";"26";"48";"0";"0";"0";"pioggia "
Arco;13/7/2006;"27,9";"20,8";"34,4";"18,8";"58";"11";"6";"13";"0";"0";"0";"0";""
Arco;14/7/2006;"29,1";"24,2";"34,4";"18,9";"54";"11";"7";"13";"0";"0";"0";"0";""
Arco;15/7/2006;"29,1";"23";"34,2";"19,1";"55";"11";"10";"22";"0";"0";"0";"0";""
Arco;16/7/2006;"26,9";"22";"30,6";"15,4";"49";"11";"12";"22";"0";"0";"0";"0";""
Arco;17/7/2006;"25,1";"18,4";"30,6";"14,8";"53";"10";"7";"11";"0";"0";"0";"0";""
Arco;18/7/2006;"26,1";"18,6";"31,8";"14,3";"48";"10";"6";"11";"0";"0";"0";"0";""
Arco;19/7/2006;"27";"17,4";"34,4";"15,8";"50";"10";"7";"13";"0";"0";"0";"0";""
Arco;20/7/2006;"28,5";"18,2";"36,8";"13,2";"39";"10";"8";"13";"0";"0";"0";"0";""
Arco;21/7/2006;"29,2";"18,6";"38";"12,1";"35";"10";"5";"13";"0";"0";"0";"0";""
Arco;22/7/2006;"30,3";"21";"37,4";"15,6";"41";"10";"5";"9";"0";"0";"0";"0";""
Arco;23/7/2006;"30,4";"23,6";"37,4";"17,7";"47";"11";"5";"13";"0";"0";"0";"0";"pioggia temporale "
Arco;24/7/2006;"29,8";"23,8";"35,4";"21,8";"62";"11";"7";"18";"0";"0";"0";"1";"pioggia temporale "
Arco;25/7/2006;"30,4";"24,2";"36";"21,2";"58";"11";"6";"15";"0";"0";"0";"0";""
Arco;26/7/2006;"29,8";"24,6";"35,4";"22,1";"63";"11";"7";"13";"0";"0";"0";"0";""
Arco;27/7/2006;"30,1";"23,6";"35,8";"22,9";"65";"10";"4";"11";"0";"0";"0";"0";""
Arco;28/7/2006;"28,8";"23";"35,8";"20,2";"60";"11";"8";"21";"42";"0";"0";"0";"pioggia temporale "
Arco;29/7/2006;"26,9";"21,4";"33,8";"20,2";"67";"11";"7";"15";"0";"0";"0";"0";"temporale "
Arco;30/7/2006;"28,6";"20,6";"35";"19,6";"58";"11";"7";"11";"0";"0";"0";"0";""
Arco;31/7/2006;"30";"23,5";"35,8";"19,4";"53";"11";"7";"15";"0";"0";"0";"0";""
