LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/9/2007;"21,7";"15";"27,8";"13";"58";"11";"0";"0";"0";"1016";"0";"0";""
Arco;2/9/2007;"22";"17";"26,6";"12,2";"54";"11";"0";"0";"0";"1017";"0";"1";"pioggia "
Arco;3/9/2007;"23";"17,2";"28,8";"13,9";"57";"11";"0";"0";"0";"1016";"0";"0";"temporale "
Arco;4/9/2007;"18,9";"15";"21";"14,8";"77";"11";"0";"0";"0";"1008";"0";"6,1";"pioggia temporale "
Arco;5/9/2007;"17,1";"10,2";"24,8";"-1,1";"29";"11";"0";"0";"0";"1016";"0";"2";""
Arco;6/9/2007;"16,9";"10,8";"23,4";"1,9";"36";"11";"0";"0";"0";"1018";"0";"0";""
Arco;7/9/2007;"19,3";"10";"28,8";"10,6";"57";"10";"0";"0";"0";"1018";"0";"0";""
Arco;8/9/2007;"20,1";"12";"28";"12,4";"61";"10";"0";"0";"0";"1017";"0";"0";""
Arco;9/9/2007;"21,1";"12,6";"28,4";"13,6";"62";"10";"0";"0";"0";"1016";"0";"0";""
Arco;10/9/2007;"21,5";"15";"27,4";"15,7";"70";"11";"0";"0";"0";"1015";"0";"0";""
Arco;11/9/2007;"21,1";"15";"27,8";"14,2";"65";"10";"0";"0";"0";"1009";"0";"0";""
Arco;12/9/2007;"19,7";"12,7";"26,6";"7,6";"45";"11";"0";"0";"0";"1018";"0";"0";""
Arco;13/9/2007;"19,6";"12,6";"27,2";"9,4";"52";"10";"0";"0";"0";"1023";"0";"0";""
Arco;14/9/2007;"19,9";"12,2";"27,8";"11,8";"60";"11";"0";"0";"0";"1022";"0";"0";""
Arco;15/9/2007;"21,1";"13,8";"28,8";"15,2";"69";"9";"0";"0";"0";"1020";"0";"0";""
Arco;16/9/2007;"22,8";"16";"29,8";"16,7";"68";"8";"0";"0";"0";"1021";"0";"0";"pioggia "
Arco;17/9/2007;"21,6";"17,8";"27";"19,6";"88";"10";"0";"0";"0";"1019";"0";"14,5";"pioggia temporale "
Arco;18/9/2007;"22";"16";"28,6";"16,4";"71";"10";"0";"0";"0";"1014";"0";"2";"pioggia temporale "
Arco;19/9/2007;"17,1";"10,6";"22,8";"8,2";"56";"11";"0";"0";"0";"1015";"0";"0";""
Arco;20/9/2007;"16,5";"11";"22,2";"6,5";"52";"11";"0";"0";"0";"1022";"0";"0";""
Arco;21/9/2007;"16,3";"9,8";"23,8";"10,7";"69";"10";"0";"0";"0";"1025";"0";"0";""
Arco;22/9/2007;"18";"9,6";"25,8";"11,9";"68";"9";"0";"0";"0";"1025";"0";"0";""
Arco;23/9/2007;"19,6";"12";"28";"12,7";"64";"9";"0";"0";"0";"1023";"0";"0";""
Arco;24/9/2007;"18,4";"10,8";"26,4";"9,6";"56";"10";"0";"0";"0";"1022";"0";"0";""
Arco;25/9/2007;"18,3";"11,4";"24";"12,6";"69";"9";"0";"0";"0";"1017";"0";"0";""
Arco;26/9/2007;"16,4";"12";"20";"14,2";"87";"11";"0";"0";"0";"1010";"0";"3,1";"pioggia temporale "
Arco;27/9/2007;"13,6";"10";"18,6";"11,8";"89";"11";"0";"0";"0";"1003";"0";"27,2";"pioggia temporale "
Arco;28/9/2007;"12,9";"9";"19,2";"9,4";"79";"11";"0";"0";"0";"1002";"0";"32,8";"pioggia temporale "
Arco;29/9/2007;"15,3";"8,6";"21,6";"11,3";"77";"12";"0";"0";"0";"1015";"0";"0";"pioggia "
Arco;30/9/2007;"16,4";"12";"21,6";"13,6";"84";"11";"0";"0";"0";"1023";"0";"0,5";"pioggia "
