LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/11/2010;"15";"15";"16";"15";"99";"6";"14";"24";"29";"1009";"0";"0";"pioggia "
Arco;2/11/2010;"15";"12";"16";"14";"98";"7";"8";"20";"0";"1011";"0";"0";"pioggia "
Arco;3/11/2010;"14";"11";"19";"13";"91";"10";"4";"7";"0";"1018";"0";"0";"pioggia "
Arco;4/11/2010;"13";"10";"16";"13";"99";"1";"3";"7";"0";"1028";"0";"0";"nebbia "
Arco;5/11/2010;"13";"10";"15";"12";"98";"2";"4";"12";"0";"1028";"0";"0";"nebbia "
Arco;6/11/2010;"12";"11";"14";"12";"98";"1";"5";"8";"0";"1020";"0";"0";"nebbia "
Arco;7/11/2010;"13";"12";"14";"12";"99";"6";"7";"14";"0";"1005";"0";"0";"pioggia "
Arco;8/11/2010;"10";"5";"15";"9";"88";"8";"6";"14";"0";"988";"0";"0";"pioggia "
Arco;9/11/2010;"9";"7";"11";"9";"99";"8";"5";"13";"0";"985";"0";"0";"pioggia "
Arco;10/11/2010;"10";"6";"13";"9";"99";"4";"3";"7";"0";"995";"0";"0";"pioggia nebbia "
Arco;11/11/2010;"8";"5";"13";"8";"98";"2";"3";"5";"0";"1010";"0";"0";"nebbia "
Arco;12/11/2010;"8";"6";"11";"8";"99";"2";"5";"8";"0";"1010";"0";"0";"nebbia "
Arco;13/11/2010;"11";"9";"13";"10";"98";"3";"2";"5";"0";"0";"0";"0";""
Arco;14/11/2010;"11";"9";"15";"10";"96";"1";"3";"7";"0";"0";"0";"0";"nebbia "
Arco;15/11/2010;"12";"8";"15";"11";"97";"3";"7";"17";"0";"0";"0";"0";"pioggia nebbia "
Arco;16/11/2010;"14";"13";"16";"14";"99";"7";"11";"17";"0";"0";"0";"0";"pioggia "
Arco;17/11/2010;"12";"6";"16";"9";"87";"10";"4";"8";"0";"1007";"0";"0";"pioggia nebbia "
Arco;18/11/2010;"11";"8";"13";"10";"96";"6";"5";"12";"0";"1009";"0";"0";"pioggia nebbia "
Arco;19/11/2010;"10";"6";"13";"8";"93";"7";"5";"9";"0";"1015";"0";"0";"pioggia "
Arco;20/11/2010;"8";"5";"12";"7";"91";"7";"6";"14";"0";"1016";"0";"0";"pioggia "
Arco;21/11/2010;"10";"8";"11";"9";"95";"9";"14";"21";"0";"1004";"0";"0";"pioggia "
Arco;22/11/2010;"9";"7";"11";"8";"98";"6";"5";"14";"0";"997";"0";"0";"pioggia nebbia "
Arco;23/11/2010;"7";"5";"10";"7";"98";"1";"3";"7";"0";"998";"0";"0";"nebbia "
Arco;24/11/2010;"6";"3";"9";"5";"96";"2";"3";"6";"0";"1004";"0";"0";"nebbia "
Arco;25/11/2010;"3";"0";"8";"4";"97";"1";"4";"9";"0";"1006";"0";"0";"nebbia "
Arco;26/11/2010;"3";"2";"5";"3";"98";"7";"10";"20";"0";"998";"0";"0";"pioggia "
Arco;27/11/2010;"3";"-3";"6";"2";"84";"6";"5";"10";"0";"1006";"0";"0";"nebbia "
Arco;28/11/2010;"4";"3";"5";"4";"98";"8";"6";"14";"0";"1002";"0";"0";"pioggia "
Arco;29/11/2010;"4";"1";"8";"3";"92";"6";"8";"18";"0";"1001";"0";"0";"pioggia nebbia "
Arco;30/11/2010;"4";"0";"9";"1";"65";"11";"9";"22";"36";"1007";"0";"0";"pioggia "
