LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/4/2013;"8";"4";"11";"4";"73";"10";"13";"24";"0";"1005";"0";"0";"pioggia "
Arco;2/4/2013;"10";"8";"13";"5";"69";"8";"10";"22";"0";"1002";"0";"0";"pioggia "
Arco;3/4/2013;"10";"8";"14";"5";"69";"9";"7";"11";"0";"1005";"0";"0";""
Arco;4/4/2013;"9";"6";"12";"6";"77";"8";"18";"32";"0";"1007";"0";"0";"pioggia "
Arco;5/4/2013;"10";"8";"10";"8";"87";"8";"13";"30";"0";"1001";"0";"0";"pioggia "
Arco;6/4/2013;"10";"4";"14";"6";"78";"6";"8";"15";"0";"1009";"0";"0";"nebbia "
Arco;7/4/2013;"11";"9";"13";"4";"65";"10";"12";"24";"0";"1012";"0";"0";""
Arco;8/4/2013;"9";"8";"10";"3";"63";"9";"17";"28";"0";"1011";"0";"0";"pioggia "
Arco;9/4/2013;"9";"7";"12";"6";"83";"4";"5";"11";"0";"1009";"0";"0";"pioggia "
Arco;10/4/2013;"11";"6";"16";"6";"76";"3";"6";"13";"0";"1011";"0";"0";"nebbia "
Arco;11/4/2013;"12";"9";"17";"8";"76";"4";"8";"15";"0";"1014";"0";"0";"pioggia "
Arco;12/4/2013;"14";"11";"19";"10";"77";"7";"9";"20";"0";"1010";"0";"0";"pioggia "
Arco;13/4/2013;"14";"8";"21";"8";"69";"7";"7";"15";"0";"1018";"0";"0";"nebbia "
Arco;14/4/2013;"16";"9";"22";"9";"62";"10";"6";"13";"0";"1026";"0";"0";""
Arco;15/4/2013;"18";"11";"24";"11";"65";"11";"8";"13";"0";"1023";"0";"0";""
Arco;16/4/2013;"18";"12";"23";"9";"60";"6";"8";"15";"0";"1022";"0";"0";""
Arco;17/4/2013;"19";"12";"25";"10";"58";"9";"6";"11";"0";"1023";"0";"0";""
Arco;18/4/2013;"20";"12";"27";"12";"61";"7";"7";"11";"0";"1019";"0";"0";""
Arco;19/4/2013;"20";"14";"26";"12";"62";"7";"17";"33";"43";"1014";"0";"0";"pioggia temporale "
Arco;20/4/2013;"16";"13";"17";"10";"69";"8";"32";"56";"82";"1014";"0";"0";"pioggia temporale "
Arco;21/4/2013;"14";"13";"17";"11";"83";"7";"10";"28";"0";"1015";"0";"0";"pioggia temporale "
Arco;22/4/2013;"12";"10";"14";"11";"90";"8";"8";"24";"0";"1014";"0";"0";"pioggia "
Arco;23/4/2013;"13";"8";"18";"10";"80";"7";"7";"17";"0";"1022";"0";"0";"pioggia nebbia "
Arco;24/4/2013;"15";"8";"21";"8";"65";"8";"7";"13";"0";"1028";"0";"0";""
Arco;25/4/2013;"17";"9";"23";"9";"62";"15";"6";"13";"0";"1026";"0";"0";""
Arco;26/4/2013;"17";"13";"21";"12";"70";"8";"7";"11";"0";"1018";"0";"0";"pioggia "
Arco;27/4/2013;"15";"14";"16";"13";"88";"5";"13";"22";"0";"1008";"0";"0";"pioggia "
Arco;28/4/2013;"17";"13";"22";"13";"76";"9";"10";"22";"0";"1012";"0";"0";"pioggia temporale "
Arco;29/4/2013;"18";"15";"20";"14";"79";"8";"12";"30";"0";"1018";"0";"0";"pioggia "
Arco;30/4/2013;"18";"15";"22";"14";"81";"8";"9";"17";"0";"1019";"0";"0";"pioggia "
