LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/12/2019;"7";"6";"9";"6";"92";"12";"4";"13";"0";"1019";"0";"0";"pioggia "
Arco;2/12/2019;"8";"6";"10";"7";"94";"8";"9";"21";"0";"1016";"0";"0";"pioggia "
Arco;3/12/2019;"7";"3";"10";"3";"66";"20";"9";"15";"0";"1024";"0";"0";""
Arco;4/12/2019;"4";"0";"8";"1";"73";"20";"7";"11";"0";"1025";"0";"0";""
Arco;5/12/2019;"3";"-2";"10";"1";"79";"21";"5";"9";"0";"1026";"0";"0";""
Arco;6/12/2019;"3";"-2";"7";"3";"88";"16";"6";"9";"0";"1024";"0";"0";""
Arco;7/12/2019;"5";"1";"9";"3";"86";"7";"6";"13";"0";"1019";"0";"0";""
Arco;8/12/2019;"6";"1";"10";"4";"82";"13";"6";"11";"0";"1019";"0";"0";""
Arco;9/12/2019;"6";"2";"8";"5";"93";"4";"5";"9";"0";"1009";"0";"0";"pioggia nebbia "
Arco;10/12/2019;"4";"-2";"15";"3";"85";"9";"8";"30";"0";"1016";"0";"0";"nebbia "
Arco;11/12/2019;"3";"-1";"9";"0";"61";"20";"8";"15";"0";"1016";"0";"0";""
Arco;12/12/2019;"1";"0";"3";"1";"92";"9";"8";"17";"0";"1005";"0";"0";"pioggia neve "
Arco;13/12/2019;"1";"-2";"4";"2";"97";"8";"14";"31";"0";"991";"0";"0";"pioggia neve nebbia "
Arco;14/12/2019;"2";"-2";"8";"3";"88";"19";"6";"22";"0";"1001";"0";"0";""
Arco;15/12/2019;"4";"-1";"8";"3";"84";"21";"6";"13";"0";"1015";"0";"0";"nebbia "
Arco;16/12/2019;"7";"3";"10";"5";"87";"14";"4";"9";"0";"1021";"0";"0";""
Arco;17/12/2019;"10";"6";"14";"8";"87";"12";"9";"21";"0";"1019";"0";"0";""
Arco;18/12/2019;"10";"7";"13";"10";"98";"4";"5";"11";"0";"1022";"0";"0";"nebbia "
Arco;19/12/2019;"11";"8";"14";"10";"93";"10";"7";"21";"0";"1020";"0";"0";"pioggia "
Arco;20/12/2019;"10";"8";"13";"9";"92";"11";"13";"24";"0";"1008";"0";"0";"pioggia nebbia "
Arco;21/12/2019;"10";"4";"13";"9";"90";"17";"12";"22";"0";"994";"0";"0";"pioggia "
Arco;22/12/2019;"8";"4";"12";"6";"84";"19";"17";"33";"0";"989";"0";"0";"pioggia "
Arco;23/12/2019;"9";"6";"14";"3";"66";"19";"16";"33";"0";"1003";"0";"0";""
Arco;24/12/2019;"7";"0";"12";"2";"68";"21";"11";"24";"0";"1014";"0";"0";""
Arco;25/12/2019;"4";"-1";"12";"2";"84";"21";"6";"11";"0";"1015";"0";"0";""
Arco;26/12/2019;"4";"-1";"11";"2";"80";"19";"6";"13";"0";"1022";"0";"0";""
Arco;27/12/2019;"4";"-1";"11";"2";"75";"21";"6";"11";"0";"1023";"0";"0";""
Arco;28/12/2019;"5";"0";"10";"2";"78";"21";"9";"13";"0";"1030";"0";"0";""
Arco;29/12/2019;"1";"-2";"4";"2";"92";"9";"7";"17";"0";"1034";"0";"0";"nebbia "
Arco;30/12/2019;"1";"-2";"6";"2";"93";"3";"6";"11";"0";"1036";"0";"0";"nebbia "
Arco;31/12/2019;"2";"-3";"9";"2";"91";"8";"4";"8";"0";"1030";"0";"0";""
