LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/5/2019;"17";"9";"22";"7";"54";"19";"8";"13";"0";"1012";"0";"0";""
Arco;2/5/2019;"16";"8";"22";"8";"63";"21";"9";"22";"0";"1011";"0";"0";""
Arco;3/5/2019;"15";"13";"18";"10";"74";"19";"11";"28";"0";"1008";"0";"0";"pioggia temporale "
Arco;4/5/2019;"14";"11";"18";"10";"79";"17";"7";"17";"0";"1004";"0";"0";"pioggia temporale "
Arco;5/5/2019;"9";"7";"12";"5";"76";"15";"19";"39";"0";"1001";"0";"0";"pioggia temporale "
Arco;6/5/2019;"11";"7";"17";"5";"67";"19";"11";"21";"0";"1012";"0";"0";"pioggia "
Arco;7/5/2019;"13";"5";"19";"5";"56";"22";"8";"17";"0";"1017";"0";"0";""
Arco;8/5/2019;"12";"9";"15";"8";"80";"16";"7";"13";"0";"1014";"0";"0";"pioggia "
Arco;9/5/2019;"14";"10";"19";"10";"78";"16";"10";"21";"0";"1006";"0";"0";"pioggia "
Arco;10/5/2019;"16";"9";"22";"11";"72";"19";"7";"13";"0";"1010";"0";"0";""
Arco;11/5/2019;"15";"10";"19";"12";"79";"17";"14";"100";"0";"1012";"0";"0";"pioggia temporale "
Arco;12/5/2019;"12";"10";"16";"8";"77";"19";"12";"35";"0";"1014";"0";"0";"pioggia "
Arco;13/5/2019;"16";"13";"19";"6";"54";"19";"14";"30";"0";"1018";"0";"0";"pioggia "
Arco;14/5/2019;"13";"7";"17";"7";"68";"19";"12";"24";"0";"1018";"0";"0";""
Arco;15/5/2019;"9";"4";"15";"6";"78";"19";"6";"18";"0";"1015";"0";"0";"pioggia "
Arco;16/5/2019;"14";"6";"19";"7";"69";"21";"6";"9";"0";"1012";"0";"0";""
Arco;17/5/2019;"16";"11";"20";"9";"62";"19";"11";"18";"0";"1009";"0";"0";""
Arco;18/5/2019;"14";"12";"17";"10";"76";"20";"13";"26";"0";"1007";"0";"0";"pioggia "
Arco;19/5/2019;"14";"12";"16";"12";"89";"19";"8";"15";"0";"1004";"0";"0";"pioggia "
Arco;20/5/2019;"14";"13";"17";"13";"90";"10";"11";"22";"0";"1005";"0";"0";"pioggia "
Arco;21/5/2019;"16";"13";"21";"13";"79";"13";"10";"21";"0";"1008";"0";"0";"pioggia "
Arco;22/5/2019;"18";"12";"23";"13";"77";"13";"6";"13";"0";"1013";"0";"0";"nebbia "
Arco;23/5/2019;"19";"13";"24";"13";"71";"18";"7";"13";"0";"1015";"0";"0";"pioggia temporale "
Arco;24/5/2019;"19";"14";"25";"15";"77";"18";"6";"15";"0";"1013";"0";"0";"pioggia "
Arco;25/5/2019;"18";"15";"23";"14";"79";"17";"10";"17";"0";"1013";"0";"0";"pioggia temporale "
Arco;26/5/2019;"19";"15";"23";"14";"76";"19";"10";"17";"0";"1014";"0";"0";"pioggia "
Arco;27/5/2019;"16";"14";"18";"14";"85";"15";"10";"17";"0";"1010";"0";"0";"pioggia "
Arco;28/5/2019;"17";"14";"22";"14";"81";"16";"12";"44";"0";"1004";"0";"0";"pioggia temporale "
Arco;29/5/2019;"15";"13";"18";"12";"82";"18";"7";"17";"0";"1011";"0";"0";"pioggia "
Arco;30/5/2019;"17";"13";"21";"12";"71";"21";"8";"18";"0";"1021";"0";"0";""
Arco;31/5/2019;"18";"11";"24";"10";"60";"20";"9";"17";"0";"1023";"0";"0";""
