LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/9/2001;"10,6";"6,8";"14,2";"6,7";"77";"0";"4";"0";"38";"0";"1009";"2,9";"pioggia "
Cavalese;2/9/2001;"12,8";"8,7";"16,9";"5,7";"62";"0";"3";"0";"31";"0";"1014";"0";""
Cavalese;3/9/2001;"13,2";"8,5";"17,2";"7,8";"71";"0";"4";"0";"33";"0";"1015";"0";""
Cavalese;4/9/2001;"10,9";"9,1";"12,8";"9,7";"92";"0";"3";"0";"48";"0";"1010";"21,1";"pioggia "
Cavalese;5/9/2001;"10,8";"7,2";"15,1";"4,5";"67";"0";"7";"0";"68";"0";"1007";"2,7";"pioggia "
Cavalese;6/9/2001;"12,2";"6,8";"18,1";"2,3";"52";"0";"4";"0";"43";"0";"1011";"0";""
Cavalese;7/9/2001;"12,5";"7,3";"17,4";"4,8";"60";"0";"2";"0";"21";"0";"1012";"0";""
Cavalese;8/9/2001;"13,1";"9,2";"17,1";"6,2";"63";"0";"2";"0";"25";"0";"1008";"0";""
Cavalese;9/9/2001;"11,2";"7";"16,3";"-0,3";"49";"0";"4";"0";"44";"0";"1003";"0";""
Cavalese;10/9/2001;"8,4";"3,4";"13";"-3";"45";"0";"5";"0";"36";"0";"1009";"0";""
Cavalese;11/9/2001;"8,8";"3,6";"13,3";"-0,9";"52";"0";"4";"0";"29";"0";"1012";"0";""
Cavalese;12/9/2001;"10,1";"3,7";"16,4";"1,1";"55";"0";"2";"0";"23";"0";"1015";"0";""
Cavalese;13/9/2001;"10,3";"4,4";"15,5";"4,4";"67";"0";"4";"0";"42";"0";"1014";"0";""
Cavalese;14/9/2001;"9,2";"6";"12,3";"6,9";"85";"0";"5";"0";"59";"0";"1006";"18,9";"pioggia "
Cavalese;15/9/2001;"9,7";"5,4";"14,1";"2,5";"63";"0";"4";"0";"48";"0";"1011";"2";"pioggia "
Cavalese;16/9/2001;"7,2";"2,9";"9,4";"4,2";"81";"0";"3";"0";"33";"0";"1009";"11,1";"pioggia "
Cavalese;17/9/2001;"6,3";"1,3";"11,6";"-0,3";"64";"0";"3";"0";"34";"0";"1007";"0";""
Cavalese;18/9/2001;"7,2";"3,6";"11,5";"0,4";"63";"0";"3";"0";"32";"0";"1012";"3,5";"pioggia "
Cavalese;19/9/2001;"7,2";"4,2";"10,8";"3,3";"77";"0";"3";"0";"39";"0";"1018";"4,2";"pioggia "
Cavalese;20/9/2001;"8,6";"3,7";"12,8";"4,4";"76";"0";"3";"0";"36";"0";"1019";"0";""
Cavalese;21/9/2001;"10,8";"5,9";"15,7";"5,6";"72";"0";"3";"0";"35";"0";"1015";"0";""
Cavalese;22/9/2001;"9,9";"7,7";"11,9";"6,8";"81";"0";"3";"0";"30";"0";"1014";"2,3";"pioggia "
Cavalese;23/9/2001;"9,2";"7,8";"10,2";"8,4";"94";"0";"2";"0";"28";"0";"1008";"17,5";"pioggia "
Cavalese;24/9/2001;"12,1";"9,9";"15,3";"9,3";"83";"0";"3";"0";"34";"0";"1008";"2,1";"pioggia "
Cavalese;25/9/2001;"10";"7,4";"11,5";"8,5";"90";"0";"2";"0";"30";"0";"1012";"15,2";"pioggia "
Cavalese;26/9/2001;"9,3";"5,6";"13,7";"2,5";"64";"0";"4";"0";"38";"0";"1017";"0";""
Cavalese;27/9/2001;"9,5";"3,7";"15,3";"3";"64";"0";"2";"0";"25";"0";"1020";"0";""
Cavalese;28/9/2001;"11,3";"5,5";"17,9";"6,1";"71";"0";"3";"0";"25";"0";"1019";"0";""
Cavalese;29/9/2001;"11";"6,8";"14,8";"7,1";"77";"0";"3";"0";"32";"0";"1018";"0";""
Cavalese;30/9/2001;"9,7";"7";"11,6";"8,5";"91";"0";"1";"0";"19";"0";"1017";"1,6";"pioggia "
