LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/12/2002;"0,6";"-1,9";"4";"-3,6";"73";"0";"3";"0";"29";"0";"1016";"0";""
Cavalese;2/12/2002;"-0,3";"-2";"1,6";"-3,2";"81";"0";"2";"0";"32";"0";"1005";"0";"neve "
Cavalese;3/12/2002;"0,5";"-1,4";"3,1";"-3,4";"75";"0";"4";"0";"36";"0";"1005";"7,8";"pioggia neve "
Cavalese;4/12/2002;"-0,4";"-3,3";"1,6";"-3,9";"76";"0";"5";"0";"37";"0";"1009";"1,4";"pioggia neve "
Cavalese;5/12/2002;"1,7";"-0,9";"3,8";"-1";"82";"0";"5";"0";"43";"0";"1008";"10";"pioggia "
Cavalese;6/12/2002;"2,6";"0,6";"4,6";"-0,2";"81";"0";"3";"0";"30";"0";"1013";"5,7";"pioggia "
Cavalese;7/12/2002;"2,1";"0,2";"4,6";"-1,3";"78";"0";"4";"0";"29";"0";"1015";"0";""
Cavalese;8/12/2002;"0,1";"-2,1";"2,5";"-2,2";"84";"0";"2";"0";"21";"0";"1018";"2,5";"pioggia neve "
Cavalese;9/12/2002;"-2,7";"-5,4";"-0,7";"-5,7";"79";"0";"3";"0";"23";"0";"1023";"0";"neve "
Cavalese;10/12/2002;"-6,6";"-10";"-2,4";"-10";"77";"0";"2";"0";"17";"0";"1026";"0";""
Cavalese;11/12/2002;"-7";"-12,5";"-1,8";"-10,6";"75";"0";"2";"0";"19";"0";"1026";"0";""
Cavalese;12/12/2002;"-2,9";"-6,4";"0,8";"-5,6";"81";"0";"2";"0";"16";"0";"1026";"1";"pioggia neve "
Cavalese;13/12/2002;"-0,4";"-3";"3,3";"-3,5";"80";"0";"2";"0";"26";"0";"1023";"0";"neve "
Cavalese;14/12/2002;"-2,4";"-6";"1,7";"-6";"77";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;15/12/2002;"-1,1";"-3,7";"2,1";"-2,9";"87";"0";"2";"0";"21";"0";"1020";"0";"neve "
Cavalese;16/12/2002;"-0,9";"-4,7";"2,8";"-3,7";"81";"0";"3";"0";"22";"0";"1020";"0";""
Cavalese;17/12/2002;"0,4";"-2,5";"3,7";"-2";"84";"0";"2";"0";"21";"0";"1017";"0,6";"pioggia neve "
Cavalese;18/12/2002;"-0,7";"-5,2";"2,9";"-4";"79";"0";"3";"0";"27";"0";"1020";"3,8";"pioggia neve "
Cavalese;19/12/2002;"-5,2";"-9,7";"-0,4";"-9,6";"71";"0";"3";"0";"24";"0";"1028";"0";""
Cavalese;20/12/2002;"-5";"-9,1";"0,8";"-9";"73";"0";"2";"0";"14";"0";"1026";"0";""
Cavalese;21/12/2002;"-2,4";"-7,4";"2,7";"-5,4";"80";"0";"1";"0";"11";"0";"1021";"0";""
Cavalese;22/12/2002;"-0,7";"-4,8";"3";"-2,3";"88";"0";"2";"0";"25";"0";"1020";"0";""
Cavalese;23/12/2002;"1,7";"-2";"6,8";"-0,4";"85";"0";"3";"0";"30";"0";"1015";"0";""
Cavalese;24/12/2002;"1,9";"-0,6";"4,4";"-0,6";"83";"0";"2";"0";"15";"0";"1017";"0";""
Cavalese;25/12/2002;"2,9";"1,1";"5";"1,1";"87";"0";"1";"0";"12";"0";"1018";"0";""
Cavalese;26/12/2002;"2,8";"1,4";"3,9";"1,3";"90";"0";"2";"0";"24";"0";"1018";"0";""
Cavalese;27/12/2002;"1,9";"0,2";"2,9";"0,9";"93";"0";"3";"0";"31";"0";"1014";"3,4";"pioggia "
Cavalese;28/12/2002;"2,3";"1,6";"3,2";"1,6";"95";"0";"3";"0";"51";"0";"1003";"18";"pioggia neve "
Cavalese;29/12/2002;"3";"0,9";"6,1";"-0,5";"77";"0";"3";"0";"34";"0";"1008";"0";""
Cavalese;30/12/2002;"2,6";"-1,3";"6,6";"-1";"77";"0";"3";"0";"25";"0";"1008";"0";""
Cavalese;31/12/2002;"3,5";"2,1";"5,8";"0,7";"82";"0";"3";"0";"34";"0";"1005";"5";"pioggia "
