LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/2/2006;"-0,6";"-5,8";"6,6";"-8,4";"56";"0";"3";"0";"21";"0";"1017";"0";""
Cavalese;2/2/2006;"-1,9";"-7,7";"5,4";"-9,4";"57";"0";"2";"0";"16";"0";"1014";"0";""
Cavalese;3/2/2006;"-3";"-8,7";"3,8";"-9,9";"60";"0";"2";"0";"13";"0";"1013";"0";""
Cavalese;4/2/2006;"-3,9";"-9,3";"2,3";"-11,3";"58";"0";"2";"0";"19";"0";"1015";"0";""
Cavalese;5/2/2006;"-5,3";"-9";"-1";"-12,2";"59";"0";"2";"0";"21";"0";"1022";"0";""
Cavalese;6/2/2006;"-5,2";"-8,6";"-0,7";"-11,5";"61";"0";"1";"0";"26";"0";"1023";"0";""
Cavalese;7/2/2006;"-3,8";"-9,5";"2,3";"-8,8";"68";"0";"2";"0";"19";"0";"1020";"0";""
Cavalese;8/2/2006;"-3,6";"-8,5";"0,9";"-7";"77";"0";"4";"0";"30";"0";"1009";"0";""
Cavalese;9/2/2006;"-2,7";"-6,4";"2,3";"-9,6";"60";"0";"4";"0";"27";"0";"1006";"0";""
Cavalese;10/2/2006;"-4,1";"-8,6";"1,2";"-13,1";"50";"0";"4";"0";"34";"0";"1012";"0";""
Cavalese;11/2/2006;"-5";"-9,6";"1,2";"-12,6";"56";"0";"4";"0";"33";"0";"1021";"0";""
Cavalese;12/2/2006;"-7,7";"-14,4";"-0,5";"-14,3";"60";"0";"2";"0";"18";"0";"1024";"0";""
Cavalese;13/2/2006;"-7,6";"-15,6";"0,5";"-14,3";"60";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;14/2/2006;"-6,1";"-14,2";"1,9";"-13,4";"58";"0";"2";"0";"13";"0";"1022";"0";""
Cavalese;15/2/2006;"-4,6";"-10";"-0,8";"-7,4";"81";"0";"2";"0";"33";"0";"1017";"1,6";"pioggia neve "
Cavalese;16/2/2006;"-0,6";"-3,7";"1,9";"-1,9";"91";"0";"3";"0";"44";"0";"1001";"1,1";"pioggia neve "
Cavalese;17/2/2006;"2,2";"0,2";"6,1";"-2,9";"70";"0";"3";"0";"35";"0";"1000";"0";"neve "
Cavalese;18/2/2006;"0,1";"-2,5";"1,9";"-2,4";"83";"0";"3";"0";"50";"0";"1008";"17,9";"pioggia neve "
Cavalese;19/2/2006;"0";"-3,6";"2,6";"-2,1";"86";"0";"3";"0";"39";"0";"1010";"11,1";"pioggia neve "
Cavalese;20/2/2006;"1,1";"-0";"2,1";"-0,3";"90";"0";"2";"0";"55";"0";"1007";"21,8";"pioggia neve "
Cavalese;21/2/2006;"1,4";"-0,2";"3,3";"-2,6";"75";"0";"2";"0";"19";"0";"1011";"1,2";"pioggia neve "
Cavalese;22/2/2006;"0,1";"-1,6";"2";"-3";"79";"0";"2";"0";"24";"0";"1016";"5,4";"pioggia neve "
Cavalese;23/2/2006;"-0,3";"-2,3";"2,8";"-3,7";"78";"0";"1";"0";"19";"0";"1014";"0";"neve "
Cavalese;24/2/2006;"-0,6";"-2,6";"1,2";"-2,6";"85";"0";"3";"0";"36";"0";"1008";"14,7";"pioggia neve "
Cavalese;25/2/2006;"0,8";"-0,2";"2,5";"-1,2";"87";"0";"2";"0";"24";"0";"1008";"5,1";"pioggia neve "
Cavalese;26/2/2006;"0,4";"-1";"2,5";"-1,8";"85";"0";"2";"0";"20";"0";"1008";"2,2";"pioggia neve "
Cavalese;27/2/2006;"-2";"-4,4";"0,8";"-8,3";"63";"0";"3";"0";"26";"0";"1009";"1,2";"pioggia neve "
Cavalese;28/2/2006;"-3,6";"-6,8";"-0,1";"-8,5";"69";"0";"3";"0";"29";"0";"1006";"0";"neve "
